problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,2,4.9940617827815e-06,0.9184954166412354,5.287648199999239
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,3,4.9989234867098276e-06,0.9115205407142639,4.877262599999085
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,1,4.9974219109572005e-06,1.1525356769561768,16.889296200009994
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,4,4.995700692234095e-06,1.0690772533416748,7.405940799988457
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,5,4.997667474526679e-06,1.0536234378814697,6.179874900000868
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,6,4.998687018087367e-06,1.2691936492919922,6.908447199995862
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,9,4.999341399525292e-06,1.335797667503357,12.59296429999813
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,0,4.9984510042122565e-06,1.149507999420166,34.583230999996886
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,3,4.998011263523949e-06,0.6616175174713135,5.163906400004635
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,4,4.9993600441666786e-06,0.6188846230506897,5.9329810999915935
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,8,4.999849807063583e-06,1.1395602226257324,23.59402630000841
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,5,4.997764335712418e-06,0.7176889181137085,7.57411209998827
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,11,4.999998054699972e-06,1.064993143081665,33.252645700005814
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,7,4.999062184651848e-06,1.0612348318099976,40.36883229999512
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,2,4.9993241191259585e-06,0.6574864387512207,31.081681700001354
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,6,4.999985776521498e-06,0.8630568981170654,25.04230459999235
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,8,4.9999007387668826e-06,0.9357950687408447,27.532850500007044
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,0,4.999829343432793e-06,0.7250878214836121,49.77158310000959
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,4,4.998422355129151e-06,0.5132848024368286,11.020367099990835
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,7,4.99955558552756e-06,0.6626529097557068,35.38440830000036
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,10,4.868154974246863e-06,0.7159685492515564,56.65006830000493
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,5,4.9997570386040024e-06,0.6418045163154602,14.705582399998093
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,3,4.9984228098765016e-06,0.5335172414779663,23.572703599988017
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,9,4.9995483095699456e-06,0.9254634976387024,38.071529200009536
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,1,4.999645625503035e-06,0.755018949508667,53.594788100002916
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,4,4.9974978537647985e-06,0.4639432728290558,6.700598499999614
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,11,4.998896201868774e-06,0.7446818947792053,36.784929000001284
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,6,4.999911197955953e-06,0.6650035381317139,21.473157100001117
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,5,4.999518750992138e-06,0.6004148125648499,11.780270300005213
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,9,4.998903023079038e-06,0.6696918606758118,19.531157000004896
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,2,4.999229076929623e-06,0.4961092472076416,39.606859600011376
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,10,4.997636551706819e-06,0.49678176641464233,48.3959990000003
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,7,4.9999011935142335e-06,0.5907770395278931,38.76335999999719
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,0,4.999317752663046e-06,0.551166832447052,55.56422179999936
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,3,4.999329576094169e-06,0.459046870470047,32.3376913999964
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,50,4,4.991587502445327e-06,0.41557958722114563,8.17391869999119
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,50,5,4.998557869839715e-06,0.49991655349731445,9.905980099996668
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,8,4.999601515009999e-06,0.6727585792541504,50.87159160000738
