problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,0,4.931183070766565e-07,1.2916011810302734,61.87775480002165
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,1,4.994491860088601e-07,0.9006430506706238,94.42142989998683
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,2,4.940913527207158e-07,0.7812182903289795,61.48785969999153
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,3,4.979228833690286e-07,0.9913371205329895,63.94334310002159
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,4,4.998242388865037e-07,0.8495468497276306,86.52204650000203
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,6,4.936425739288097e-07,0.8484137058258057,46.23638769995887
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,5,4.990439492758014e-07,1.2097917795181274,73.33240680000745
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,7,4.888788680545986e-07,0.9661177396774292,68.45463539997581
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,8,4.993852940060606e-07,1.5290344953536987,70.6100406999467
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,9,4.850734853789618e-07,0.8133675456047058,62.489772200002335
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,11,4.954233645548811e-07,0.9760814309120178,68.00291409995407
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,0,4.982962877875252e-07,0.2349611520767212,81.63503660005517
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,2,4.974780836164427e-07,0.2391127496957779,70.13399250002112
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,10,4.999964176022331e-07,0.8037432432174683,124.55684590002056
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,1,4.974695002601948e-07,0.2827957570552826,86.08524819999002
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,3,4.955309123033658e-07,0.36886635422706604,82.14246320002712
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,6,4.957653345627477e-07,0.35178396105766296,64.20828410005197
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,5,4.940167741551704e-07,0.549947202205658,78.8008832000196
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,4,4.989898911844648e-07,0.29401829838752747,103.65830700006336
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,8,4.999381530979008e-07,0.5462140440940857,85.57131259993184
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,7,4.998700546821055e-07,0.6209490895271301,112.1280914999079
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,10,4.964579716215667e-07,0.32202771306037903,81.96523720002733
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,11,4.935267270411714e-07,0.321720689535141,79.82488269999158
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,9,4.996676921109611e-07,0.5007053017616272,125.13175890001003
