problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,10,5,0.003148255869746208,1.3508745431900024,0.2748348999302834
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,10,0,0.005972528364509344,1.4845012426376343,0.2670337000163272
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,10,4,0.006181814707815647,1.5512003898620605,0.26790910004638135
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,10,3,0.003369982121512294,1.5354571342468262,0.2789868999971077
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,10,1,0.0028317593969404697,1.1645375490188599,0.2724463000195101
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,10,2,0.0049577075988054276,1.4758589267730713,0.2786241000285372
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,10,7,0.0035727880895137787,1.4165183305740356,0.24670440005138516
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,10,6,0.004135599359869957,1.637915015220642,0.2595336999511346
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,10,8,0.0037939453031867743,1.440083384513855,0.25847899995278567
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,10,9,0.003941728267818689,1.257555365562439,0.2614798001013696
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,10,10,0.0029406638350337744,1.401892066001892,0.2741296000313014
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,10,11,0.005634338594973087,1.3616468906402588,0.2729523000307381
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,20,0,0.01075404416769743,0.7613157033920288,0.2727408999344334
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,20,1,0.006657125428318977,0.708121120929718,0.2773198999930173
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,20,2,0.009480362758040428,0.9238836169242859,0.27723829995375127
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,20,3,0.006665570195764303,0.7838283777236938,0.26510780001990497
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,20,4,0.007180716842412949,0.9861868619918823,0.27757220005150884
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,20,5,0.0059133959002792835,0.8371583223342896,0.2767142999218777
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,20,6,0.008562711998820305,0.8598769307136536,0.25373819994274527
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,20,9,0.006117215845733881,0.7597920894622803,0.2440578000387177
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,20,7,0.006459199357777834,0.8230589628219604,0.2630757000297308
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,20,8,0.006233665160834789,0.9906734824180603,0.2699672000017017
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,20,11,0.010770182125270367,0.8730354309082031,0.2531340999994427
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,20,10,0.0065082283690571785,0.9260303974151611,0.26385250000748783
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,30,0,0.014491006731987,0.7445062398910522,0.28166049998253584
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,30,2,0.012705333530902863,0.7602822184562683,0.27229860005900264
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,30,1,0.007222575135529041,0.5583600997924805,0.2772511999355629
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,30,3,0.007580348756164312,0.6944160461425781,0.2827422999544069
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,30,5,0.00696488656103611,0.6547306776046753,0.3016213000519201
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,30,4,0.007764941081404686,0.6894130706787109,0.3148271000245586
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,30,6,0.010459937155246735,0.7335956692695618,0.2328234000597149
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,30,8,0.0077529242262244225,0.7689283490180969,0.22452070005238056
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,30,7,0.007703438866883516,0.576917827129364,0.231713299988769
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,30,9,0.006440836004912853,0.5969682335853577,0.24250469997059554
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,30,10,0.00835348479449749,0.6929172873497009,0.21307279996108264
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,30,11,0.011010060086846352,0.6902581453323364,0.21213709993753582
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,40,1,0.007526520173996687,0.5273357629776001,0.3059592000208795
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,40,0,0.014630492776632309,0.6776597499847412,0.3191655999980867
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,40,2,0.01270910445600748,0.7013702988624573,0.3071506000123918
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,40,3,0.008305919356644154,0.6283016204833984,0.33876289997715503
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,40,5,0.007154474034905434,0.6232199668884277,0.3070521999616176
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,40,4,0.008466560393571854,0.640274167060852,0.3089742000447586
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,40,8,0.008695443160831928,0.6687825918197632,0.37093560001812875
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,40,6,0.011059303767979145,0.674401044845581,0.38750599999912083
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,40,7,0.007926041260361671,0.5375794172286987,0.4017726000165567
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,40,9,0.006641908548772335,0.5669808387756348,0.3546523000113666
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,40,10,0.009254778735339642,0.6540597677230835,0.33669239992741495
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,40,11,0.011072734370827675,0.6301543712615967,0.3370108000235632
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,50,0,0.016417622566223145,0.6609393358230591,0.3191407999256626
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,50,1,0.007599081378430128,0.5048259496688843,0.32349389989394695
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,50,2,0.013648103922605515,0.658906102180481,0.33807299996260554
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,50,4,0.009509705007076263,0.5856404304504395,0.31829850003123283
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,50,5,0.008044724352657795,0.5835734605789185,0.3220092999981716
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,50,3,0.008865590207278728,0.6109205484390259,0.329614800051786
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,50,6,0.010955373756587505,0.6200296878814697,0.2950532999821007
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,50,7,0.008244740776717663,0.5100096464157104,0.2969774999655783
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,50,8,0.010006957687437534,0.6082846522331238,0.3126934999600053
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,50,9,0.006754711270332336,0.5336463451385498,0.3071343000046909
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,50,11,0.011323338374495506,0.5893371105194092,0.3124928999459371
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,50,10,0.010074341669678688,0.5954181551933289,0.3312858999706805
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,60,0,0.01581549271941185,0.6235257387161255,0.36282939999364316
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,60,1,0.00780167942866683,0.4839330017566681,0.36643080005887896
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,60,2,0.014428910799324512,0.6602617502212524,0.3928258999949321
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,60,3,0.010209504514932632,0.6018704771995544,0.33655559993349016
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,60,5,0.008600217290222645,0.5455240607261658,0.3455795000772923
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,60,4,0.009469660930335522,0.5806916952133179,0.3556255999719724
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,60,6,0.010833293199539185,0.5612397193908691,0.3000192000763491
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,60,7,0.00842673983424902,0.4734637141227722,0.31024430005345494
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,60,8,0.010752025991678238,0.5630351305007935,0.3105255999835208
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,60,9,0.007039428688585758,0.5029524564743042,0.29751890001352876
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,60,10,0.010517334565520287,0.5546659231185913,0.31448960001580417
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,60,11,0.011634767055511475,0.5898137092590332,0.3204972998937592
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,70,0,0.016929866746068,0.6323734521865845,0.32083139999303967
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,70,1,0.008221619762480259,0.47647055983543396,0.37935429997742176
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,70,3,0.009771695360541344,0.582470178604126,0.36847800004761666
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,70,2,0.014744850806891918,0.6521355509757996,0.4023556999163702
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,70,5,0.008925987407565117,0.539628267288208,0.3935213000513613
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,70,4,0.009653820656239986,0.5665830969810486,0.39620519999880344
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,70,6,0.011009723879396915,0.557672381401062,0.3471301000099629
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,70,7,0.008517814800143242,0.46864593029022217,0.3465375999221578
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,70,8,0.011151731945574284,0.5654116868972778,0.3209246000042185
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,70,9,0.007884313352406025,0.4968685209751129,0.33143239992205054
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,70,10,0.010606610216200352,0.5550227165222168,0.3321144999936223
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,70,11,0.012258254922926426,0.5735569000244141,0.3424142000731081
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,80,0,0.016991030424833298,0.6250783205032349,0.4010465000756085
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,80,1,0.008342023938894272,0.4758240580558777,0.4135157000273466
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,80,2,0.014339523389935493,0.5976293683052063,0.46775650000199676
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,80,3,0.00986389722675085,0.5517772436141968,0.45872940006665885
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,80,4,0.009784577414393425,0.5599197149276733,0.4685983000090346
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,80,5,0.009302735328674316,0.5275769829750061,0.49060269992332906
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,80,6,0.011148384772241116,0.5329329371452332,0.37001920002512634
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,80,7,0.008403807878494263,0.4678068459033966,0.38630320003721863
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,80,8,0.010932723060250282,0.5572004318237305,0.35882030008360744
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,80,9,0.007934123277664185,0.49131274223327637,0.3541961000300944
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,80,10,0.010782560333609581,0.5441098213195801,0.37051379994954914
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,80,11,0.012091429904103279,0.5650798678398132,0.363105500000529
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,90,0,0.016101276502013206,0.605334997177124,0.3442297999281436
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,90,1,0.008344179019331932,0.45664194226264954,0.372266500024125
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,90,2,0.014221507124602795,0.5922071933746338,0.3729295999510214
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,90,3,0.010090730153024197,0.5438464283943176,0.37589639995712787
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,90,4,0.0095302052795887,0.5527070760726929,0.45156860002316535
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,90,5,0.009269294328987598,0.5016983151435852,0.4562188999261707
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,90,6,0.01143644005060196,0.534846305847168,0.4199111999478191
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,90,7,0.008852939121425152,0.45896056294441223,0.39193809998687357
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,90,8,0.010672486387193203,0.5414788126945496,0.409157200017944
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,90,9,0.007903069257736206,0.48413705825805664,0.3959580999799073
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,90,10,0.011104432865977287,0.5343179106712341,0.36665910005103797
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,90,11,0.012679177336394787,0.5596018433570862,0.36656640004366636
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,100,0,0.015645861625671387,0.5840991139411926,0.3995929000666365
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,100,1,0.008297261781990528,0.45655515789985657,0.4004873000085354
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,100,2,0.013943066820502281,0.582573413848877,0.4041867000050843
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,100,3,0.010441388934850693,0.5335352420806885,0.39757590007502586
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,100,4,0.009770025499165058,0.5264490842819214,0.4534014000091702
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,100,5,0.009479626081883907,0.495459645986557,0.49612990010064095
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,100,6,0.011600419878959656,0.5184588432312012,0.4661411999259144
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,4,40,100,7,0.008866004645824432,0.45448949933052063,0.4572566000279039
