problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,6,4.891574008070165e-07,1.5523477792739868,269.9628246000502
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,5,4.861701086156245e-07,1.3747361898422241,312.7395093999803
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,0,4.970045779373322e-07,1.6511975526809692,513.5869641000172
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,1,4.969974725099746e-07,1.7652578353881836,499.7529686000198
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,3,4.998717031412525e-07,2.017571449279785,486.48686229996383
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,2,4.999657221560483e-07,1.68657648563385,522.0177091000369
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,11,4.955119266014663e-07,1.7282955646514893,173.7223961999407
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,4,4.999939164918032e-07,1.7618775367736816,505.77717149991076
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,8,4.999990323995007e-07,1.88839590549469,390.25869119993877
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,5,4.9708552296579e-07,0.9216516613960266,143.55429540004116
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,7,4.999873226552154e-07,1.7046873569488525,436.9934610000346
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,10,4.998684062229586e-07,1.4592002630233765,239.50153749994934
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,0,4.998868803340883e-07,0.7844198942184448,223.4180289999349
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,9,4.806987021765963e-07,1.0678577423095703,84.41567000001669
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,8,4.983765506949567e-07,0.9848051071166992,137.4823161000386
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,9,5.313882525115332e-07,1.9449360370635986,330.80558199994266
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,3,4.998463509764406e-07,0.7940681576728821,217.32654359994922
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,10,4.997000928597117e-07,0.8186413049697876,91.5726550000254
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,6,4.998894382879371e-07,0.842808723449707,206.26144290005323
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,2,6.503883582809067e-07,1.1552093029022217,260.91430269996636
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,1,5.786935730611731e-07,0.5614485740661621,265.2121676999377
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,30,1,4.9475528385301e-07,0.3562648892402649,96.46876379998866
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,11,4.966895517100056e-07,0.9335415959358215,104.16520940000191
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,30,0,4.992577373741369e-07,0.3972562551498413,113.87403639999684
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,4,5.182659492675157e-07,0.7027028799057007,276.19689759996254
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,7,9.410421171196504e-07,0.7248849868774414,249.73367139999755
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,30,5,4.990414481653715e-07,0.5207358598709106,106.49034749995917
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,30,3,4.99830662192835e-07,0.4940672814846039,121.09102010005154
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,30,8,4.993379434381495e-07,0.40243834257125854,109.38394690002315
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,30,10,4.994505502509128e-07,0.3993804156780243,113.26997530006338
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,40,0,4.956914949616475e-07,0.22483085095882416,114.14232899993658
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,30,4,4.999205884814728e-07,0.3551780879497528,178.4257529999595
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,40,1,4.987869601791317e-07,0.26249340176582336,126.5231811000267
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,30,9,4.999089924240252e-07,0.37445729970932007,155.64671939995605
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,30,11,4.993240168005286e-07,0.4273824393749237,139.901217799983
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,30,2,5.443670261229272e-07,0.3518655002117157,214.84449140005745
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,40,5,4.996569487047964e-07,0.24456177651882172,124.33109600003809
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,30,7,1.0088533599628136e-06,0.4105238914489746,210.63250530010555
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,30,6,6.24418021288875e-07,0.41077783703804016,235.4986730000237
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,40,4,4.998184977011988e-07,0.29695871472358704,188.47259720007423
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,40,10,4.996780376131937e-07,0.1506531834602356,124.36654289998114
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,40,2,6.055876724531117e-07,0.2137639969587326,236.34699900005944
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,40,3,4.999879479328229e-07,0.23304179310798645,226.5793624999933
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,50,1,4.995228550797037e-07,0.18816180527210236,143.26138639997225
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,50,4,4.991601940673718e-07,0.1433929055929184,127.24749290000182
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,40,7,1.0540431958361296e-06,0.23047411441802979,232.85019070003182
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,40,6,5.933036959504534e-07,0.22164161503314972,244.88196579995565
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,40,9,4.998479994355876e-07,0.21763528883457184,208.62781089998316
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,50,3,4.995866902390844e-07,0.1517573893070221,163.28612720000092
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,40,8,4.999694738216931e-07,0.22997339069843292,229.5999983000802
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,50,2,4.999517955184274e-07,0.1333770900964737,176.83762809995096
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,40,11,5.835865977132926e-07,0.28352242708206177,236.6489785000449
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,50,0,5.113036536386062e-07,0.1418023258447647,250.09680389997084
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,50,9,4.996185225536465e-07,0.15381985902786255,140.35939169989433
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,50,5,4.998456688554143e-07,0.15526044368743896,219.26505819999147
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,50,8,4.995400786356186e-07,0.14782290160655975,171.15392409998458
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,50,10,4.998306053494161e-07,0.10988526791334152,185.3499800999416
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,50,6,6.125042659732571e-07,0.14780846238136292,250.07340799993835
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,60,1,4.998266831535148e-07,0.1463998258113861,157.67143210000359
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,50,7,1.0326535857529962e-06,0.1555662751197815,247.08010429993737
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,60,4,4.997938276574132e-07,0.10078128427267075,186.63281420001294
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,60,3,4.999914153813734e-07,0.1083216518163681,207.62600060005207
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,50,11,5.428657914308133e-07,0.1573687046766281,249.09931359998882
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,60,2,4.999934617444524e-07,0.10275903344154358,227.4579390999861
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,60,6,8.80976301687042e-07,0.09145735949277878,263.4268435999984
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,60,0,7.380593274319835e-07,0.11203047633171082,289.5273472999688
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,60,5,5.392469120124588e-07,0.10838499665260315,288.70413620001636
