problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,4.973688874088111e-07,1.207459807395935,228.2675511999987
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,4.999238853997667e-07,1.5474826097488403,185.36311010003556
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,4.990499746782007e-07,1.4508769512176514,199.2427087998949
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,6,4.999535008209932e-07,1.6309432983398438,110.21585399995092
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,3,4.999536145078309e-07,1.3797318935394287,250.36248990008608
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,8,4.97999053550302e-07,1.5682833194732666,93.25432989990804
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,4,4.999412794859381e-07,1.3759161233901978,211.62219399993774
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,5,4.996931011191919e-07,1.459100604057312,135.84842140006367
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,9,4.990823754269513e-07,1.4321699142456055,82.18719070008956
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,7,4.999201905775408e-07,1.6600604057312012,120.18591270002071
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,11,4.983524490853597e-07,1.6217535734176636,76.35588160005864
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,4.998449867343879e-07,0.7989475131034851,61.8575475999387
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,10,4.99978511925292e-07,1.3295447826385498,100.2392877000384
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,4.999789666726429e-07,0.7316843867301941,64.24298710003495
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,5,4.999832299290574e-07,0.8930659890174866,46.60038119996898
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,4.990502020518761e-07,0.7339706420898438,72.7789176000515
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,4,4.996411462343531e-07,0.7412164211273193,56.13256029994227
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,8,4.988344812772993e-07,0.891030490398407,47.38313530001324
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,3,4.997145310881024e-07,0.7481640577316284,69.31262970005628
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,11,4.978858214599313e-07,0.8332061171531677,39.29445919999853
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,6,4.996526854483818e-07,1.0191833972930908,60.06671990000177
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,9,4.988551154383458e-07,0.8153913021087646,53.345956299919635
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,10,4.988677346773329e-07,0.8289194703102112,49.23613410000689
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,4.973682621312037e-07,0.5556161403656006,45.664155400008895
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,1,4.986704311704671e-07,0.515273928642273,50.00924139993731
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,7,4.99983400459314e-07,0.9005612730979919,72.24076960003003
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,4,4.994874984731723e-07,0.5263794660568237,42.69679410010576
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,4.989241233488428e-07,0.5346090793609619,54.77574620000087
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,5,4.997560267838708e-07,0.6156228184700012,40.77217150002252
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,3,4.998199187866703e-07,0.5174794793128967,55.20379510009661
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,0,4.999927227800072e-07,0.38315629959106445,33.81005039997399
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,8,4.999081966161611e-07,0.5646792054176331,47.25238329998683
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,9,4.996324491912674e-07,0.5267745852470398,45.26161999988835
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,10,4.984429438081861e-07,0.5582363605499268,42.236524200066924
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,11,4.993784159523784e-07,0.5425336360931396,38.8389267999446
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,1,4.999382099413197e-07,0.4148808717727661,40.168748099938966
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,6,4.99998122904799e-07,0.5743894577026367,62.247470399946906
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,2,4.99219709126919e-07,0.3824855089187622,44.04175920004491
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,5,4.999459406462847e-07,0.4444367289543152,37.83729509997647
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,7,4.996137477064622e-07,0.5930007696151733,72.13111900002696
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,3,4.997425548936008e-07,0.4166911840438843,52.97926789999474
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,4,4.993676157027949e-07,0.37892746925354004,57.192714800010435
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,8,4.997677365281561e-07,0.3907933533191681,45.85514699993655
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,10,4.983791654922243e-07,0.3638466000556946,34.68705160007812
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,7,4.991869673176552e-07,0.4455008804798126,49.13221459998749
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,9,4.997929181627114e-07,0.38233646750450134,38.808579799951985
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,0,4.998381086807058e-07,0.23330216109752655,39.43283960002009
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,6,4.998483973395196e-07,0.36778467893600464,59.18378289998509
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,2,4.999818088435859e-07,0.2786121070384979,39.581318699987605
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,11,4.999567408958683e-07,0.3602646589279175,51.79134520003572
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,1,4.999255907023326e-07,0.2731338441371918,50.40668789995834
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,3,4.993904667571769e-07,0.26509803533554077,44.128728199983016
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,4,4.998727831662109e-07,0.25616341829299927,48.65269800007809
