problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,0,4.994661253476806e-07,1.2346068620681763,70.83784019993618
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,2,4.932587103212427e-07,0.7905005216598511,55.547984099946916
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,3,4.943127578371787e-07,1.0044077634811401,57.402178399963304
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,5,4.965228299624869e-07,1.072546362876892,62.835628999979235
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,6,4.952315748596448e-07,0.8699832558631897,66.64532410004176
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,1,5.054683356320311e-07,0.893196165561676,170.01665299991146
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,7,4.818064098799368e-07,1.0324841737747192,59.88576800003648
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,4,6.021081162543851e-07,0.8411451578140259,153.88189469999634
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,8,4.7363596422655974e-07,1.4852607250213623,64.06221859995276
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,11,4.97388555231737e-07,0.8968876004219055,72.39301849994808
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,9,4.999884595235926e-07,0.7882307767868042,111.29229650006164
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,0,4.99593795666442e-07,0.3341659605503082,109.64388009998947
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,10,6.608414651054773e-07,0.8838912844657898,164.83955429994967
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,2,4.999139378014661e-07,0.3465966284275055,127.1517439999152
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,3,4.946202238897968e-07,0.4668317139148712,76.26546120003331
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,1,4.998883582629787e-07,0.3517983555793762,146.28262910002377
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,4,4.990353090761346e-07,0.38655126094818115,142.83523179998156
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,5,4.998232725483831e-07,0.6141022443771362,143.71763199998531
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,8,4.996724101147265e-07,0.5815659165382385,110.41052000003401
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,7,4.987663828615041e-07,0.6996957063674927,124.58833689999301
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,6,5.181634605833096e-07,0.3964924216270447,189.440900699934
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,9,6.399405378942902e-07,0.48284897208213806,191.59355970006436
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,11,4.99879661219893e-07,0.42669978737831116,119.71689260005951
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,10,7.797451644364628e-07,0.44845137000083923,189.16371490003075
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,3,4.98474435062235e-07,0.2867843210697174,139.13807390001602
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,0,5.694460014638025e-07,0.20686385035514832,193.0600681999931
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,2,5.104427600599593e-07,0.1868586540222168,204.15401060006116
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,1,5.000072178518167e-07,0.22028204798698425,218.67364059993997
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,4,5.049230935583182e-07,0.2266828864812851,204.40340720000677
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,8,4.999464522370545e-07,0.2970918118953705,139.96012830000836
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,5,6.325216190816718e-07,0.23194371163845062,207.3517885999754
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,6,5.763664034930116e-07,0.2696554362773895,208.48031600005925
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,7,5.171356178834685e-07,0.24460545182228088,212.52447019994725
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,9,5.483877885126276e-07,0.22754044830799103,194.62405450001825
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,10,7.348148187702463e-07,0.27423974871635437,195.7788783001015
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,11,5.047980948802433e-07,0.24286749958992004,195.27658730000257
