problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,1,4.947394245391479e-07,0.625686764717102,573.4409624999389
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,0,4.841380700781883e-07,0.8944580554962158,661.6122513000155
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,2,4.99663656228222e-07,1.0427265167236328,441.3605617999565
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,3,4.899682153336471e-07,0.7883121371269226,482.33274780004285
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,4,4.946412559547753e-07,1.0535619258880615,393.84538579999935
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,5,4.786433578374272e-07,0.8818754553794861,288.6862770000007
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,6,4.589582260905445e-07,0.8207902312278748,290.1205456000753
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,7,4.705879348421149e-07,0.9935123324394226,281.7013629000867
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,8,4.99544796639384e-07,0.8755714893341064,197.41363129997626
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,9,4.4756529860023875e-07,0.9527115225791931,232.46311190002598
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,11,4.66153494471655e-07,0.7813652157783508,219.11069570004474
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,10,4.623263123448851e-07,0.8164682984352112,231.69793230004143
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,0,4.962922730555874e-07,0.5459542870521545,182.4116481000092
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,2,4.980903440809925e-07,0.4820374846458435,173.0574269000208
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,1,4.947311822434131e-07,0.4056118130683899,208.3662908000406
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,3,4.854116468777647e-07,0.5168895125389099,176.24013900000136
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,5,4.7656797619310964e-07,0.452737420797348,160.14610580005683
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,4,4.896000405096856e-07,0.6826514005661011,202.679106399999
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,6,4.94373864512454e-07,0.5909692645072937,194.60886050004046
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,7,4.762198386742966e-07,0.5842918157577515,157.7328814000357
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,10,4.998451572646445e-07,0.5564731359481812,146.74751380004454
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,8,4.990805564375478e-07,0.5895771980285645,173.22292899992317
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,9,4.881079007645894e-07,0.5763485431671143,174.46389269991778
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,11,4.979193590770592e-07,0.5704365968704224,179.42403309990186
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,0,4.9899961140909e-07,0.46217241883277893,203.561974799959
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,2,4.983397730029537e-07,0.4415600895881653,184.9588492999319
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,1,4.979851837561e-07,0.38784217834472656,188.92302460002247
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,3,4.972768579136755e-07,0.33680593967437744,163.901691300096
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,4,4.97497580909112e-07,0.4581514596939087,170.66473670001142
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,5,4.901125976175535e-07,0.466551274061203,157.77555429993663
