problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,1,4.983306212125171e-07,1.321105718612671,15.570552500081249
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,0,4.998510121367872e-07,1.38190758228302,16.62628670001868
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,2,4.980921630703961e-07,1.4049644470214844,15.940570200094953
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,4,4.999459406462847e-07,1.6697455644607544,15.741897300002165
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,3,4.996663278689084e-07,1.3324800729751587,19.18038630008232
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,5,4.993057700630743e-07,1.516343355178833,19.789481000043452
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,6,4.995508220417832e-07,1.6796300411224365,22.836600499926135
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,7,4.989705075786333e-07,1.4756437540054321,14.543624500045553
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,9,4.930350314680254e-07,1.5502469539642334,16.271818400011398
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,10,4.997903602088627e-07,1.4124207496643066,15.114947299938649
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,11,4.998166218683764e-07,1.4497851133346558,24.232330700033344
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,8,4.999812404093973e-07,1.3769094944000244,37.55533929995727
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,2,4.999978386877046e-07,0.7837840914726257,31.524990900070406
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,1,6.296753554124734e-07,0.7749936580657959,52.42675800004508
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,0,8.249579650509986e-07,0.8363988399505615,60.198049300001
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,3,5.954015591669304e-07,0.6959103941917419,62.7016248999862
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,4,5.118616854815627e-07,0.9325859546661377,59.21940469997935
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,5,9.190798095914943e-07,0.9048461318016052,51.8719256001059
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,6,1.0633298188622575e-06,1.0002222061157227,58.644536999985576
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,7,6.039339837116131e-07,0.7843126058578491,51.77952229999937
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,8,9.038886901180376e-07,0.835989773273468,65.35572919994593
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,9,6.997845503065037e-07,0.787933349609375,54.74750880000647
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,10,5.450048661259643e-07,0.8048532009124756,56.78466010000557
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,0,8.86331008587149e-07,0.5618106126785278,48.92488140007481
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,11,7.44496446714038e-07,0.8331224918365479,59.79769369994756
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,1,8.408827056882728e-07,0.6578857898712158,50.63309839996509
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,2,7.709237479502917e-07,0.6234732270240784,47.96601919992827
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,4,5.634135504806181e-07,0.620816707611084,47.694532299996354
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,3,5.964076876807667e-07,0.5174115300178528,56.52485309995245
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,5,8.51634524678957e-07,0.5839956402778625,50.00033579999581
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,6,9.466094752497156e-07,0.6203358173370361,45.50934310001321
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,7,6.277182365010958e-07,0.6074087023735046,49.753905400051735
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,8,5.195637413635268e-07,0.6113886833190918,51.88508319994435
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,9,6.630577331634413e-07,0.5277432203292847,46.70999599993229
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,10,7.82538393195864e-07,0.5924370884895325,45.02973710000515
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,11,8.367688906218973e-07,0.5640802979469299,54.54806629999075
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,40,0,8.385210321648628e-07,0.41267699003219604,75.36638830008451
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,40,1,8.876789365785953e-07,0.4545256197452545,83.71286219998728
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,40,3,7.936211545711558e-07,0.42819148302078247,75.13877159997355
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,40,2,8.76737715316267e-07,0.459558367729187,76.91879649995826
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,40,4,6.880059686409368e-07,0.4561920464038849,81.41898160008714
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,40,8,7.671389994357014e-07,0.47458454966545105,66.81308309989981
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,40,5,8.866509233484976e-07,0.4833401143550873,79.21098450000864
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,40,7,5.210774247643712e-07,0.4278160035610199,72.56658340001013
