problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,0,4.999032512387203e-07,0.34994304180145264,341.8578285999829
diffusion_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,3,4.99841291912162e-07,0.30506154894828796,231.53867219993845
diffusion_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,4,4.996398388357193e-07,0.37621602416038513,202.49077779997606
diffusion_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,1,4.994691380488803e-07,0.34219658374786377,399.72905849991366
diffusion_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,5,4.999330940336222e-07,0.34188807010650635,188.25761270010844
diffusion_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,2,4.977503067493672e-07,0.34182217717170715,391.06316629995126
diffusion_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,7,4.990683919459116e-07,0.3437013030052185,139.15061689994764
diffusion_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,9,4.999974976271915e-07,0.36354130506515503,87.34471259999555
diffusion_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,8,4.998990448257246e-07,0.39044132828712463,156.67919830000028
diffusion_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,6,4.985996611139853e-07,0.3303673267364502,212.08693989994936
diffusion_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,10,4.999525913262914e-07,0.33203667402267456,111.94083059998229
diffusion_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,11,4.998489657737082e-07,0.3578529357910156,120.41772730008233
diffusion_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,2,4.999808993488841e-07,0.281159371137619,146.3054588000523
diffusion_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,1,4.998383928978001e-07,0.3017880916595459,188.4351519999327
