problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,4.995927156414837e-07,1.611527442932129,362.97732509998605
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,5,4.999808993488841e-07,1.7856099605560303,232.08563310001045
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,4.999619704904035e-07,1.6263296604156494,276.03273289999925
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,4,4.999910174774413e-07,1.7674111127853394,271.25198009994347
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,4.998403255740413e-07,1.8296587467193604,332.7927960000234
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,3,4.99998122904799e-07,1.7267682552337646,299.04483100003563
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,10,4.986955559616035e-07,1.724631667137146,70.91226319991983
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,9,4.999161546948017e-07,1.7832459211349487,100.18991580000147
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,6,4.999993734600139e-07,2.122241973876953,215.79754450009204
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,7,4.999761813451187e-07,2.111161947250366,200.7402322998969
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,11,4.994614073439152e-07,2.0252022743225098,84.07741799997166
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,8,7.514049684687052e-07,1.9367146492004395,144.50221560010687
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,9.348751746074413e-07,0.9372159242630005,108.6488467999734
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,6.617090662075498e-07,0.9262916445732117,110.80268570000771
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,4,7.934268637654895e-07,0.8049526214599609,96.09668789990246
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,1.263583953914349e-06,0.587530791759491,113.77299640001729
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,3,9.970277687898488e-07,0.8621445298194885,111.25224830000661
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,9,8.474565333926876e-07,1.0601187944412231,75.88155010004994
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,6,1.2794914709957084e-06,1.043980598449707,88.42674360005185
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,7,8.983362249637139e-07,0.8954851031303406,85.19797589990776
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,10,6.399175163096515e-07,0.8350411057472229,75.66681029996835
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,5,1.1681505611704779e-06,0.9750338792800903,105.2658113000216
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,8,1.0825149274751311e-06,1.1315497159957886,84.4035497000441
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,11,9.60993702392443e-07,0.9369826912879944,83.98671490000561
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,1,1.922330966408481e-06,0.36543673276901245,79.38442489993758
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,0,1.1773270216508536e-06,0.4818923771381378,86.07838530000299
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,2,1.0067202538266429e-06,0.5347121953964233,86.93114380002953
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,3,1.1610519550231402e-06,0.6052556037902832,82.58397749997675
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,4,1.0483128107807715e-06,0.5014503598213196,83.53019069996662
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,5,1.476901957175869e-06,0.6004392504692078,84.96486250008456
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,8,9.91353999779676e-07,0.558550238609314,84.7929689999437
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,6,1.3458369494401268e-06,0.5129855871200562,90.04405579995364
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,7,1.0818898772413377e-06,0.5497747659683228,92.37746039999183
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,9,9.383987844557851e-07,0.5584583282470703,84.92041409993544
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,10,1.3217982086644042e-06,0.5015887022018433,84.19090390007477
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,11,1.1577504892557045e-06,0.5162975788116455,87.16101109993178
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,1,2.1260498215269763e-06,0.24800170958042145,91.46462679991964
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,2,1.2733255516650388e-06,0.34117576479911804,93.41519969992805
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,0,1.1516893891894142e-06,0.3177717924118042,96.47181560005993
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,3,1.5024299955257447e-06,0.34346452355384827,89.35994059999939
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,4,1.9453593722573714e-06,0.2864720821380615,88.85855789994821
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,5,1.5813089930816204e-06,0.34270721673965454,91.43815569998696
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,6,1.6908957150008064e-06,0.28078168630599976,96.50252069998533
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,8,1.6364774637622759e-06,0.3079766035079956,94.75938479998149
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,7,1.4566893469236675e-06,0.3238009810447693,105.02911150001455
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,9,1.0109148433912196e-06,0.35422956943511963,90.86286360002123
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,10,1.5847492704779143e-06,0.30150049924850464,90.03492190001998
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,11,1.3676160506292945e-06,0.3517114818096161,92.47178969997913
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,0,1.268306050405954e-06,0.2235829383134842,96.77482259995304
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,1,2.453395381962764e-06,0.1582968384027481,101.37160249997396
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,2,1.5981796650521574e-06,0.2201978713274002,101.94743289996404
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,3,1.4932908243281418e-06,0.22862687706947327,101.38869569997769
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,4,1.9656549739011098e-06,0.21190480887889862,97.85865170008037
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,6,2.4344503799511585e-06,0.1659509688615799,97.38892900000792
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,5,9.691254945209948e-07,0.2670896053314209,100.50882069999352
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,7,1.963253225767403e-06,0.1659744381904602,99.64811020006891
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,9,1.135735260504589e-06,0.24030961096286774,94.42433230008464
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,8,2.298067101946799e-06,0.1896924376487732,99.10304720001295
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,10,2.18288596443017e-06,0.18612569570541382,103.89830130001064
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,11,1.7374940171066555e-06,0.192424014210701,97.89709139999468
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,0,1.3169045587346773e-06,0.13283035159111023,96.7089660000056
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,2,1.7300280887866393e-06,0.1524370163679123,96.53505230008159
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,3,1.455544406780973e-06,0.16722418367862701,99.3732042000629
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,1,2.860344238797552e-06,0.13044175505638123,111.59374930011109
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,4,2.104375880662701e-06,0.1342642605304718,106.20074959995691
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,6,3.09655206365278e-06,0.1090380996465683,100.31339809997007
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,5,1.233619400409225e-06,0.19740977883338928,101.40752759994939
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,7,2.2878607524035033e-06,0.12732985615730286,99.61659460002556
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,8,2.3948189209477277e-06,0.1290176510810852,101.02293009997811
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,10,2.3743100427964237e-06,0.13356153666973114,103.05421470000874
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,11,1.509153094048088e-06,0.14320848882198334,101.8197829000419
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,9,1.4183333405526355e-06,0.17536452412605286,108.50515390001237
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,0,1.429431335964182e-06,0.10602404177188873,105.16678410000168
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,1,3.396149622858502e-06,0.11070302873849869,123.86474220000673
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,2,1.8967244841405773e-06,0.11944599449634552,109.8709962000139
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,4,1.9089156921836548e-06,0.09100711345672607,109.73237430001609
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,3,1.6137339571287157e-06,0.12534448504447937,113.27511799999047
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,5,1.1936513146793004e-06,0.14331424236297607,105.94571910006925
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,7,2.254529135825578e-06,0.10712424665689468,111.18175989994779
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,6,4.260730293026427e-06,0.09112858772277832,124.25480909994803
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,11,2.431578877803986e-06,0.11643753945827484,105.93961180001497
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,8,2.894357521654456e-06,0.09082602709531784,116.96825200004969
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,10,2.839098215190461e-06,0.09761589020490646,115.26604809996206
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,9,1.3806036349706119e-06,0.12168867141008377,117.03331590001471
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,0,1.4406895161300781e-06,0.08930577337741852,108.99917879991699
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,1,3.429751586736529e-06,0.08850301057100296,119.15228929999284
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,4,2.7048372430726886e-06,0.07126115262508392,117.39460420003161
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,2,2.145683765775175e-06,0.09736941009759903,126.51916389993858
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,3,1.6746402025091811e-06,0.09667564183473587,128.05346620001364
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,5,1.2882190958407591e-06,0.10568886250257492,122.56322110001929
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,6,4.058252670802176e-06,0.06375394761562347,117.73322669998743
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,8,3.2772413760540076e-06,0.0627378299832344,115.1424709999701
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,9,1.6890558072191197e-06,0.09672455489635468,113.07564930000808
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,7,2.7514993234944995e-06,0.07318751513957977,127.65114769991487
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,10,3.1381373446492944e-06,0.08337636291980743,109.33885139995255
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,11,2.4796920570224756e-06,0.08674991130828857,112.65196920000017
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,0,1.7538992551635602e-06,0.07127027958631516,113.62315439991653
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,2,2.0653340015996946e-06,0.07324918359518051,110.32889509992674
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,1,3.55157953890739e-06,0.06786884367465973,119.21118350001052
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,3,1.8891835225076647e-06,0.06809190660715103,119.75734740006737
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,4,2.793337898765458e-06,0.06280621886253357,127.04049190005753
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,7,3.132490064672311e-06,0.05809403955936432,108.91254150005989
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,5,1.367099685012363e-06,0.08125920593738556,117.93188060005195
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,6,3.7532665828621248e-06,0.04627403989434242,115.58491470001172
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,8,3.321007397971698e-06,0.04987781494855881,125.45374170003925
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,9,1.8518951492296765e-06,0.10159903764724731,125.2911097999895
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,10,2.9163434192014392e-06,0.07035467773675919,120.89191050000954
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,0,1.9203121155442204e-06,0.06611714512109756,117.12632240005769
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,11,2.8569065761985257e-06,0.06302061676979065,122.17976450000424
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,2,2.2474050638265908e-06,0.05906194821000099,111.1840200999286
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,1,3.5391462915868033e-06,0.060030970722436905,119.29125010001007
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,3,1.6950538110904745e-06,0.054379675537347794,127.51303779997397
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,4,2.76495779871766e-06,0.05545863136649132,126.71433470002376
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,6,3.645949618658051e-06,0.04094865173101425,124.81116329994984
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,9,1.9678038825077238e-06,0.06553935259580612,112.57616969989613
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,7,3.5795719668385573e-06,0.055011920630931854,129.51236669998616
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,5,1.3944371630714159e-06,0.06992141157388687,143.3214514000574
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,8,3.7181164316280046e-06,0.04302195459604263,138.33945369999856
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,11,3.238434373997734e-06,0.05866383761167526,137.50699189992156
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,10,3.1003326057543745e-06,0.06022162362933159,151.66148110001814
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,0,2.8953079436178086e-06,0.018437931314110756,174.57435830007307
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,1,5.424389655672712e-06,0.01721014827489853,158.7932606000686
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,2,3.15853935717314e-06,0.01777474768459797,174.46914369997103
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,4,3.9710266719339415e-06,0.016557015478610992,168.52095429995097
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,6,4.8369806791015435e-06,0.01751627027988434,172.27166760002729
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,3,3.0480198347504484e-06,0.019884256646037102,183.2495581000112
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,5,2.469502760504838e-06,0.02412368357181549,177.47875190002378
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,7,4.71662133350037e-06,0.021630406379699707,164.246638600016
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,8,5.17836360813817e-06,0.01793285645544529,160.80780790001154
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,9,3.6495353015197907e-06,0.020574793219566345,178.4686425999971
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,11,4.542667284113122e-06,0.01908537559211254,177.15007019997574
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,10,3.641164084910997e-06,0.019421853125095367,180.32325020001736
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,0,3.31166938849492e-06,0.011586000211536884,218.28748259996064
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,2,3.573525646061171e-06,0.010293569415807724,209.54362220002804
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,3,3.3966407499974594e-06,0.011677646078169346,214.09841080009937
