problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,0,4.985375653632218e-06,0.34273356199264526,40.87520330003463
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,2,4.959422312822426e-06,0.5372612476348877,41.625693800044246
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,1,4.994403298042016e-06,0.35223808884620667,72.42252160003409
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,3,4.999867542210268e-06,0.3380284905433655,56.041396599961445
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,4,4.999354132451117e-06,0.5596569180488586,59.416033799992874
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,5,4.977155185770243e-06,0.3763722777366638,79.91361899999902
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,7,4.9936647883441765e-06,0.39042025804519653,62.93229190004058
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,8,4.91455830342602e-06,0.415682852268219,64.144461399992
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,6,5.21500123795704e-06,0.5614655017852783,84.0090412000427
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,9,4.994191385776503e-06,0.32522937655448914,62.348436799948104
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,10,4.982780410500709e-06,0.35181286931037903,44.554284700076096
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,20,0,4.953934876539279e-06,0.36448538303375244,49.385933900019154
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,11,6.98129815646098e-06,0.4540541470050812,82.14641779998783
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,20,1,4.939832706440939e-06,0.32365942001342773,64.53528160008136
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,20,2,4.976329364581034e-06,0.36360475420951843,50.656514700036496
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,20,3,4.999154043616727e-06,0.34245404601097107,80.13212059997022
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,20,4,4.993073616788024e-06,0.45770880579948425,74.3834680999862
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,20,5,4.998476924811257e-06,0.39710021018981934,80.23602910002228
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,20,7,5.198694452701602e-06,0.3750317394733429,85.88173569994979
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,20,6,1.849138607212808e-05,0.4446737766265869,92.84468450001441
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,20,9,4.997488758817781e-06,0.3450115919113159,54.99812510004267
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,20,8,4.9368886720913e-06,0.4080987870693207,83.13596179999877
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,20,10,4.894494850304909e-06,0.620235025882721,57.16587399994023
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,20,11,4.997908035875298e-06,0.4102526009082794,63.778716500033624
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,30,0,4.999973953090375e-06,0.369495689868927,55.36097130004782
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,30,1,4.938596703141229e-06,0.3539813160896301,74.59231360000558
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,30,2,4.995760718884412e-06,0.3525404930114746,73.04182789998595
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,30,3,4.99958650834742e-06,0.34316959977149963,71.94273220002651
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,30,4,4.991989499103511e-06,0.44571033120155334,65.88342389999889
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,30,5,4.999873453925829e-06,0.34517619013786316,64.79988990002312
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,30,6,1.640223308640998e-05,0.36398449540138245,83.28443510003854
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,30,9,4.996632014808711e-06,0.5142791271209717,49.213332499959506
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,30,10,4.9980585572484415e-06,0.43913787603378296,48.49247800000012
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,30,7,4.997812538931612e-06,0.31948527693748474,78.81611020001583
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,30,8,4.959374564350583e-06,0.36325836181640625,77.937058600015
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,30,11,4.99751422466943e-06,0.3729526996612549,61.8309076000005
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,40,0,4.997715677745873e-06,0.3060174882411957,64.69180039991625
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,40,2,4.9929071792576e-06,0.30697235465049744,64.87868850002997
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,40,1,4.9982186283159535e-06,0.2965499758720398,81.8496279999381
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,40,3,4.992407866666326e-06,0.3404247760772705,73.68762480001897
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,40,4,4.969141627952922e-06,0.3742501735687256,93.73297279991675
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,40,5,4.998052190785529e-06,0.33839157223701477,90.93700889998581
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,40,7,4.994058144802693e-06,0.29787254333496094,75.32314549991861
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,40,10,4.978798187948996e-06,0.4152950048446655,60.935500400024466
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,40,9,4.956846169079654e-06,0.5140327215194702,67.52281609992497
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,40,8,4.981205620424589e-06,0.35390061140060425,82.90899710007943
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,40,6,9.758856322150677e-06,0.35743606090545654,112.50096630002372
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,50,0,4.9803993533714674e-06,0.295171856880188,72.95232859998941
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,40,11,4.967320819559973e-06,0.33872735500335693,84.807542799972
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,50,1,4.994763457943918e-06,0.256824254989624,86.79099330003373
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,50,3,4.994592927687336e-06,0.32672542333602905,86.8521365999477
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,50,2,4.966860615240876e-06,0.2791164815425873,96.27735550003126
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,50,5,4.999016255169408e-06,0.3214269280433655,88.12093470001128
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,50,4,4.999260909244185e-06,0.2575794756412506,101.94130120007321
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,50,7,4.99524639963056e-06,0.2976025342941284,98.36981220007874
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,50,8,4.9991881496680435e-06,0.2954312562942505,80.25488120003138
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,50,9,4.996686129743466e-06,0.4174211919307709,66.74642470001709
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,50,10,4.994532446289668e-06,0.36587268114089966,62.7453441999387
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,50,6,7.505874236812815e-06,0.342219740152359,122.26031599997077
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,60,0,4.98641793456045e-06,0.2500465214252472,78.93471290008165
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,50,11,4.998390522814589e-06,0.295320987701416,94.11766400001943
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,60,2,4.997633368475363e-06,0.28065210580825806,89.3114369000541
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,60,3,4.983531653124373e-06,0.3084125220775604,98.91863390000071
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,60,5,4.988847194908885e-06,0.2550974190235138,78.82055419997778
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,60,4,4.999786142434459e-06,0.25688666105270386,111.12621279992163
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,60,1,4.999938937544357e-06,0.22056102752685547,118.29460609995294
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,60,7,4.999189513910096e-06,0.24516287446022034,89.1907795999432
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,60,9,4.996150892111473e-06,0.38550835847854614,73.20810320007149
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,60,10,4.998666554456577e-06,0.3401084840297699,70.6932396000484
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,60,6,5.671113285643514e-06,0.2510760426521301,135.9929021000862
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,60,8,4.999698830943089e-06,0.2767939865589142,107.21786189998966
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,60,11,4.989997705706628e-06,0.26772192120552063,102.40539029997308
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,70,0,4.999362317903433e-06,0.24675260484218597,89.468610299984
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,70,1,4.968569555785507e-06,0.22538171708583832,115.83058690000325
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,70,3,4.99795532959979e-06,0.25532081723213196,89.07744160003494
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,70,2,4.983948201697785e-06,0.2673998475074768,126.15719950001221
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,70,5,4.9844943532662e-06,0.22161881625652313,97.44977459998336
