problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,0,4.590772732626647e-06,1.0136183500289917,27.622560099931434
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,1,4.940459803037811e-06,0.9591028690338135,39.85180289996788
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,2,4.9469426812720485e-06,1.0837703943252563,35.40195570001379
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,3,4.9058080549002625e-06,0.8468321561813354,36.14650969998911
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,4,4.9164223128173035e-06,1.0473322868347168,44.92273180000484
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,5,4.875556896877242e-06,1.281670331954956,45.33853680000175
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,6,4.998712483939016e-06,0.915437638759613,50.7743446000386
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,7,4.9578411562833935e-06,0.9368678331375122,40.65418169996701
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,8,4.915477347822161e-06,0.9750087857246399,41.44535840000026
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,9,4.973871455149492e-06,0.7866775989532471,38.374287299928255
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,10,4.9554982979316264e-06,0.9901469349861145,37.07133710000198
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,11,4.994238679500995e-06,0.9821144342422485,39.20996060001198
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,0,4.910035841021454e-06,0.5521784424781799,37.015108400024474
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,1,4.893372533842921e-06,0.36656638979911804,42.940494399983436
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,2,4.9278892220172565e-06,0.5786219239234924,40.87904450006317
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,3,4.966176675225142e-06,0.6342092156410217,40.77711929997895
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,4,4.952633844368393e-06,0.39240920543670654,51.20921520004049
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,5,4.96485699841287e-06,0.47750404477119446,49.95594010001514
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,7,4.966008873452665e-06,0.6238058805465698,43.49162880005315
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,6,4.964291747455718e-06,0.3490535020828247,51.13366060005501
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,8,4.997286850993987e-06,0.7838259935379028,44.722741000005044
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,9,4.933396212436492e-06,0.20191605389118195,37.25822660000995
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,10,4.901899501419393e-06,0.5897598266601562,38.74439180002082
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,11,4.991146852262318e-06,0.7385959625244141,45.33473999996204
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,30,0,4.9737063818611205e-06,0.19567865133285522,38.290085099986754
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,30,1,4.926412657368928e-06,0.06185058876872063,38.44914789998438
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,30,3,4.943035492033232e-06,0.3392370045185089,37.63910239993129
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,30,2,4.993679340259405e-06,0.07557179033756256,49.284788099932484
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,30,4,4.843536316911923e-06,0.27434587478637695,42.74225940008182
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,30,5,4.9904842853720766e-06,0.22778792679309845,47.18380999995861
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,30,7,4.95998892802163e-06,0.31549668312072754,41.55383949994575
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,30,6,4.9843160923046526e-06,0.32229089736938477,50.59174990002066
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,30,8,4.9603522711549886e-06,0.39634376764297485,36.80962539999746
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,30,9,4.99639554618625e-06,0.39754077792167664,39.737852700054646
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,30,10,4.8761726247903425e-06,0.17387180030345917,38.475187800009735
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,30,11,4.959410034643952e-06,0.22639009356498718,44.82811750005931
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,40,0,4.959225861966843e-06,0.035496603697538376,45.51416739996057
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,40,1,4.9989275794359855e-06,0.03801247477531433,44.86160890001338
