problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,2,4.985256964573637e-06,0.46263712644577026,271.91026219993364
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,0,4.929793703922769e-06,0.31556397676467896,343.1576173999347
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,9,4.929677743348293e-06,0.29281002283096313,91.18824000004679
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,8,4.99665748066036e-06,0.4056696891784668,97.85283229989
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,3,4.999008979211794e-06,0.3718031644821167,243.54174920008518
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,10,4.917007572657894e-06,0.4004055857658386,86.54131980007514
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,0,4.99324596603401e-06,0.3931335508823395,79.55090849997941
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,11,4.992582034901716e-06,0.37661272287368774,80.69033400004264
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,7,4.993322363588959e-06,0.35909947752952576,120.70970420003869
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,5,4.9692080210661516e-06,0.3463992774486542,230.65551429998595
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,1,4.980121047992725e-06,0.34245049953460693,80.85931869992055
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,1,6.050122919987189e-06,0.3640880286693573,317.5190689000301
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,2,4.968680059391772e-06,0.368274062871933,84.76535689993761
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,6,1.3688778381037991e-05,0.6332302689552307,179.11209839989897
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,3,4.998764779884368e-06,0.38614174723625183,97.75850700004958
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,4,2.3532846171292476e-05,0.4947335422039032,264.7641641999362
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,9,4.987093689123867e-06,0.3218819499015808,71.52599330001976
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,30,1,4.9986474550678395e-06,0.3536270260810852,74.08863899996504
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,4,8.44237638375489e-06,0.4257708191871643,109.7575371999992
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,30,2,4.998428266844712e-06,0.3527197241783142,76.19857039989438
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,7,4.988255113858031e-06,0.36713293194770813,89.20651470008306
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,10,4.997726591682294e-06,0.6961104869842529,86.83337620005477
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,30,0,4.967716449755244e-06,0.36189404129981995,85.2987240999937
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,8,4.9996328925772104e-06,0.4192509949207306,92.98716929997317
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,5,1.0464931619935669e-05,0.3750115931034088,125.9874320999952
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,6,2.250482066301629e-05,0.4412981867790222,116.76168320002034
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,11,4.999028988095233e-06,0.33352839946746826,107.3431389000034
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,30,3,4.974051080353092e-06,0.38966357707977295,107.93618319998495
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,30,5,4.997885753255105e-06,0.34538233280181885,112.666152000078
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,30,7,4.974574949301314e-06,0.30359703302383423,106.65239219996147
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,30,4,9.037970812642016e-06,0.44675880670547485,132.42840350000188
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,30,9,4.999103111913428e-06,0.5938975214958191,74.28345069999341
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,30,10,4.996670668333536e-06,0.37439602613449097,74.01543779997155
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,40,0,4.988373348169262e-06,0.289526104927063,78.82520699989982
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,30,6,6.9637048909498844e-06,0.38784539699554443,133.73278519988526
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,30,8,4.998186341254041e-06,0.3089883327484131,99.71424460003618
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,30,11,4.980566245649243e-06,0.3407548666000366,90.4226005000528
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,40,1,4.975244792149169e-06,0.29226505756378174,92.47234689991456
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,40,2,4.991333298676182e-06,0.30802083015441895,96.49294150003698
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,40,3,4.987914508092217e-06,0.38510969281196594,100.41290320002008
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,40,7,4.999836164643057e-06,0.29179030656814575,99.50841790006962
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,40,10,4.998964868718758e-06,0.3578975796699524,76.81339009990916
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,40,9,4.971544512955006e-06,0.5603843331336975,86.29694830009248
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,40,8,4.9991040214081295e-06,0.32249927520751953,98.80835589999333
