problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,4.967909717379371e-06,0.3404986262321472,321.0036605000496
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,4.965139851265121e-06,0.2987113296985626,324.466490300023
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,4.960174464940792e-06,0.338319331407547,318.45142289996147
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,3,4.9992681852017995e-06,0.24370107054710388,278.02171549992636
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,4,4.996179541194579e-06,0.3073831796646118,250.9676467999816
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,5,4.9967929953709245e-06,0.9128779172897339,196.93483129993547
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,7,4.998840722691966e-06,0.3622685670852661,129.059642600012
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,6,4.993367383576697e-06,0.4283736050128937,166.41486060002353
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,10,4.999367320124293e-06,0.2587188482284546,45.396534600062296
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,8,4.999501925340155e-06,0.33756908774375916,122.15584230003878
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,9,4.998048552806722e-06,0.20987007021903992,54.08202510001138
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,4.9997966016235296e-06,0.14223261177539825,30.306120299967006
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,11,4.9995524022961035e-06,0.2570886015892029,38.23017860006075
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,4.992060439690249e-06,0.07567601650953293,30.247702699969523
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,3,4.999580141884508e-06,0.19985553622245789,23.788086600019597
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,4.994491973775439e-06,0.07198900729417801,30.643290300038643
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,4,4.996516054234235e-06,0.20670531690120697,23.971745899994858
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,5,4.9997565838566516e-06,0.1128423735499382,21.947290200041607
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,8,4.95050380777684e-06,0.17437347769737244,20.009403300005943
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,9,4.99870930070756e-06,0.14688031375408173,19.379924700013362
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,6,4.990090474166209e-06,0.13736486434936523,22.857842899975367
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,10,4.984092811355367e-06,0.1811503767967224,20.734107499942183
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,7,4.997861651645508e-06,0.1107608824968338,25.79119699995499
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,4.999287284590537e-06,0.07134492695331573,22.60072789993137
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,11,4.978012384526664e-06,0.13469265401363373,25.692284899996594
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,1,4.9383506848244e-06,0.04824936017394066,25.724849400110543
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,4.9965847210842185e-06,0.04165670648217201,24.28945919999387
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,3,4.998420081392396e-06,0.13815458118915558,24.219792400021106
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,4,4.994854862161446e-06,0.07058721035718918,21.86368210008368
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,9,4.980945959687233e-06,0.10313192009925842,21.162880899966694
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,10,4.99901716466411e-06,0.06184177100658417,20.60717710002791
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,7,4.995038125343854e-06,0.09884632378816605,25.60670379991643
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,8,4.9887503337231465e-06,0.1143636628985405,23.8077132999897
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,5,4.999596058041789e-06,0.05187731236219406,27.702441700035706
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,6,4.999377324566012e-06,0.055181194096803665,28.220809199963696
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,0,4.998618805984734e-06,0.027216484770178795,25.727467299904674
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,11,4.99964289701893e-06,0.06483031064271927,28.184691600035876
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,1,4.998606073058909e-06,0.02712213806807995,26.921442899969406
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,3,4.997214546165196e-06,0.06912853568792343,23.10516729997471
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,2,4.99876568937907e-06,0.022269442677497864,33.6040785999503
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,4,4.999460088583874e-06,0.0289707500487566,28.856353900046088
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,8,4.9997406676993705e-06,0.057419564574956894,24.94926010002382
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,7,4.9996324378298596e-06,0.03086506575345993,26.24303090001922
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,10,4.996140432922402e-06,0.03360597416758537,22.10038670001086
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,5,4.9959157877310645e-06,0.029666658490896225,28.229004799970426
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,6,4.996014013158856e-06,0.025432834401726723,29.52302909991704
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,9,4.9801387831394095e-06,0.03997832164168358,25.75111170008313
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,11,4.991582500224467e-06,0.031339842826128006,28.99514180002734
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,0,4.996690677216975e-06,0.017032619565725327,28.03745900001377
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,1,4.996832103643101e-06,0.0140790194272995,32.86685490002856
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,2,4.999503744329559e-06,0.022555407136678696,32.74846759997308
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,3,4.9887939894688316e-06,0.029401196166872978,32.175297699985094
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,5,4.989265562471701e-06,0.023376252502202988,32.93626910005696
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,4,4.996673396817641e-06,0.021586554124951363,38.222282300004736
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,9,4.99812949783518e-06,0.02304832823574543,27.193789800046943
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,10,4.997896212444175e-06,0.017305485904216766,28.89943500002846
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,6,4.998381882614922e-06,0.01768297515809536,39.531945100054145
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,8,4.999814336770214e-06,0.025365810841321945,34.783422000007704
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,7,4.9961558943323325e-06,0.015309376642107964,37.97446419997141
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,11,4.998732492822455e-06,0.0164963211864233,34.20458579994738
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,0,4.9954633141169325e-06,0.013473069295287132,38.697066899971105
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,3,4.999932571081445e-06,0.026955856010317802,37.82382479996886
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,1,4.999816155759618e-06,0.012680275365710258,43.792932700016536
