problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,0,4.9717314141162205e-06,0.6545606851577759,13.126191599993035
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,1,4.999685188522562e-06,0.6249542236328125,10.333943500067107
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,3,4.999985776521498e-06,0.5567476153373718,12.562642400036566
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,2,4.984119186701719e-06,0.6895533204078674,12.218938499921933
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,6,4.999543762096437e-06,0.7273887395858765,11.116315399995074
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,5,4.998682470613858e-06,0.5408645868301392,13.403894599992782
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,4,4.999092652724357e-06,0.8615825772285461,20.3480243999511
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,7,4.998954864277039e-06,0.6444247364997864,14.362697699922137
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,9,4.996935786039103e-06,0.545212984085083,11.340317700058222
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,8,4.999870725441724e-06,0.6472850441932678,15.636369399959221
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,10,4.998549229640048e-06,0.7581620216369629,16.898660199949518
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,0,4.99495399708394e-06,0.37720024585723877,16.98766089999117
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,11,5.989415967633249e-06,0.6750107407569885,22.130079600028694
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,2,4.997132236894686e-06,0.4025540351867676,13.69479490001686
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,3,4.999751581635792e-06,0.39819177985191345,23.57073319994379
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,1,4.999843895348022e-06,0.44286370277404785,26.416453299927525
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,4,4.999983502784744e-06,0.7007643580436707,24.086418799939565
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,10,4.994674782210495e-06,0.4503191411495209,13.41479700000491
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,8,4.999500106350752e-06,0.46552592515945435,17.337457000045106
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,7,4.999626071366947e-06,0.4054850935935974,19.999838400050066
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,6,4.999519205739489e-06,0.5843629837036133,16.62456300004851
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,5,4.998917120246915e-06,0.5693899989128113,21.51243479992263
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,9,4.997158612241037e-06,0.33673709630966187,24.13273810001556
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,1,4.999081738787936e-06,0.3227098286151886,21.349068899988197
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,2,4.995921244699275e-06,0.34829768538475037,21.147874400019646
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,6,4.99963789479807e-06,0.3882415294647217,14.317458700039424
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,11,5.335244622983737e-06,0.5035274028778076,24.806075699976645
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,4,4.999819793738425e-06,0.41002702713012695,22.961480799946003
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,3,4.999896191293374e-06,0.30114322900772095,26.855804200051352
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,5,4.999749307899037e-06,0.40503090620040894,26.60778780002147
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,0,4.999477823730558e-06,0.2910158038139343,29.27195089997258
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,10,4.996416919311741e-06,0.3617638945579529,20.75733269995544
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,8,4.999824341211934e-06,0.3050169348716736,24.72554689995013
