problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,3,4.960498699801974e-06,0.6324231624603271,213.10910190001596
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,2,4.97997507409309e-06,0.82037353515625,228.62607749993913
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,7,4.969113433617167e-06,1.0651565790176392,102.70952739997301
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,1,4.9866230256157e-06,0.5516778826713562,254.84728310001083
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,5,4.951319624524331e-06,1.2406599521636963,217.60111579997465
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,0,4.943174189975252e-06,1.0200293064117432,323.85039109992795
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,4,4.962981165590463e-06,0.6643694043159485,229.38399140001275
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,6,4.954273663315689e-06,0.7676118612289429,160.65887679997832
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,8,4.996521511202445e-06,0.8611195087432861,99.34302029991522
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,9,4.992562026018277e-06,0.5652129650115967,92.9207220999524
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,10,4.968933808413567e-06,0.5588486194610596,80.38486049999483
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,11,4.892243850918021e-06,0.5720914602279663,75.56049369997345
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,1,4.9172713261214085e-06,0.19582660496234894,57.5586812000256
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,3,4.993466973246541e-06,0.2572525441646576,60.45404779992532
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,2,4.985871328244684e-06,0.27872979640960693,63.544716000091285
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,0,4.950546099280473e-06,0.2271604835987091,81.09319729998242
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,7,4.990836259821663e-06,0.5421878099441528,53.1482048999751
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,4,4.837886535824509e-06,0.26159101724624634,63.5997491000453
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,5,4.9950303946388885e-06,0.30705416202545166,63.581111799925566
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,6,4.958360477758106e-06,0.2912634611129761,61.74055139999837
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,8,4.9621107791608665e-06,0.4280734658241272,63.86860489996616
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,10,4.99770885653561e-06,0.20400351285934448,58.65687639999669
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,9,4.929463102598675e-06,0.21511097252368927,70.86150150001049
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,11,4.963703759131022e-06,0.252415269613266,57.885156900039874
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,2,4.768805411003996e-06,0.1423347443342209,57.325559700024314
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,6,4.864926268055569e-06,0.13720375299453735,47.08909929997753
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,3,4.8247002268908545e-06,0.13199523091316223,56.5154064000817
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,1,4.966619144397555e-06,0.09241049736738205,67.55699900002219
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,5,4.953712505084695e-06,0.11882288753986359,56.07321459997911
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,0,4.92875778945745e-06,0.13716675341129303,71.5350229999749
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,4,4.905183686787495e-06,0.13323946297168732,62.198566299979575
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,9,4.989653461962007e-06,0.12489193677902222,53.18481010000687
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,8,4.8974370656651445e-06,0.21124224364757538,58.83165429998189
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,7,4.8817278184287716e-06,0.11806908249855042,64.31057750002947
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,10,4.979891400580527e-06,0.10947465896606445,66.74618249991909
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,11,4.556718067760812e-06,0.13334214687347412,60.620158400037326
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,2,4.9728751037037e-06,0.10103899240493774,55.14155599998776
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,0,4.945336058881367e-06,0.09635155647993088,65.10810379998293
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,1,4.940820417687064e-06,0.06425176560878754,60.63205920008477
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,3,4.956682460033335e-06,0.06601633131504059,57.6151793000754
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,6,4.964138042851118e-06,0.10231059789657593,51.82749379996676
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,5,4.998295480618253e-06,0.08606235682964325,58.691903900005855
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,4,4.99712405144237e-06,0.08385755121707916,61.41992710006889
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,8,4.8866668294067495e-06,0.10402292013168335,60.23350059997756
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,9,4.992520644009346e-06,0.07980211079120636,61.53061240003444
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,11,4.94798496220028e-06,0.0839359387755394,57.02903520001564
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,7,4.991880359739298e-06,0.07020406424999237,66.42377769993618
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,0,4.987609827367123e-06,0.06495018303394318,62.48131669999566
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,10,4.9626632971921936e-06,0.0740203857421875,71.45165539998561
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,1,4.840952897211537e-06,0.043441031128168106,65.88300390006043
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,2,4.998476470063906e-06,0.054850514978170395,60.78119929996319
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,4,4.969521341990912e-06,0.05838244780898094,62.74834190006368
