problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,1,4.872028512181714e-06,0.7056599259376526,308.5207117999671
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,2,4.993005404685391e-06,1.1155306100845337,245.14245080004912
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,3,4.883214387518819e-06,0.7697151303291321,125.33266029995866
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,0,4.9443783609604e-06,1.0716702938079834,330.10635220003314
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,7,4.958315912517719e-06,0.9658312201499939,78.88943700003438
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,5,4.992071808374021e-06,1.0982478857040405,114.03025359997991
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,4,4.9549171308171935e-06,1.0060398578643799,124.1277623999631
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,6,4.917105798085686e-06,0.8307879567146301,102.30121609999333
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,8,4.998486474505626e-06,0.831360936164856,79.85550920001697
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,10,4.914757028018357e-06,0.7548236846923828,62.14746839995496
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,9,4.987882675777655e-06,1.0576764345169067,82.94886860006955
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,11,4.926445853925543e-06,0.696288526058197,60.73843400005717
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,0,4.96721168019576e-06,0.5493250489234924,62.10269200010225
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,1,4.918348167848308e-06,0.32880064845085144,61.5373041999992
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,2,4.984510724170832e-06,0.2995262145996094,50.22685639990959
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,3,4.986113253835356e-06,0.46413326263427734,43.784621500060894
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,4,4.903972694592085e-06,0.5079394578933716,41.820190600003116
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,7,4.779881692229537e-06,0.5344678163528442,38.992458799970336
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,6,4.723389338323614e-06,0.32091814279556274,40.84279999998398
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,5,4.858342890656786e-06,0.2680661976337433,44.032658199896105
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,8,4.972914666723227e-06,0.4090532958507538,42.84436710004229
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,9,4.999681095796404e-06,0.4985973536968231,42.5190591000719
