problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,0,2.3252499886439182e-05,0.48527956008911133,24.38510679989122
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,1,1.652131868468132e-05,0.623180091381073,27.47815000009723
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,2,2.9701290259254165e-05,0.6779320240020752,26.802958599990234
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,3,1.98077286768239e-05,0.6000565886497498,27.72443599998951
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,4,2.3333044737228192e-05,0.5943248867988586,27.69523869990371
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,5,1.7123285942943767e-05,0.6944484114646912,29.497250200016424
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,6,1.0321035006199963e-05,0.585117757320404,27.79760739998892
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,7,1.1422699571994599e-05,0.5103504061698914,28.426174100022763
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,8,2.9428703783196397e-05,0.44297701120376587,27.721159599954262
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,10,1.4810689208388794e-05,0.5273303985595703,29.07677450007759
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,9,1.5518253349000588e-05,0.9547774195671082,29.442021700087935
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,11,6.295504135778174e-06,0.6081336736679077,29.36112909996882
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,20,0,3.886522972607054e-05,0.214067280292511,32.389352899976075
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,20,1,3.114976061624475e-05,0.22763794660568237,33.98395680007525
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,20,2,4.187823287793435e-05,0.3411145806312561,34.9460264001973
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,20,3,1.8812670532497577e-05,0.16742540895938873,35.13128830003552
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,20,4,4.686343527282588e-05,0.25823116302490234,35.04345689993352
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,20,5,2.1135185306775384e-05,0.18894928693771362,34.59812539978884
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,20,6,3.1422110623680055e-05,0.3081425130367279,36.09592880005948
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,20,7,2.356839831918478e-05,0.17832013964653015,35.685075799934566
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,20,8,2.676872827578336e-05,0.24237990379333496,35.03164469986223
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,20,9,2.3318971216212958e-05,0.289483904838562,35.124164200155064
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,20,10,2.6361663913121447e-05,0.23043087124824524,36.06010490003973
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,20,11,2.112382026098203e-05,0.23424749076366425,36.13459539995529
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,30,0,2.7538477297639474e-05,0.13550150394439697,40.81690869992599
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,30,1,2.4445536837447435e-05,0.13159887492656708,41.82974319998175
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,30,2,3.8586858863709494e-05,0.15274009108543396,41.37640730012208
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,30,3,2.1649913833243772e-05,0.12249450385570526,42.976848599966615
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,30,4,3.859135176753625e-05,0.1340901404619217,42.723037499934435
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,30,5,2.9630837161676027e-05,0.13163669407367706,41.91033299989067
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,30,6,3.709798329509795e-05,0.15318772196769714,42.75625430000946
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,30,7,2.548001066315919e-05,0.10770700871944427,42.01156949996948
