problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,4,3.708842268679291e-05,0.4262622892856598,194.88031830010004
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,3,1.9365410480531864e-05,0.6058130264282227,219.59440899989568
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,0,2.408994987490587e-05,0.5668675303459167,290.7010548999533
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,5,2.2445154172601178e-05,0.463459849357605,194.825516999932
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,1,2.9952208933536895e-05,0.8151368498802185,279.0270967998076
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,6,1.3962749108031858e-05,0.6042546033859253,170.87229519989341
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,2,2.984383172588423e-05,0.6613989472389221,268.9854529998265
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,7,6.282282811298501e-06,0.4706440269947052,161.20614659995772
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,10,2.2305830498225987e-05,0.41027992963790894,53.2538558000233
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,11,1.1846487723232713e-05,0.6101635694503784,53.141376399900764
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,8,3.543051934684627e-05,0.6105679273605347,74.18076630006544
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,9,2.3245193006005138e-05,0.6572886109352112,62.490015799878165
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,0,4.273395097698085e-05,0.21558593213558197,42.75752280000597
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,1,3.0429957405431196e-05,0.18248094618320465,41.32532260008156
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,2,2.8491704142652452e-05,0.35115066170692444,38.507475200109184
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,9,2.4704755560378544e-05,0.2763287127017975,29.386953700101003
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,5,2.4102373572532088e-05,0.17194604873657227,30.657794799888507
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,4,4.6271368773886934e-05,0.23113562166690826,31.210859599988908
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,7,1.8100521629094146e-05,0.19102686643600464,30.83155590016395
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,3,3.148222458548844e-05,0.2309117317199707,32.76257189991884
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,6,4.244345473125577e-05,0.3210205137729645,33.83344640000723
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,8,3.25928267557174e-05,0.32722485065460205,34.0053272000514
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,10,2.8872154871351086e-05,0.21874935925006866,37.36251359991729
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,11,3.106579606537707e-05,0.20461662113666534,34.093633599812165
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,0,2.4035565729718655e-05,0.12320680171251297,33.115969200152904
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,1,2.6252402676618658e-05,0.10764004290103912,33.48129030014388
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,2,4.315013575251214e-05,0.13661830127239227,33.904069000156596
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,5,2.104635859723203e-05,0.11528602242469788,33.599368599941954
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,3,2.2527225155499764e-05,0.16316626965999603,37.97331539983861
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,4,4.0515835280530155e-05,0.16086795926094055,35.51450100005604
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,6,3.503380139591172e-05,0.1345549076795578,34.657694899942726
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,8,2.7272159059066325e-05,0.1547347605228424,32.93398420000449
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,10,2.400030462013092e-05,0.12747405469417572,32.502483000047505
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,9,2.68869425781304e-05,0.12456027418375015,33.14158320007846
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,7,2.8589893190655857e-05,0.12608827650547028,34.26849989988841
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,11,2.8831997042289004e-05,0.1319613754749298,33.412401099922135
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,0,3.035922236449551e-05,0.0879669114947319,36.437995000043884
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,1,2.6735231585917063e-05,0.087600477039814,37.89386939979158
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,3,3.696544808917679e-05,0.09222840517759323,35.16910269996151
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,4,4.275143510312773e-05,0.07641121745109558,33.106943499995396
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,2,4.1457751649431884e-05,0.08737701177597046,39.04676629998721
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,5,2.5083143555093557e-05,0.07150150835514069,35.95921370014548
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,6,4.0961193008115515e-05,0.10704459995031357,35.672381800133735
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,7,2.4496923288097605e-05,0.09197212010622025,35.237994299968705
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,9,3.831501817330718e-05,0.071994848549366,35.98723030020483
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,10,2.4764261979726143e-05,0.07979876548051834,34.59761170018464
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,8,3.504850610624999e-05,0.09521235525608063,39.300881300121546
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,11,2.5732097128638998e-05,0.10083179920911789,37.26639040000737
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,50,2,3.4002892789430916e-05,0.05903923138976097,40.59716370003298
