problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,0,4.989886292605661e-06,0.7969133257865906,12.37361709983088
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,2,4.968146186001832e-06,0.929315984249115,9.365091499872506
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,1,4.99959696753649e-06,0.8516110181808472,12.859855500049889
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,4,4.998154054192128e-06,1.077016830444336,14.388925400096923
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,3,4.99974566992023e-06,0.8361054062843323,16.643465099856257
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,5,4.999061275157146e-06,1.081018328666687,18.36113560013473
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,6,4.983385224477388e-06,1.1515222787857056,13.112247499870136
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,8,4.995268227503402e-06,0.8281863331794739,11.25449960003607
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,7,4.994132723368239e-06,0.869536817073822,13.952301600016654
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,10,4.993451511836611e-06,0.8764667510986328,12.902220800053328
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,9,4.992224148736568e-06,1.1805006265640259,18.00576200010255
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,11,4.970092959410977e-06,0.9697399139404297,17.432876100065187
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,0,4.991335572412936e-06,0.3732230067253113,19.387634499929845
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,1,4.996808002033504e-06,0.3110654056072235,19.613240000093356
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,2,4.999461452825926e-06,0.35742855072021484,22.648929999908432
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,3,4.999674729333492e-06,0.3555031418800354,21.024325100006536
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,4,4.990934485249454e-06,0.42569851875305176,19.870522500015795
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,5,4.978372999175917e-06,0.37645915150642395,20.027877199929208
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,6,4.998769782105228e-06,0.4486217796802521,17.269545700168237
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,7,4.998337317374535e-06,0.38566941022872925,20.33716919994913
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,8,4.9962600314756855e-06,0.39546826481819153,22.74260130012408
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,9,4.9947543629969005e-06,0.48351117968559265,21.862087099812925
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,10,4.998048098059371e-06,0.42112064361572266,18.36369639984332
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,11,4.999282282369677e-06,0.42701008915901184,20.546170599991456
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,0,4.9996965572063345e-06,0.16222096979618073,22.613422699971125
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,1,4.999305474484572e-06,0.19714592397212982,22.55819909996353
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,2,4.995140443497803e-06,0.1978694200515747,19.785360799869522
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,4,4.986825842934195e-06,0.24928896129131317,21.60848130006343
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,3,4.9991081141342875e-06,0.20984408259391785,28.64500100002624
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,5,4.992353751731571e-06,0.18822018802165985,20.7275934999343
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,6,4.999493739887839e-06,0.20809276401996613,20.36541450000368
