problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,2,4.986879048374249e-06,0.2896888852119446,165.8491928000003
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,8,4.997236374038039e-06,0.3252423405647278,68.58445920003578
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,1,4.9611417125561275e-06,0.2695530652999878,212.92720119981095
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,4,4.976130185241345e-06,0.2820740342140198,135.10100869997405
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,5,4.999634711566614e-06,0.2505374848842621,114.05418320000172
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,6,4.995057679479942e-06,0.27033212780952454,106.37610769993626
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,0,4.979275672667427e-06,0.2719574570655823,229.26158329984173
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,3,4.9984478209808e-06,0.2524016797542572,179.186892000027
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,7,4.982573045708705e-06,0.24933859705924988,93.80818219995126
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,10,4.992380581825273e-06,0.284457266330719,78.07119069993496
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,0,4.999271823180607e-06,0.22631391882896423,64.59177369996905
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,11,4.999653810955351e-06,0.2420145571231842,72.18096310016699
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,1,4.9979585128312465e-06,0.24059639871120453,67.1067677999381
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,9,4.998680651624454e-06,0.25379496812820435,92.30375390010886
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,6,4.992271897208411e-06,0.24171766638755798,42.57510049990378
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,2,4.99985844726325e-06,0.24197344481945038,69.86947400006466
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,4,4.998984422854846e-06,0.24126093089580536,52.58909140015021
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,5,4.991359219275182e-06,0.22816909849643707,55.368857299908996
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,3,6.047284841770306e-06,0.2292538732290268,71.92892370000482
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,8,4.999370503355749e-06,0.270982950925827,50.70483259996399
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,11,4.999982138542691e-06,0.2398080825805664,48.076047299895436
