problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,10,0,2.807304190355353e-05,0.3363747000694275,77.54336400004104
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,10,1,4.919311322737485e-06,0.43109962344169617,81.92575990012847
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,10,2,6.054921686882153e-05,0.4050450325012207,84.61554110003635
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,10,3,2.0767345631611533e-05,0.40088343620300293,87.33355179987848
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,10,5,4.9676864364300855e-06,0.39177772402763367,50.41838699998334
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,10,4,5.733031230192864e-06,0.4677110016345978,83.54709110013209
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,10,6,1.36777025545598e-05,0.4382864534854889,83.74644670006819
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,10,7,2.4989092707983218e-05,0.32926976680755615,87.46777560003102
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,10,8,1.6641057300148532e-05,0.49661991000175476,86.20997480000369
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,10,9,1.134106787503697e-05,0.3561899960041046,83.60640530008823
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,10,10,7.983712748682592e-06,0.34112998843193054,84.17892439989373
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,10,11,4.998251824872568e-06,0.43545612692832947,71.52534980000928
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,20,0,7.157280924730003e-05,0.35191935300827026,90.81675100000575
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,20,1,0.00010196001676376909,0.3000684082508087,91.02729839994572
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,20,2,5.9955484175588936e-05,0.30245161056518555,91.08365259994753
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,20,3,4.1660470742499456e-05,0.297031044960022,91.91595019982196
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,20,4,5.78400467929896e-05,0.3681882321834564,88.81888539995998
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,20,5,5.3088100685272366e-05,0.36644718050956726,88.72196410014294
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,20,6,8.565060852561146e-05,0.3574846088886261,91.12516689999029
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,20,7,6.058884900994599e-05,0.3074251115322113,93.07876930013299
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,20,8,5.5662741942796856e-05,0.39807629585266113,93.96462989994325
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,20,9,7.519637438235804e-05,0.2817872166633606,89.86946179997176
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,20,10,7.29853127268143e-05,0.49523505568504333,88.39399759983644
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,20,11,4.461301796254702e-05,0.33203431963920593,86.38771110004745
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,30,0,8.666237408760935e-05,0.33445170521736145,95.63534469995648
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,30,1,0.00011347386316629127,0.3161744773387909,96.84983660001308
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,30,2,9.407709876541048e-05,0.2719864249229431,98.77378730010241
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,30,3,6.94448099238798e-05,0.2889639139175415,97.83835119986907
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,30,4,8.412167517235503e-05,0.3558252155780792,93.27583369985223
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,30,6,7.651900523342192e-05,0.29686182737350464,86.18685359996744
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,30,5,9.681379015091807e-05,0.2792583405971527,92.03745720000006
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,30,7,6.395147647708654e-05,0.2581580877304077,94.19522330001928
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,30,8,6.209481944097206e-05,0.29904064536094666,98.04944159998558
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,30,9,9.312635665992275e-05,0.41428282856941223,102.31976609979756
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,30,11,6.357657548505813e-05,0.3082076609134674,96.10518559999764
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,30,10,6.260808004299179e-05,0.3596692383289337,98.54247409990057
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,40,1,0.0001144877533079125,0.27776038646698,108.83826390001923
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,40,0,0.00011056022776756436,0.27043455839157104,116.1389063000679
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,40,2,7.831350376363844e-05,0.23893555998802185,113.89398239995353
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,40,3,8.59298015711829e-05,0.27631816267967224,115.08190470002592
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,40,4,9.713427425595e-05,0.2938573658466339,115.89437240012921
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,40,5,0.00011016322241630405,0.27530637383461,115.85541439987719
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,40,6,0.000118138654215727,0.2890625298023224,113.21861710003577
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,40,7,0.00011611040827119723,0.24460147321224213,116.12916549993679
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,40,8,6.290028977673501e-05,0.2832234501838684,106.63406910002232
nsb_log_d4,p,jax,mlp_10x100_relu,relu,10,100,40,9,0.00010854018910322338,0.4144817888736725,111.23259739996865
