problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,10,0,1.6757732737460174e-05,0.40021511912345886,24.212971300119534
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,10,1,2.2491562049253844e-05,0.31250426173210144,27.90691430005245
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,10,2,2.0279427189962007e-05,0.3260766565799713,28.5714298998937
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,10,3,1.7213284081663005e-05,0.3469627797603607,27.531388900009915
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,10,4,1.7413278328604065e-05,0.33969545364379883,27.417550000129268
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,10,5,2.1162088160053827e-05,0.38018324971199036,28.211058699991554
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,10,6,1.8694605387281626e-05,0.4870390295982361,27.579220899846405
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,10,7,1.2310355486988556e-05,0.3192623555660248,26.721751499921083
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,10,8,1.5037738194223493e-05,0.3938395082950592,26.617539200000465
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,10,9,1.0984135769831482e-05,0.3174220025539398,27.200971100013703
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,10,10,1.5251241165969986e-05,0.3673364222049713,28.05393059994094
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,10,11,1.7330261471215636e-05,0.3753643333911896,27.286412299843505
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,20,0,5.41383633390069e-05,0.16255560517311096,30.329676399938762
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,20,1,5.0978305807802826e-05,0.1677389144897461,31.68212049989961
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,20,2,4.9812741053756326e-05,0.1882082223892212,33.357630599988624
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,20,3,5.443096233648248e-05,0.17198213934898376,32.95008539990522
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,20,4,4.899637497146614e-05,0.26591694355010986,32.347317799925804
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,20,5,5.357331610866822e-05,0.20903518795967102,33.475133299827576
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,20,6,6.613454024773091e-05,0.2042880356311798,33.65279500000179
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,20,7,5.075373701401986e-05,0.17469611763954163,33.72137050004676
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,20,8,1.7829621356213465e-05,0.25518330931663513,33.55500410008244
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,20,9,6.97263385518454e-05,0.17139862477779388,33.813219900010154
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,20,10,3.3527678169775754e-05,0.1937866359949112,35.52414870006032
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,20,11,5.7674606068758294e-05,0.2395438253879547,34.97844380000606
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,30,0,4.986815110896714e-05,0.13277065753936768,40.92047909996472
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,30,1,5.923498247284442e-05,0.10417851060628891,41.501575800124556
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,30,2,5.657505971612409e-05,0.12144618481397629,42.71893179998733
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,30,3,4.250798883731477e-05,0.14058788120746613,42.814077799906954
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,30,5,8.713210991118103e-05,0.1411682516336441,42.16132499999367
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,30,4,5.8982659538742155e-05,0.14789725840091705,44.21722900005989
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,30,6,7.097912020981312e-05,0.1348286271095276,42.43139969999902
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,30,7,5.418974978965707e-05,0.12410872429609299,42.00517080002464
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,30,8,5.3802516049472615e-05,0.15531189739704132,42.569000399904326
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,30,9,7.550298323621973e-05,0.1320360004901886,44.19671990000643
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,30,10,5.151682489668019e-05,0.14960631728172302,42.2580327000469
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,30,11,5.162582965567708e-05,0.17224034667015076,41.358205900061876
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,40,0,7.176238432293758e-05,0.11368529498577118,41.96814739983529
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,40,1,7.723186718067154e-05,0.09374403208494186,42.03011880000122
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,40,2,5.1191160309826955e-05,0.09957008808851242,40.30738509981893
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,40,3,5.511020572157577e-05,0.11367743462324142,40.58797640004195
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,40,4,6.76916679367423e-05,0.086237333714962,40.98912789998576
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,40,5,0.00010412609844934195,0.11282425373792648,40.79718610015698
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,40,6,8.853529288899153e-05,0.10122961550951004,41.52147840010002
nsb_log_d4,p,jax,mlp_4x40_elu,elu,4,40,40,7,5.8206274843541905e-05,0.10703492164611816,41.07950079999864
