problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,0,1.7685142665868625e-05,0.32127293944358826,398.8454085001722
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,1,2.8638442017836496e-05,0.30381253361701965,314.81380130001344
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,2,1.8533288312028162e-05,0.34570425748825073,264.47377130016685
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,3,1.622953641344793e-05,0.3799026906490326,213.5298092002049
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,4,2.284588299517054e-05,0.32470670342445374,125.49337699986063
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,5,1.6454976503155194e-05,0.41899028420448303,121.81490580015816
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,6,2.0351948478491977e-05,0.37232616543769836,108.5122741998639
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,7,1.2596137821674347e-05,0.3352219760417938,99.48188830004074
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,8,1.499200880061835e-05,0.3681246042251587,82.33630659990013
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,9,9.851331014942843e-06,0.40060946345329285,52.28889540000819
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,10,1.476799570809817e-05,0.29792630672454834,50.95833789999597
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,11,1.9699533368111588e-05,0.34091970324516296,34.785663899965584
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,0,6.07736837991979e-05,0.17605821788311005,35.74320310004987
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,1,7.153289334382862e-05,0.16261035203933716,36.031166000058874
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,2,5.258776945993304e-05,0.17110449075698853,33.99384849984199
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,3,5.040113319410011e-05,0.2060704529285431,29.781032500090078
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,4,4.259409615769982e-05,0.19194690883159637,28.252294600009918
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,5,5.322694778442383e-05,0.20172256231307983,29.774013000074774
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,6,5.839070581714623e-05,0.24387741088867188,30.76092299981974
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,7,2.759279595920816e-05,0.1849065124988556,30.30444149998948
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,9,6.446871702792123e-05,0.19108626246452332,28.81259649991989
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,8,2.6817295292858034e-05,0.24357761442661285,29.95629800017923
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,11,4.180615724180825e-05,0.21112222969532013,29.496135900029913
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,10,3.0363233236130327e-05,0.18763919174671173,29.877332699950784
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,0,4.9417369154980406e-05,0.13277821242809296,33.17352720000781
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,1,6.812017090851441e-05,0.10523983836174011,32.30133679998107
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,2,4.246805110597052e-05,0.11796801537275314,33.8379486000631
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,3,4.4916854676557705e-05,0.14852431416511536,32.671643800102174
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,4,5.834003968629986e-05,0.15169860422611237,32.84932959987782
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,6,6.235465116333216e-05,0.14099650084972382,34.257242899853736
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,5,9.879806748358533e-05,0.14498670399188995,35.65223559993319
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,7,4.191330663161352e-05,0.11099400371313095,34.205919299973175
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,8,4.847152013098821e-05,0.16315235197544098,33.07095819991082
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,9,9.061826131073758e-05,0.16783685982227325,31.60615330003202
