problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,1,4.99821680932655e-06,0.39497578144073486,285.24763170001097
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,0,4.898776296613505e-06,0.33419355750083923,314.30841560009867
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,4,1.686454015725758e-05,0.505217432975769,251.45386090013199
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,2,6.582177593372762e-05,0.383088618516922,307.16582969995216
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,3,4.676622120314278e-05,0.41540300846099854,265.5052793000359
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,5,9.456096449866891e-06,0.3249373435974121,174.79607950011268
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,6,1.4941650988475885e-05,0.4007891118526459,163.54595059994608
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,7,1.1894882845808752e-05,0.3888726532459259,89.23184580006637
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,8,4.995656126993708e-06,0.3964974582195282,70.75283750006929
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,11,4.9853338168759365e-06,0.47637614607810974,56.59565620007925
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,10,8.130954483931419e-06,0.43335044384002686,61.71604730002582
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,9,9.223653250955977e-06,0.39119386672973633,62.839435199974105
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,0,4.200376497465186e-05,0.28399986028671265,57.70816999999806
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,1,7.758535502944142e-05,0.22833849489688873,51.88547410001047
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,2,8.49616844789125e-05,0.22946150600910187,51.19626610004343
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,4,8.557637920603156e-05,0.31002604961395264,47.649406200041994
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,3,0.00014104733418207616,0.2967388927936554,51.66456710011698
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,5,2.6870744477491826e-05,0.2869797348976135,44.26113669993356
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,6,7.549981819465756e-05,0.3107496201992035,42.65091690002009
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,7,6.002141162753105e-05,0.2618776261806488,38.87639109999873
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,8,5.6759708968456835e-05,0.31700459122657776,36.141598999965936
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,9,8.123600127873942e-05,0.2489677518606186,34.40319469990209
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,10,4.226159580866806e-05,0.2973448634147644,31.045319100143388
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,11,9.108151425607502e-05,0.3174095153808594,32.60733779985458
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,30,0,7.536201155744493e-05,0.2292981594800949,32.06701250001788
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,30,1,4.720453580375761e-05,0.18725697696208954,31.762887499993667
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,30,2,0.00012510278611443937,0.19343511760234833,33.12879920005798
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,30,3,0.0001577454968355596,0.2706662118434906,33.704493399942294
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,30,4,9.257868077838793e-05,0.2385999858379364,34.2615096999798
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,30,5,7.475126767531037e-05,0.21380171179771423,32.82744459994137
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,30,6,5.6086897529894486e-05,0.2809881865978241,32.83721040003002
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,30,7,8.02787981228903e-05,0.20598207414150238,33.605817599920556
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,30,8,8.677010919200256e-05,0.20202268660068512,33.31347869988531
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,30,9,8.134601375786588e-05,0.3188267648220062,33.56219239998609
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,30,10,8.952824282459915e-05,0.22337095439434052,33.66868669982068
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,30,11,6.56278061796911e-05,0.2556052803993225,34.00964719988406
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,40,0,7.741969602648169e-05,0.17191870510578156,37.215465400135145
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,40,1,7.480532076442614e-05,0.16006644070148468,37.2587478000205
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,40,2,0.00011819686187664047,0.19410715997219086,36.772978799883276
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,40,4,0.00011468608136055991,0.19378426671028137,33.26696779998019
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,40,3,9.093536209547892e-05,0.16826008260250092,37.519604699919
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,40,5,9.299887460656464e-05,0.20275558531284332,35.5538129999768
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,40,6,7.101549999788404e-05,0.21579903364181519,34.35512199997902
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,40,7,6.906280759721994e-05,0.17126189172267914,35.60500609991141
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,40,9,6.723789556417614e-05,0.27077487111091614,33.039248100016266
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,40,8,7.49071768950671e-05,0.170420303940773,36.66479289997369
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,40,10,6.939554441487417e-05,0.18294842541217804,35.68688900000416
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,40,11,7.598222146043554e-05,0.17632079124450684,34.86496819998138
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,50,0,9.949647210305557e-05,0.14756394922733307,40.72529199998826
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,50,2,0.0001306887570535764,0.17030945420265198,39.63958530011587
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,50,1,7.470930722774938e-05,0.13440093398094177,41.80235269991681
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,50,3,0.0001364154159091413,0.1518273800611496,45.198925900040194
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,50,4,0.00017509395547676831,0.13364391028881073,44.79681850015186
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,50,7,0.00010364531044615433,0.15542840957641602,41.09814889985137
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,50,6,0.0001307083002757281,0.18133656680583954,43.79396859998815
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,50,5,7.479822670575231e-05,0.1755484789609909,45.96929179993458
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,50,10,9.205832611769438e-05,0.16209228336811066,40.4157181000337
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,50,8,7.063850353006274e-05,0.1431649923324585,41.716887100134045
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,50,9,0.00012696518388111144,0.164749413728714,45.25014350004494
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,50,11,9.649609273765236e-05,0.12250929325819016,44.631942600011826
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,60,0,9.952022810466588e-05,0.13067275285720825,49.32506599999033
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,60,1,6.866354669909924e-05,0.12178437411785126,46.596483499975875
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,60,3,0.0001268099877052009,0.14373867213726044,49.93908359995112
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,60,2,0.0001557615032652393,0.15043851733207703,51.1933551998809
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,60,4,0.00024103635223582387,0.13270467519760132,49.93425839999691
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,60,5,0.00011455894855316728,0.14016243815422058,48.64460210013203
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,60,6,9.192574361804873e-05,0.1277008056640625,51.62441709986888
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,60,7,7.987809658516198e-05,0.10935681313276291,47.63091040006839
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,60,8,0.00012437619443517178,0.12097171694040298,51.73317360016517
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,60,9,0.00011860611994052306,0.1588936150074005,49.18132109986618
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,60,11,0.00011107413592981175,0.12303632497787476,49.61022399994545
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,60,10,9.023365419125184e-05,0.12099023163318634,50.504104299936444
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,70,0,0.00011861247185152024,0.11933983862400055,51.5734576000832
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,70,1,0.000109056883957237,0.09663460403680801,55.434131799964234
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,70,2,0.0001464897650294006,0.1269049495458603,55.179323100019246
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,70,3,9.625603706808761e-05,0.10811086744070053,56.2618625999894
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,70,5,0.00010361601744079962,0.13652552664279938,54.13854519999586
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,70,6,0.00012884785246569663,0.13800722360610962,50.39801559993066
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,70,4,0.00018954506958834827,0.12375491112470627,56.37930570007302
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,70,7,9.674328612163663e-05,0.10818279534578323,56.66446959995665
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,70,9,0.00014425504195969552,0.13890253007411957,53.908584899967536
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,70,8,0.00012609084660653025,0.10885331779718399,56.30856949998997
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,70,11,0.00010591333557385951,0.10767289996147156,52.50105550000444
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,70,10,0.00011165031173732132,0.11772492527961731,57.38112400006503
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,80,1,0.00011364990496076643,0.09130588918924332,56.62663189996965
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,80,0,0.0001433319121133536,0.1097097098827362,58.472807799931616
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,80,2,0.00015783437993377447,0.12184023857116699,58.04856190015562
