problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,4.998058102501091e-06,0.5621801614761353,409.7140605999157
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,3,4.999875272915233e-06,0.556346595287323,283.2861538999714
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,5,4.992754384147702e-06,0.8218419551849365,268.85609870008193
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,4.997553332941607e-06,0.5209816694259644,396.87594350008294
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,4.980996436643181e-06,0.508357584476471,312.4699594001286
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,4,6.360242423397722e-06,0.8317781090736389,285.5921924998984
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,6,5.086230885353871e-06,0.5633907914161682,183.87079249997623
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,8,4.997241831006249e-06,0.5541918277740479,94.00547429989092
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,9,4.999836164643057e-06,0.6268345713615417,78.65329289995134
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,7,9.903070349537302e-06,0.5739026665687561,105.77337580011226
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,11,4.998322310711956e-06,0.8095176219940186,32.820561199914664
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,10,6.517718247778248e-06,0.6116769909858704,38.713100200053304
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,6.50173433314194e-06,0.5264055728912354,36.99129439983517
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,9.723054063215386e-06,0.28536298871040344,32.79068850004114
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,3,1.023777531372616e-05,0.42894160747528076,32.92263150005601
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,6.042594577593263e-06,0.3513392210006714,38.28622470004484
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,4,1.0569973710516933e-05,0.7330619096755981,29.491075899917632
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,5,7.4261506597395055e-06,0.4753910005092621,29.903514900011942
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,6,8.383204658457544e-06,0.42521077394485474,30.529534600209445
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,7,1.0751562513178214e-05,0.49464771151542664,30.415122600039467
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,8,5.451187917060452e-06,0.4604584574699402,30.452659300062805
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,9,1.3685537851415575e-05,0.39123860001564026,28.56645780010149
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,10,1.0907594514719676e-05,0.4485199749469757,30.57548090000637
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,11,1.0638724234013353e-05,0.481933057308197,29.144236200023443
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,8.75314071890898e-06,0.3001764714717865,34.759542300133035
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,1,1.0840055438166019e-05,0.24753043055534363,35.32410339987837
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,1.1409681974328123e-05,0.2956629991531372,33.81541350018233
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,3,1.1914968126802705e-05,0.3280998766422272,34.384974899934605
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,4,1.3448245226754807e-05,0.2702735662460327,32.874053000006825
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,5,9.562885679770261e-06,0.3681195080280304,32.975416200002655
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,6,1.2827250429836567e-05,0.29548966884613037,32.21368220006116
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,7,1.0320192814106122e-05,0.29561978578567505,34.994155100081116
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,9,1.492294995841803e-05,0.3205551207065582,33.5257711999584
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,11,1.1147704753966536e-05,0.24312810599803925,32.5812497001607
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,8,9.383640644955449e-06,0.25063925981521606,34.38610260002315
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,10,1.3578025573224295e-05,0.3406789302825928,33.70899900002405
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,0,8.653213626530487e-06,0.22690454125404358,36.14168000011705
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,1,1.0968163223878946e-05,0.18192094564437866,35.72245140001178
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,3,1.6707748727640137e-05,0.2696845233440399,37.67828190000728
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,2,1.5703675671829842e-05,0.15693075954914093,38.42822010000236
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,4,1.688261909293942e-05,0.19498907029628754,37.333006700035185
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,5,1.2824933946831152e-05,0.2555586099624634,37.47485090000555
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,6,1.530518966319505e-05,0.17166881263256073,38.0395422000438
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,8,1.1784668458858505e-05,0.23717334866523743,36.769483000040054
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,7,1.3433064850687515e-05,0.25307124853134155,39.39857010007836
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,9,1.5798636013641953e-05,0.2854749262332916,36.36095799994655
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,10,1.5640118363080546e-05,0.23561909794807434,39.234361899783835
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,11,1.450663785362849e-05,0.22091373801231384,39.13661479996517
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,1,1.4198676581145264e-05,0.17132510244846344,40.74337339983322
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,0,1.3353558642847929e-05,0.19625698029994965,41.10636740014888
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,3,1.3610862879431807e-05,0.23904180526733398,41.9031678000465
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,2,2.044548273261171e-05,0.15947256982326508,43.70161150000058
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,4,1.7781665519578382e-05,0.17425236105918884,43.633649999974295
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,5,1.1826533409475815e-05,0.1980770379304886,44.723923600045964
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,6,2.0068675439688377e-05,0.15372256934642792,43.47182839992456
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,7,2.014130041061435e-05,0.17092418670654297,45.96881170012057
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,8,1.5993700799299404e-05,0.2265813797712326,45.9110485999845
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,9,2.0457577193155885e-05,0.1884821206331253,44.613163500092924
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,10,1.5625646483385935e-05,0.15846717357635498,46.16381139983423
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,11,1.6573692846577615e-05,0.1541992574930191,46.86516319983639
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,1,1.3016446246183477e-05,0.15197929739952087,50.28450629999861
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,0,1.629584403417539e-05,0.17440614104270935,51.260988500202075
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,2,2.316220161446836e-05,0.1471264511346817,50.59886969998479
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,4,2.2511831048177555e-05,0.13235189020633698,47.19125970010646
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,3,1.9537841581040993e-05,0.14633576571941376,52.10543920006603
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,5,1.7239513908862136e-05,0.17508117854595184,48.90462819999084
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,6,1.8773496776702814e-05,0.11361110210418701,50.425795200048015
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,7,2.024511923082173e-05,0.1257777363061905,51.02477740007453
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,8,1.7161128198495135e-05,0.11699160933494568,50.36426689988002
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,9,1.9208076992072165e-05,0.14386890828609467,52.219769599847496
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,10,1.7642842067289166e-05,0.13675177097320557,49.048903999850154
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,11,2.518613837310113e-05,0.14917494356632233,54.66247140010819
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,0,1.646797318244353e-05,0.13920626044273376,54.917641799896955
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,1,1.921805232996121e-05,0.12858149409294128,57.7432677000761
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,2,1.960382542165462e-05,0.11149999499320984,59.554328500060365
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,3,2.719054464250803e-05,0.09963449090719223,55.98019860009663
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,4,2.9034352337475866e-05,0.12736351788043976,57.69021080015227
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,5,1.600828363734763e-05,0.164805606007576,57.58025410003029
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,7,2.821408816089388e-05,0.09900052100419998,54.17989609995857
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,6,2.5066177840926684e-05,0.10539456456899643,58.14152959990315
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,9,1.9663837520056404e-05,0.14177687466144562,55.387736400123686
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,8,2.2435553546529263e-05,0.108934685587883,59.65016829990782
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,10,1.600826180947479e-05,0.12911732494831085,57.556942799827084
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,11,2.1449299310916103e-05,0.11585073173046112,58.288629199843854
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,0,1.9276641978649423e-05,0.14260536432266235,61.69304329995066
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,1,2.55664544965839e-05,0.11421987414360046,66.25911039998755
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,2,2.2858879674458876e-05,0.10454326122999191,63.11992849991657
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,3,1.9834544218610972e-05,0.08417090773582458,63.164447400020435
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,4,3.4221226087538525e-05,0.1171400398015976,58.7713889000006
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,5,2.1911442672717385e-05,0.136198028922081,62.904584700008854
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,7,2.8275157092139125e-05,0.09939037263393402,56.34095620014705
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,6,2.7378857339499518e-05,0.0930275246500969,58.361687700031325
nsb_log_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,10,2.532408143451903e-05,0.10935000330209732,55.95366480015218
