problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,0,4.929482201987412e-06,1.0494673252105713,20.60026890016161
nsb_log_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,1,4.922175776300719e-06,0.9382631182670593,25.493985600071028
nsb_log_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,2,4.9783643589762505e-06,1.1458731889724731,21.137751900125295
nsb_log_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,3,4.9692444008542225e-06,0.7796822786331177,22.703750899992883
nsb_log_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,4,4.973517206963152e-06,1.000844955444336,25.293125600088388
nsb_log_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,5,4.978945980838034e-06,1.160335659980774,24.669552100123838
nsb_log_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,6,4.828896635444835e-06,0.9035791754722595,25.45304389996454
nsb_log_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,7,4.9929558372241445e-06,0.8887424468994141,28.383162999991328
nsb_log_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,8,4.990079560229788e-06,0.9566898345947266,26.719132600119337
nsb_log_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,9,4.968820121575845e-06,0.9258670210838318,28.842696600127965
nsb_log_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,10,4.968713710695738e-06,0.7605063319206238,29.894502400187775
nsb_log_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,11,4.781337338499725e-06,0.8828059434890747,24.187714300118387
nsb_log_d4,u,jax,mlp_10x100_tanh,tanh,10,100,20,0,4.975333013135241e-06,0.392655611038208,34.634141199989244
nsb_log_d4,u,jax,mlp_10x100_tanh,tanh,10,100,20,1,4.898103725281544e-06,0.3727952241897583,36.596082400064915
nsb_log_d4,u,jax,mlp_10x100_tanh,tanh,10,100,20,2,4.920810624753358e-06,0.4669696092605591,37.70676149986684
