problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,4.986095973436022e-06,0.4752586781978607,228.6416716000531
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,3,4.9841601139632985e-06,0.5099446773529053,151.1973770998884
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,4.9932282308873255e-06,0.6215065121650696,171.24604460014962
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,4,4.998095391783863e-06,0.44921955466270447,142.17074869992211
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,4.997369160264498e-06,0.48587509989738464,189.29774470021948
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,5,4.999271823180607e-06,0.6514576077461243,134.59418500005268
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,7,4.995628842152655e-06,0.5770525932312012,93.77926400001161
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,6,4.981294296158012e-06,0.5914547443389893,113.90804570005275
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,8,4.987482952856226e-06,0.5399526357650757,69.32976490003057
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,9,4.99614952786942e-06,0.5381007790565491,59.63945919997059
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,11,4.998131316824583e-06,0.49987953901290894,30.12509570014663
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,10,4.9977620619756635e-06,0.516789436340332,43.966471899999306
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,4,4.998369604436448e-06,0.26792511343955994,24.710833700140938
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,4.999745215172879e-06,0.2569524049758911,34.49629240017384
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,6,4.99745738125057e-06,0.3531228005886078,22.535034499829635
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,7,4.989652552467305e-06,0.26744699478149414,20.445430800085887
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,4.998192252969602e-06,0.23836110532283783,29.004674999974668
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,5.093240361020435e-06,0.22665543854236603,33.456871800124645
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,8,4.9999248403764796e-06,0.296542763710022,21.53947430010885
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,3,5.378999958338682e-06,0.2281351536512375,29.80337750003673
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,5,4.9975778892985545e-06,0.2583271563053131,25.392948599997908
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,9,4.999402335670311e-06,0.3158349394798279,24.6531637001317
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,10,4.999745215172879e-06,0.2595742642879486,24.7757103999611
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,11,5.3322182793635875e-06,0.24103781580924988,24.953340400010347
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,4.993089078197954e-06,0.13869599997997284,22.839069300098345
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,1,5.631614385492867e-06,0.09810148924589157,24.714847800089046
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,4.9994841901934706e-06,0.12327040731906891,23.94828790007159
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,3,5.307250830810517e-06,0.11884114891290665,25.10448049986735
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,5,4.998757958674105e-06,0.1468077003955841,22.98106659995392
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,4,5.343114935385529e-06,0.12517370283603668,24.427625100128353
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,6,4.999539214622928e-06,0.13160084187984467,23.322012200020254
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,8,5.004445938538993e-06,0.12475099414587021,23.69338220008649
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,7,5.813530606246786e-06,0.10355187207460403,24.735258700093254
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,10,4.999166776542552e-06,0.16110694408416748,23.598980499897152
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,9,4.99961743116728e-06,0.17219319939613342,24.67735969997011
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,0,4.9968061830441e-06,0.06845027953386307,24.25041089998558
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,11,6.673255484201945e-06,0.09594051539897919,24.591842700028792
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,1,6.271764050325146e-06,0.05731656402349472,25.851853699889034
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,2,5.271662303130142e-06,0.07540230453014374,26.979957099771127
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,3,5.645982582791476e-06,0.0713299959897995,26.213988200062886
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,4,5.951625098532531e-06,0.07242342084646225,25.438003699993715
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,5,5.7950446716859005e-06,0.07947295159101486,26.566907099913806
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,6,6.9828179221076425e-06,0.06080693379044533,26.041695599909872
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,7,5.1573720156739e-06,0.059770505875349045,25.239431999856606
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,8,6.563726401509484e-06,0.07305864989757538,25.87829350004904
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,9,4.996938514523208e-06,0.07446368038654327,24.914596300106496
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,10,5.507406513061142e-06,0.0775502398610115,26.07781279995106
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,11,6.641678737651091e-06,0.05139131844043732,26.18467040010728
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,0,4.999204975320026e-06,0.04025225341320038,28.302677100058645
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,2,4.999243628844852e-06,0.0415663905441761,28.176297600148246
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,1,6.012370249663945e-06,0.03610867261886597,29.350295100128278
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,3,5.389861598814605e-06,0.046953797340393066,28.829644999932498
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,4,5.337604306987487e-06,0.04809475317597389,30.19246819987893
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,5,5.591609351540683e-06,0.05465748906135559,29.32779090013355
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,6,5.7673082665132824e-06,0.0435577817261219,28.642735899891704
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,7,5.5751170293660834e-06,0.040336985141038895,30.15180749981664
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,8,5.929661256232066e-06,0.05211558938026428,28.322442800039425
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,10,5.89098908676533e-06,0.037505388259887695,29.528043900150806
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,9,5.017646344640525e-06,0.05785546824336052,30.730812900001183
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,11,6.3887023316056e-06,0.03190910443663597,29.89226029999554
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,0,5.7605152505857404e-06,0.026504838839173317,31.1921484998893
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,1,7.09748519511777e-06,0.031458839774131775,30.945992200169712
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,2,5.351012532628374e-06,0.03277289867401123,33.18993550003506
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,3,6.720909823343391e-06,0.0380135104060173,32.47815879993141
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,5,4.990595243725693e-06,0.03792514279484749,31.195558599894866
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,4,6.634389592363732e-06,0.04145802557468414,31.56006129994057
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,6,5.966237495158566e-06,0.02657473459839821,33.03180280001834
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,7,5.2281279749877285e-06,0.028367403894662857,32.56053730007261
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,8,6.633708835579455e-06,0.03471233695745468,31.674407900078222
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,10,5.246241471468238e-06,0.033989906311035156,32.11875500017777
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,9,5.080671144241933e-06,0.04413960874080658,33.729115300113335
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,11,8.441747013421264e-06,0.025782430544495583,34.14304529991932
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,0,5.880814114789246e-06,0.02226775512099266,34.62441949988715
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,1,8.130115020321682e-06,0.023517480120062828,34.24986299988814
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,2,6.355319783324376e-06,0.027111386880278587,34.40213709999807
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,3,7.160649147408549e-06,0.0347621850669384,35.12835039990023
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,4,7.665838893444743e-06,0.02863450162112713,34.628416900057346
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,5,5.148332547832979e-06,0.029682260006666183,36.491767100058496
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,7,5.700057954527438e-06,0.022290818393230438,35.5496253001038
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,6,5.6557400966994464e-06,0.019758829846978188,36.42854529991746
