problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,0,4.9264472181675956e-06,0.9415314197540283,20.822815799852833
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,1,4.952074050379451e-06,0.9677900075912476,23.381054499885067
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,3,4.989794433640782e-06,1.1328660249710083,24.480135299963877
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,2,4.987174634152325e-06,1.1032594442367554,40.072295599849895
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,4,4.809399342775578e-06,1.3223470449447632,29.009626500075683
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,6,4.993182301404886e-06,1.1040939092636108,26.025923800189048
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,5,4.991841251467122e-06,1.0043978691101074,30.565065699862316
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,7,4.9944937927648425e-06,0.9968678951263428,31.26189580000937
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,8,4.943946350977058e-06,0.9181728959083557,33.022838399978355
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,9,4.887652721663471e-06,1.0403515100479126,24.023809700040147
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,10,4.95509993925225e-06,0.9403273463249207,38.50284359999932
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,11,4.966434516973095e-06,1.0496325492858887,31.525776399997994
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,20,0,4.94388086735853e-06,0.7320314645767212,65.07496430003084
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,20,1,4.910458756057778e-06,0.6891990900039673,70.68135460000485
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,20,2,4.890232958132401e-06,0.821255087852478,70.24352420005016
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,20,3,4.9501909415994305e-06,0.7863004803657532,68.28704249998555
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,20,4,4.990944489691174e-06,0.7662073969841003,69.22919169999659
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,20,7,4.985667601431487e-06,0.6758392453193665,56.56500800000504
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,20,5,4.979435743734939e-06,0.6330404281616211,82.73176319990307
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,20,6,4.997194082534406e-06,0.817857563495636,76.8593987999484
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,20,9,4.850425739277853e-06,0.8493991494178772,57.96804680000059
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,20,8,4.989410626876634e-06,0.7697765231132507,77.38402220001444
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,20,10,4.976160198566504e-06,0.606917142868042,64.18682499998249
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,20,11,4.975468073098455e-06,0.8025724291801453,57.434276999905705
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,30,0,8.57988288771594e-06,0.4701543152332306,84.37538589979522
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,30,1,9.857059922069311e-06,0.5727055072784424,83.56581500009634
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,30,2,8.963513209891971e-06,0.5628820061683655,83.66144330007955
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,30,3,8.93884316610638e-06,0.7188534736633301,84.51980439992622
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,30,5,9.487363968219142e-06,0.5528610944747925,83.91174970008433
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,30,4,7.0600644903606735e-06,0.6067472696304321,86.16795919998549
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,30,6,9.683972166385502e-06,0.6763076186180115,87.3855134001933
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,30,7,7.839164027245715e-06,0.5603350400924683,88.25071760010906
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,30,8,1.0012124221248087e-05,0.5114231109619141,92.24599930015393
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,30,9,1.1208278010599315e-05,0.7244409918785095,90.58282789983787
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,30,10,9.751290235726628e-06,0.49980342388153076,93.1238655000925
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,30,11,7.95937557995785e-06,0.5065047144889832,90.7493631998077
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,40,0,1.4433537216973491e-05,0.4537792503833771,100.26517970021814
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,40,1,1.2443191735656e-05,0.4890459477901459,100.71701180003583
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,40,2,1.718520070426166e-05,0.4937856197357178,98.98172369995154
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,40,3,1.3973269233247265e-05,0.5923663973808289,104.97920499998145
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,40,4,1.3008458154217806e-05,0.6181979179382324,103.86672560009174
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,10,100,40,5,1.2030775906168856e-05,0.41992756724357605,106.1777304999996
