problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,10,0,4.944905413140077e-06,1.1081920862197876,35.01858150004409
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,10,1,4.94624055136228e-06,0.9776331782341003,40.01221100008115
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,10,2,4.982222890248522e-06,1.0231298208236694,39.90918640000746
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,10,3,4.8529100240557455e-06,1.6970038414001465,41.44886880018748
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,10,4,6.209755156305619e-06,0.9208611845970154,53.190433100098744
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,10,5,4.987686224922072e-06,1.469786524772644,50.12284850003198
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,10,6,4.944498414261034e-06,1.1014975309371948,41.93683009990491
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,10,7,4.98419149153051e-06,1.3012797832489014,37.90821240004152
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,10,10,4.937305220664712e-06,1.2748419046401978,36.6678152999375
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,10,8,4.962484581483295e-06,1.2215672731399536,48.733546799980104
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,10,9,4.9991763262369204e-06,0.979194700717926,45.57326070009731
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,10,11,4.9014420255844016e-06,1.3050289154052734,35.65566250006668
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,20,0,5.9821063587151e-06,0.527120053768158,62.312897600000724
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,20,2,8.009028533706442e-06,0.6181638836860657,64.17805560003035
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,20,1,9.851499271462671e-06,0.5866936445236206,64.68865070003085
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,20,3,6.4224818743241485e-06,0.7440436482429504,62.09466019994579
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,20,4,8.4276070992928e-06,0.4763390123844147,67.31071890005842
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,20,6,7.28876921129995e-06,0.6999570727348328,65.04099630005658
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,20,5,9.7982656370732e-06,0.7077181339263916,70.90895309997723
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,20,7,6.67668473397498e-06,0.5283958911895752,66.26665439992212
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,20,9,5.306527327775257e-06,0.7665982246398926,68.04790410003625
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,20,8,9.397650501341559e-06,0.7375746369361877,68.33982719993219
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,20,11,1.0253967047901824e-05,0.7011335492134094,65.2527940000873
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,20,10,7.616809398314217e-06,0.7657352089881897,70.6705696999561
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,30,0,1.1257555343036074e-05,0.3690679967403412,75.59879980003461
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,30,1,1.1312947208352853e-05,0.40812742710113525,67.00256019993685
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,30,3,1.127441555581754e-05,0.4885343909263611,68.3273998000659
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,30,2,1.048216836352367e-05,0.32624638080596924,74.92855730000883
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,30,6,1.0145603482669685e-05,0.38772058486938477,65.96796749997884
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,30,5,1.576756767462939e-05,0.42993882298469543,70.31532559986226
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,30,4,1.0611513062031008e-05,0.35558322072029114,70.82827800000086
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,30,7,1.0559161637502257e-05,0.3435218632221222,72.95088089979254
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,30,8,8.359332241525408e-06,0.38695892691612244,70.69914039992727
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,30,9,1.1568818990781438e-05,0.40800386667251587,66.32647730014287
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,30,10,1.3409633538685739e-05,0.4954049289226532,67.26943879993632
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,30,11,1.0581230526440777e-05,0.37923794984817505,72.8127766000107
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,40,0,1.3736997061641887e-05,0.2550787925720215,71.9568874000106
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,40,1,1.2163977771706413e-05,0.33455890417099,74.103386499919
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,40,2,1.2923671420139726e-05,0.2228737622499466,75.2185883000493
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,40,3,1.2102176697226241e-05,0.31102803349494934,78.30971800000407
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,40,4,1.0832590305653866e-05,0.2585371434688568,73.83677669987082
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,40,5,1.6838206647662446e-05,0.3425927460193634,69.59997719991952
nsb_log_d8,u,jax,mlp_10x100_elu,elu,10,100,40,6,1.1859751793963369e-05,0.2838258147239685,71.52749009989202
