problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,6,4.998641543352278e-06,0.350844144821167,125.6630274001509
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,8,4.969846941094147e-06,0.37472376227378845,90.31115209986456
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,2,4.992782578483457e-06,0.3558740019798279,196.57449649996124
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,7,4.99954558108584e-06,0.34920087456703186,105.69779500016011
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,5,4.989139597455505e-06,0.3321169316768646,132.78570060012862
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,1,4.9733739615476225e-06,0.3514083921909332,230.0510193000082
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,10,4.974887360731373e-06,0.3669622242450714,44.691980600124225
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,4,4.9930840759770945e-06,0.3416029214859009,169.9925848999992
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,11,4.986894509784179e-06,0.31755441427230835,45.78690099995583
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,3,4.9979225877905264e-06,0.35028842091560364,177.12852569995448
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,0,4.991196874470916e-06,0.38968512415885925,250.7104543999303
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,9,4.9982545533566736e-06,0.31988003849983215,80.45836619986221
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,0,4.999130396754481e-06,0.33187445998191833,60.4371960000135
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,1,8.125951353576966e-06,0.3077242374420166,80.60158820007928
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,2,5.802322903036838e-06,0.3234802484512329,75.75729410001077
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,7,4.999727025278844e-06,0.298073947429657,53.64398779999465
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,4,4.998305939807324e-06,0.3307444453239441,60.804432599805295
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,3,5.385883923736401e-06,0.29525864124298096,69.67786370008253
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,9,4.989637091057375e-06,0.33734533190727234,58.49417700013146
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,5,6.023102741892217e-06,0.2832217514514923,69.63212090008892
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,6,4.9997124733636156e-06,0.3075750768184662,64.87845279998146
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,8,6.16690067545278e-06,0.3088377118110657,70.92471470008604
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,10,6.613345249206759e-06,0.3087722063064575,67.16227299999446
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,11,7.254591764649376e-06,0.27568817138671875,69.52812970010564
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,1,1.0059825399366673e-05,0.266401082277298,72.6005623000674
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,2,7.2338475547439884e-06,0.2896978259086609,73.377878600033
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,0,5.839304776600329e-06,0.3121720254421234,77.86047170008533
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,3,1.069277641363442e-05,0.27855971455574036,74.06613159994595
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,4,6.028699772286927e-06,0.314412921667099,74.22319329995662
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,6,6.816302175138844e-06,0.2682620882987976,75.80080819991417
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,5,9.011634574562777e-06,0.2838457524776459,79.363254299853
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,7,9.480402695771772e-06,0.2720763683319092,73.3403713000007
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,8,1.0083750566991512e-05,0.2749500274658203,74.49690090003423
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,10,1.1342482139298227e-05,0.2889082133769989,74.8531569999177
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,9,5.974802661512513e-06,0.3051360845565796,80.37181979999878
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,11,7.844005267543253e-06,0.2649722695350647,74.66329449997284
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,0,7.780850864946842e-06,0.2716255486011505,80.77697189990431
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,1,1.016598162095761e-05,0.2455262690782547,78.45452469983138
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,2,1.4404149624169804e-05,0.2595929503440857,81.96978239994496
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,3,1.334393527940847e-05,0.25489652156829834,82.52749180002138
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,4,8.408092071476858e-06,0.28951501846313477,76.56943810009398
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,7,1.1786639333877247e-05,0.25308457016944885,79.22865350008942
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,5,1.095596599043347e-05,0.2682814300060272,82.24370500002988
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,6,8.002037247933913e-06,0.2503018081188202,83.40131450002082
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,8,1.4760355043108575e-05,0.2684100568294525,80.75329270004295
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,9,1.0151086826226674e-05,0.29189303517341614,82.75458379997872
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,10,1.2913692444271874e-05,0.25423458218574524,83.27409099997021
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,11,1.2306936696404591e-05,0.26295238733291626,83.31165709998459
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,50,0,1.1627382264123298e-05,0.25009438395500183,89.09281220007688
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,50,1,1.5801677363924682e-05,0.22912690043449402,90.51034250017256
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,50,3,1.144427096733125e-05,0.2434191256761551,89.51798120001331
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,50,2,1.3063968253845815e-05,0.24936211109161377,93.96867000008933
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,50,4,1.0361150089011062e-05,0.2767985463142395,86.49385460000485
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,50,5,1.0515260328247678e-05,0.25494205951690674,87.8254335001111
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,50,6,1.1929479114769492e-05,0.24468158185482025,88.6146106000524
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,50,8,1.1654388799797744e-05,0.2681509554386139,86.10536259994842
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,50,7,1.3183411283534952e-05,0.23679718375205994,87.64391859993339
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,50,9,1.212791266880231e-05,0.2786460220813751,88.51316410000436
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,50,10,1.3069295164314099e-05,0.2455897033214569,89.33652179990895
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,50,11,1.2237202099640854e-05,0.2578883171081543,90.97286899993196
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,60,0,1.2439951206033584e-05,0.24061551690101624,92.45383949996904
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,60,1,1.72592972376151e-05,0.2249310165643692,95.03267630003393
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,60,3,1.4343928341986611e-05,0.23216389119625092,95.23713829996996
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,60,2,1.5764337149448693e-05,0.2275359034538269,97.84842810011469
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,60,4,1.1853662726935e-05,0.2592143416404724,93.35003169998527
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,60,6,1.474285454605706e-05,0.23518821597099304,95.92516410001554
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,60,5,1.2101785614504479e-05,0.24618719518184662,97.24756829999387
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,60,8,1.2589012840180658e-05,0.24084819853305817,92.11797369993292
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,60,7,1.1739160981960595e-05,0.23122845590114594,97.17912069987506
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,60,9,1.1740837180695962e-05,0.25726255774497986,95.31319350004196
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,60,10,1.5380359400296584e-05,0.24138325452804565,93.83818710013293
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,60,11,1.4649201148131397e-05,0.24504141509532928,91.72993379994296
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,70,0,1.1262430234637577e-05,0.2197100967168808,102.1706223001238
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,70,1,1.6329166101058945e-05,0.22457458078861237,96.79059119988233
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,70,2,1.556025745230727e-05,0.22167599201202393,102.51053089997731
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,70,3,1.6519958080607466e-05,0.2234611213207245,103.08832639991306
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,70,4,1.1101436030003242e-05,0.2467024028301239,102.38860110007226
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,70,5,9.535863682685886e-06,0.2465532422065735,102.25943139987066
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,70,7,1.5045237887534313e-05,0.21946513652801514,101.54926780005917
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,70,6,1.371559665130917e-05,0.2225048840045929,104.74974470003508
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,70,8,1.2695601981249638e-05,0.23428623378276825,99.45101549988613
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,70,9,1.3027805835008621e-05,0.25602948665618896,103.11786439991556
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,70,11,1.6175803466467187e-05,0.24037401378154755,103.62656090012752
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,70,10,1.617574889678508e-05,0.2383495420217514,107.74724499997683
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,80,0,1.1069103493355215e-05,0.21043835580348969,111.67230819980614
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,80,1,1.5101797544048168e-05,0.22019317746162415,110.53085860004649
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,80,3,1.660014459048398e-05,0.21927376091480255,108.48574739997275
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,80,2,1.6739162674639374e-05,0.2144697904586792,109.90502869989723
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,80,4,1.0424386346130632e-05,0.23529793322086334,108.06440269993618
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,80,5,1.1762527719838545e-05,0.2365601360797882,109.18006739998236
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,80,7,1.4943991118343547e-05,0.21570633351802826,107.49338690005243
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,80,6,1.5370729670394212e-05,0.21407228708267212,112.77083769999444
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,80,8,1.4964767615310848e-05,0.23921391367912292,111.99622510001063
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,80,9,1.487370809627464e-05,0.22804264724254608,109.05576719995588
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,80,10,1.6434554709121585e-05,0.23563580214977264,108.67823179997504
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,80,11,1.4755549273104407e-05,0.2434171736240387,108.76629270007834
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,90,0,1.2373905519780237e-05,0.20954106748104095,114.02447770000435
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,90,1,1.7027232388500124e-05,0.2061234712600708,113.66194030013867
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,90,2,1.699944186839275e-05,0.20951566100120544,116.73164320015348
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,90,3,1.800843165256083e-05,0.21168124675750732,121.10455819987692
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,90,6,1.751111813064199e-05,0.2067921757698059,110.72012239997275
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,90,4,1.174328281194903e-05,0.2145061492919922,116.96559830009937
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,90,7,1.9602310203481466e-05,0.21551525592803955,113.40896899998188
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,90,5,1.49431461977656e-05,0.21960079669952393,117.25534630008042
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,90,8,1.554695154482033e-05,0.22907501459121704,110.61488620005548
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,90,9,1.2630906894628424e-05,0.22419600188732147,110.82554579991847
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,90,11,1.7378124539391138e-05,0.22963407635688782,110.01558029977605
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,90,10,1.8099048247677274e-05,0.23385339975357056,112.66366520011798
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,100,0,1.3290283277456183e-05,0.19591671228408813,115.46103510004468
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,100,1,1.7795589883462526e-05,0.21507522463798523,112.87152649997734
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,100,3,1.7052743714884855e-05,0.20485720038414001,111.22685760003515
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,100,2,1.821394653234165e-05,0.20712532103061676,114.31073820008896
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,100,4,1.2491028428485151e-05,0.20900961756706238,111.44030790007673
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,100,5,1.3326162843441125e-05,0.21780359745025635,114.89532170002349
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,100,6,1.5051039554236922e-05,0.1972385197877884,115.35068479995243
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,100,7,1.6000523828552105e-05,0.20737607777118683,114.23673299979419
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,100,8,1.490094746259274e-05,0.22637586295604706,111.46498519997112
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,100,10,2.0381296053528786e-05,0.2186492532491684,115.09611949999817
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,100,9,1.3173215847928077e-05,0.21894414722919464,119.97956799995154
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,100,11,1.450036870664917e-05,0.2252347320318222,119.00684739998542
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,200,0,1.9411714674788527e-05,0.15210992097854614,197.3066849000752
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,200,1,1.9224180505261756e-05,0.1758577972650528,193.72913069999777
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,200,3,1.891252031782642e-05,0.16467255353927612,198.1909988000989
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,200,2,2.654131458257325e-05,0.15707014501094818,202.91664570011199
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,200,4,1.9126609913655557e-05,0.16206900775432587,203.27615890000015
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,200,5,1.5944622646202333e-05,0.18520784378051758,209.22781389998272
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,200,7,2.1184496290516108e-05,0.15760862827301025,206.68455810006708
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,200,6,1.8434322555549443e-05,0.15895694494247437,210.01270960015245
nsb_log_d8,u,pytorch,mlp_10x100_relu,relu,10,100,200,8,1.876104943221435e-05,0.16824620962142944,211.2745173999574
