problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,4.998044460080564e-06,1.0382412672042847,186.89946710015647
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,5.675891770806629e-06,1.1090894937515259,228.56445889989845
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,5.141159817867447e-06,1.1656103134155273,205.31016739993356
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,8,4.996752068109345e-06,1.0760302543640137,67.26699050003663
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,3,6.132015187176876e-06,1.0700623989105225,153.4764342000708
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,4,6.726319497829536e-06,1.0765478610992432,140.84404950006865
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,5,6.010881861584494e-06,0.9960902333259583,139.7922340000514
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,10,4.9819009291240945e-06,1.0414022207260132,45.97027789987624
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,7,4.99814495924511e-06,1.2244302034378052,68.93848820007406
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,6,7.745868060737848e-06,1.3661975860595703,83.35315119987354
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,9,4.999023076379672e-06,1.2617818117141724,62.53515830007382
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,11,4.997692940378329e-06,1.1994585990905762,45.24389999988489
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,7.458181698893895e-06,0.47329071164131165,41.20900009991601
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,1.3633817616209853e-05,0.3194427192211151,36.14752379991114
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,8.166955012711696e-06,0.5365328192710876,27.785770499845967
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,3,1.05072695077979e-05,0.4652910828590393,26.30978320003487
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,4,9.176274033961818e-06,0.4880242645740509,24.422993700020015
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,5,1.234050068887882e-05,0.5708045363426208,24.01802570000291
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,8,1.1313385584799107e-05,0.6423649787902832,22.669109700014815
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,10,8.288373464893084e-06,0.5155009031295776,22.25186079996638
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,7,1.1805196663772222e-05,0.43524274230003357,23.099468700122088
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,9,9.643344128562603e-06,0.6359524130821228,22.689011099981144
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,6,1.1667446415231097e-05,0.631327748298645,24.276087400037795
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,11,1.1986946446995717e-05,0.5340590476989746,23.814001699909568
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,0,1.1842085768876132e-05,0.27333971858024597,24.267380299977958
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,1,1.3440019756671973e-05,0.2135290652513504,24.509151599835604
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,2,1.2717682693619281e-05,0.27970385551452637,25.981493799947202
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,3,1.35644850161043e-05,0.3310268819332123,25.468227199977264
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,5,1.4286654732131865e-05,0.32664725184440613,25.70059769996442
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,4,1.361370686936425e-05,0.32152682542800903,27.236113699851558
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,6,1.2502091522037517e-05,0.26025745272636414,26.463993299985304
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,7,1.7520647816127166e-05,0.28216007351875305,26.821952800033614
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,11,1.652244282013271e-05,0.26205161213874817,24.482951499987394
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,9,1.3993075299367774e-05,0.3185279369354248,25.062735799932852
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,8,1.3662483070220333e-05,0.3355216085910797,25.584518200019374
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,10,1.3963239325676113e-05,0.29910144209861755,25.33336910000071
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,0,1.435847116226796e-05,0.17522497475147247,26.026322999969125
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,1,1.6684574802638963e-05,0.15439477562904358,27.122361900052056
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,2,1.293474906560732e-05,0.17381805181503296,26.72924600006081
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,4,2.1003761503379792e-05,0.1597432941198349,25.886421700008214
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,3,1.612927189853508e-05,0.1915992945432663,27.427432700060308
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,5,1.6893989595700987e-05,0.19352169334888458,26.274282600032166
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,6,1.735423575155437e-05,0.17749381065368652,26.63628559978679
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,7,1.778421392373275e-05,0.18904756009578705,26.301210399949923
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,8,1.712589801172726e-05,0.20144207775592804,27.380088800098747
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,9,1.6666217561578378e-05,0.2199973315000534,29.111649099970236
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,10,1.619777140149381e-05,0.17281611263751984,27.348386900033802
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,11,1.906217039504554e-05,0.17873649299144745,28.06776070012711
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,0,1.603629789315164e-05,0.12271853536367416,28.63425450003706
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,2,1.262816567759728e-05,0.12255272269248962,29.124795800074935
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,3,1.6464437067043036e-05,0.12264366447925568,29.356900500133634
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,1,1.987235009437427e-05,0.08941424638032913,31.061763300094754
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,4,1.6718875485821627e-05,0.13523299992084503,30.327141700079665
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,5,1.8149310562876053e-05,0.1234300285577774,29.254226100165397
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,6,2.045848850684706e-05,0.11157062649726868,30.43344739987515
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,7,1.98038815142354e-05,0.11978404223918915,30.240492099896073
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,8,1.728425922919996e-05,0.1377364993095398,31.01116480003111
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,9,1.8176075172959827e-05,0.1456860601902008,30.808706700103357
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,10,1.798756238713395e-05,0.09905857592821121,30.10068400017917
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,11,2.2036243535694666e-05,0.10666222870349884,30.51421510009095
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,0,1.5597584933857433e-05,0.09092891961336136,31.92665720009245
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,1,1.95544653252e-05,0.07134433090686798,34.019938700133935
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,2,1.5019220882095397e-05,0.08443969488143921,33.87748000002466
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,3,1.8725691916188225e-05,0.08929575979709625,33.26216370007023
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,4,2.210548882430885e-05,0.08104631304740906,32.40444410010241
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,6,2.2556703697773628e-05,0.08162888139486313,32.49610299989581
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,5,1.921297371154651e-05,0.08575166016817093,33.24670399981551
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,7,1.8407554307486862e-05,0.07821178436279297,33.24281630013138
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,8,2.0415656763361767e-05,0.09215850383043289,32.73570779990405
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,9,1.6940753994276747e-05,0.10586612671613693,33.251910999882966
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,11,2.3858799977460876e-05,0.07499769330024719,32.88225520006381
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,10,1.752832940837834e-05,0.07389548420906067,33.408096299972385
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,1,1.9444159988779575e-05,0.054582465440034866,36.008115200093016
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,0,1.5621173588442616e-05,0.06593804806470871,36.971655500121415
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,2,1.6011723346309736e-05,0.059624701738357544,36.554113700054586
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,3,1.7123596990131773e-05,0.07214052975177765,37.38432179996744
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,4,2.1204043150646612e-05,0.060566939413547516,35.36014869995415
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,5,2.0806863176403567e-05,0.06183961033821106,36.7579407999292
