problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,0,557.0640869140625,0.33635178208351135,0.20907900016754866
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,1,1139.367431640625,0.29328179359436035,0.17400349979288876
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,2,1062.82080078125,0.44697558879852295,0.16663400013931096
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,0,532.1676635742188,0.117878757417202,0.18602430005557835
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,1,421.0914611816406,0.12103380262851715,0.18392139999195933
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,2,724.7727661132812,0.2093145251274109,0.19100310001522303
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,50,0,790.7804565429688,0.11267121881246567,0.19303709990344942
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,50,1,781.2446899414062,0.12520088255405426,0.20580799994058907
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,50,2,965.97509765625,0.13564467430114746,0.19609039998613298
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,100,0,938.5238037109375,0.12232950329780579,0.22505530016496778
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,100,1,639.4677124023438,0.09600804001092911,0.2134012000169605
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,100,2,745.2556762695312,0.10966978967189789,0.2236786000430584
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,200,0,750.9581909179688,0.09494578838348389,0.23604059987701476
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,200,1,957.5887451171875,0.11132606863975525,0.24464859999716282
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,200,2,902.941650390625,0.10671505331993103,0.2482306999154389
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,500,0,878.457275390625,0.09924014657735825,0.29431749996729195
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,500,1,1015.901123046875,0.11319544911384583,0.30620260001160204
boussinesq_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,500,2,1089.603515625,0.11162777990102768,0.3100380999967456
