problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,84863.796875,0.9807027578353882,0.21205529989674687
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,86350.125,0.9678237438201904,0.1724829999729991
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,85274.203125,0.9714680910110474,0.18184640002436936
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,85140.5703125,0.9658360481262207,0.18890680000185966
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,86120.609375,0.9671700596809387,0.1882986999116838
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,85728.59375,0.9669961929321289,0.1732993999030441
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,86479.1328125,0.9658254981040955,0.18784080003388226
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,1,85369.96875,0.9668168425559998,0.18996690004132688
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,86026.6484375,0.9665695428848267,0.1881429001223296
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,0,86463.15625,0.967499315738678,0.1951687999535352
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,1,85634.09375,0.9663286805152893,0.1819472999777645
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,2,86277.546875,0.9669272303581238,0.1839603998232633
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,0,87065.4609375,0.9666104912757874,0.19180309982039034
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,1,85935.0390625,0.9667137265205383,0.20247559994459152
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,2,85897.84375,0.9662359356880188,0.2003224000800401
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,0,86780.3515625,0.9671593904495239,0.19195550004951656
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,1,85983.28125,0.9665014147758484,0.2032941000070423
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,2,85751.0859375,0.9656497240066528,0.18449770007282495
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,0,86850.640625,0.9666924476623535,0.20524620008654892
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,1,85593.7890625,0.9664167761802673,0.2033951000776142
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,2,85883.40625,0.967028796672821,0.1852657999843359
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,0,86877.2890625,0.9668810963630676,0.20695869997143745
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,1,85685.2734375,0.9662700891494751,0.2106939998921007
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,2,86182.3828125,0.9664477705955505,0.20437750010751188
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,90,0,86858.8203125,0.967751681804657,0.203232100000605
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,90,1,85904.3359375,0.9673171043395996,0.20324010006152093
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,90,2,86068.84375,0.9665313959121704,0.20464639994315803
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,100,0,86422.7578125,0.9661731123924255,0.19882039981894195
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,100,1,86046.609375,0.9669234752655029,0.20664320001378655
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,100,2,86302.5,0.9667434692382812,0.2043339000083506
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,200,0,86407.8203125,0.9667932391166687,0.2283602999523282
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,200,1,86699.0,0.9669957756996155,0.2175632999278605
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,200,2,85995.5625,0.9666908979415894,0.20470690005458891
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,300,0,86340.3125,0.9667147397994995,0.2361650001257658
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,300,1,86796.7578125,0.9673641324043274,0.213234500028193
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,300,2,86278.359375,0.9669334888458252,0.22909320006147027
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,400,0,86364.21875,0.9672601819038391,0.22267290018498898
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,400,1,86592.9609375,0.96649169921875,0.22985769994556904
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,400,2,86288.4921875,0.9669933915138245,0.22047749999910593
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,500,0,86154.71875,0.9669145941734314,0.25464250007644296
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,500,1,86721.0,0.967348575592041,0.24225950008258224
boussinesq_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,4,40,500,2,86395.46875,0.9672200679779053,0.24488600017502904
