problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,10,0,4.283829689025879,0.23240485787391663,0.21102769998833537
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,10,1,4.225722312927246,0.4104005992412567,0.16370519995689392
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,10,2,4.890973091125488,0.3957865834236145,0.17354150000028312
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,20,0,8.837413787841797,0.14831341803073883,0.18718970008194447
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,20,1,6.765395164489746,0.14460662007331848,0.19127959990873933
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,20,2,6.541571140289307,0.1622106283903122,0.1750465000513941
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,50,0,10.746685028076172,0.1250973641872406,0.18670469988137484
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,50,1,11.04185676574707,0.12055084109306335,0.20186989987269044
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,50,2,10.744563102722168,0.12853294610977173,0.21696420013904572
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,100,0,8.931478500366211,0.09719566255807877,0.22372610005550086
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,100,1,8.585302352905273,0.08731238543987274,0.2202802998945117
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,100,2,8.138114929199219,0.09469937533140182,0.21870430000126362
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,200,0,8.484918594360352,0.0824400931596756,0.24040729994885623
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,200,1,7.6249895095825195,0.07638496905565262,0.2511726999655366
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,200,2,5.412421226501465,0.06779652088880539,0.23752500000409782
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,500,0,12.542452812194824,0.09078966081142426,0.30173199996352196
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,500,1,13.871603965759277,0.10354556143283844,0.29558870010077953
boussinesq_affine_d4,phi,pytorch,mlp_4x40_elu,elu,4,40,500,2,9.939949989318848,0.08481907844543457,0.3147781998850405
