problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,10,0,9.136307716369629,0.25124573707580566,0.20438319980166852
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,10,1,5.484188556671143,0.2831120789051056,0.1710838999133557
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,10,2,4.050786972045898,0.3083093762397766,0.17046759999357164
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,20,0,17.750391006469727,0.19437919557094574,0.19493590015918016
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,20,1,10.62393569946289,0.2069903165102005,0.17300730012357235
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,20,2,17.439252853393555,0.21679192781448364,0.18764220015145838
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,30,0,18.78034019470215,0.19400082528591156,0.19512129994109273
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,30,1,16.342504501342773,0.20376357436180115,0.19453870016150177
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,30,2,16.85372543334961,0.20363366603851318,0.1947302999906242
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,40,0,23.2477970123291,0.20128649473190308,0.18252100003883243
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,40,1,20.14792823791504,0.20194317400455475,0.17673079995438457
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,40,2,23.767908096313477,0.20042435824871063,0.16651230002753437
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,50,0,17.693235397338867,0.17172905802726746,0.1827691998332739
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,50,1,19.643028259277344,0.1865791380405426,0.19942319998517632
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,50,2,24.180686950683594,0.18703514337539673,0.20574619993567467
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,60,0,21.816333770751953,0.1768874078989029,0.21391539997421205
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,60,1,26.31938934326172,0.1680706888437271,0.18923260015435517
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,60,2,23.06484031677246,0.19091157615184784,0.19288979982957244
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,70,0,21.5424861907959,0.1804603487253189,0.2048546001315117
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,70,1,27.77652359008789,0.1686505228281021,0.19919519987888634
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,70,2,25.19590187072754,0.17499493062496185,0.1847480998840183
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,80,0,20.300220489501953,0.16785266995429993,0.20135430013760924
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,80,1,24.675193786621094,0.15984049439430237,0.21016560005955398
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,80,2,23.897871017456055,0.16052336990833282,0.204777899896726
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,90,0,22.49812889099121,0.17452658712863922,0.20786179997958243
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,90,1,27.70446014404297,0.15878428518772125,0.19592410000041127
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,90,2,25.142995834350586,0.16636666655540466,0.20557260001078248
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,100,0,23.4482421875,0.165256530046463,0.20524060004390776
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,100,1,29.003244400024414,0.15697602927684784,0.2009834002237767
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,100,2,28.300071716308594,0.17369668185710907,0.1963691001292318
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,200,0,29.873762130737305,0.15775732696056366,0.2150999999139458
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,200,1,29.76300621032715,0.1505020558834076,0.20591640006750822
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,200,2,23.50568199157715,0.1456936001777649,0.20959610003046691
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,300,0,28.45652961730957,0.14977113902568817,0.22401640005409718
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,300,1,33.787593841552734,0.1595248579978943,0.22670709993690252
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,300,2,30.66179656982422,0.1554625779390335,0.22830759990029037
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,400,0,24.932920455932617,0.13225021958351135,0.23497259989380836
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,400,1,30.706932067871094,0.15457288920879364,0.23105380008928478
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,400,2,33.80574035644531,0.16516943275928497,0.22979319980368018
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,500,0,35.04881286621094,0.1560581922531128,0.2372430998366326
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,500,1,24.990894317626953,0.14072038233280182,0.22618880006484687
boussinesq_affine_d4,phi,pytorch,mlp_4x40_relu,relu,4,40,500,2,34.4223518371582,0.16350111365318298,0.24424299993552268
