problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,958.1306762695312,0.8736059069633484,0.2112489000428468
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,951.7432861328125,0.788847029209137,0.18316709995269775
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,945.634765625,0.817488431930542,0.1914033000357449
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,938.7010498046875,0.7828191518783569,0.1772160001564771
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,947.9988403320312,0.7850163578987122,0.1904474999755621
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,949.8992919921875,0.7867209911346436,0.1710179999936372
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,944.6746215820312,0.7829880714416504,0.176303599961102
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,30,1,943.03515625,0.7842788696289062,0.1971594998613
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,952.1411743164062,0.7871133089065552,0.18671220005489886
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,40,0,937.3507080078125,0.7804940342903137,0.19696099986322224
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,40,1,950.5469970703125,0.7867881059646606,0.200577599927783
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,40,2,940.6634521484375,0.7820931673049927,0.18725070008076727
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,50,0,949.3515625,0.7839175462722778,0.20170630002394319
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,50,1,937.626708984375,0.7810996770858765,0.17414070013910532
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,50,2,947.93994140625,0.7854909896850586,0.20085330004803836
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,60,0,950.1757202148438,0.7849575877189636,0.1993548998143524
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,60,1,948.1273193359375,0.7853589057922363,0.2000004998408258
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,60,2,949.5703125,0.7861696481704712,0.20369019987992942
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,70,0,952.2651977539062,0.7854645252227783,0.2090620999224484
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,70,1,945.5615844726562,0.7849466800689697,0.18960709986276925
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,70,2,934.375244140625,0.7801209092140198,0.20401589991524816
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,80,0,944.7404174804688,0.7822677493095398,0.2160563999786973
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,80,1,947.19384765625,0.7854675650596619,0.19748770003207028
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,80,2,957.1954956054688,0.7887789011001587,0.21544789988547564
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,90,0,956.2831420898438,0.7873513698577881,0.20343120000325143
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,90,1,946.930908203125,0.7852856516838074,0.2023058000486344
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,90,2,945.1443481445312,0.7840655446052551,0.2088004001416266
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,100,0,942.7277221679688,0.7820786833763123,0.20775000005960464
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,100,1,937.4991455078125,0.7810306549072266,0.20555699989199638
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,100,2,938.9502563476562,0.7810410261154175,0.21106899995356798
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,200,0,933.3968505859375,0.7783849835395813,0.20869449991732836
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,200,1,944.2800903320312,0.7823765277862549,0.20484660007059574
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,200,2,941.976806640625,0.7827228307723999,0.2125444000121206
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,300,0,931.177001953125,0.7775952219963074,0.22060219990089536
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,300,1,946.7219848632812,0.7833991646766663,0.2177271000109613
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,300,2,942.379150390625,0.782441258430481,0.22675950010307133
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,400,0,953.4942016601562,0.7870619297027588,0.24874810012988746
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,400,1,962.6913452148438,0.7900964021682739,0.22945280000567436
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,400,2,940.4119262695312,0.7816250920295715,0.23065600008703768
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,500,0,956.7935791015625,0.788730263710022,0.23435739986598492
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,500,1,962.963134765625,0.7902368307113647,0.2422590998467058
boussinesq_affine_d4,phi,pytorch,mlp_4x40_tanh,tanh,4,40,500,2,937.777587890625,0.7804372310638428,0.2419407998677343
