problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,5.576615421887254e-06,1092.894287109375,2.0623110000015004
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,9.811920790525619e-06,1058.0850830078125,1.9187301999918418
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,1.1945586265937891e-05,1024.03515625,1.9467081000038888
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,7.774002733640373e-05,445.2743835449219,2.036337099998491
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,8.657250145915896e-05,366.17108154296875,1.9960155000007944
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,3.655332693597302e-05,410.74456787109375,2.0018350999889662
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,0,0.00028227706206962466,181.705078125,2.256259100002353
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,1,0.00021954758267384022,142.7905731201172,3.337356499992893
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,2,0.00017821264918893576,131.63719177246094,3.4463276000024052
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,100,0,0.00024055801623035222,83.45769500732422,3.463933699997142
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,100,1,0.00017980538541451097,71.8093032836914,3.5922532999975374
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,100,2,0.00026485483977012336,87.1432876586914,3.78008049998607
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,200,0,0.00027320842491462827,68.28777313232422,3.9926272000011522
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,200,1,0.00027835118817165494,69.45549011230469,3.975440799986245
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,200,2,0.00026361766504123807,63.89432907104492,3.739942100000917
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,500,0,0.00034958869218826294,63.6282844543457,4.975698199996259
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,500,1,0.0002457212540321052,56.11855697631836,5.268087899996317
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,500,2,0.00018287196871824563,46.98320007324219,4.893750100003672
