problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,0.004236137960106134,0.552841067314148,0.20620999997481704
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,0.004625254310667515,0.44722503423690796,0.16369760013185441
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,0.003979208879172802,0.44376125931739807,0.1732426001690328
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,0.00674776965752244,0.22307313978672028,0.16833269991911948
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,0.006894147954881191,0.2346910536289215,0.17323559988290071
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,0.005305813159793615,0.2106875479221344,0.19044680008664727
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,30,0,0.008290768601000309,0.18119744956493378,0.17970139998942614
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,30,1,0.007310299668461084,0.16849681735038757,0.18647700012661517
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,30,2,0.007728247437626123,0.1845589578151703,0.17254920001141727
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,40,0,0.007776216603815556,0.14453086256980896,0.21685709990561008
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,40,1,0.006696175783872604,0.1424250304698944,0.21997199999168515
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,40,2,0.006343751214444637,0.17037200927734375,0.2272648001089692
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,0,0.009538914076983929,0.14250780642032623,0.20922359987162054
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,1,0.0072464714758098125,0.13272249698638916,0.20192139991559088
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,2,0.006207584869116545,0.12201559543609619,0.2191951998975128
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,60,0,0.009090075269341469,0.13454192876815796,0.2307009999640286
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,60,1,0.005712111480534077,0.11326664686203003,0.20049390010535717
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,60,2,0.008896113373339176,0.1395624279975891,0.19580679992213845
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,70,0,0.011286012828350067,0.1422581672668457,0.20747560006566346
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,70,1,0.009075125679373741,0.13300298154354095,0.19021239993162453
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,70,2,0.008130058646202087,0.1463991403579712,0.20403610006906092
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,80,0,0.0069803111255168915,0.1190047487616539,0.21311879996210337
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,80,1,0.00998416356742382,0.13696174323558807,0.2108320000115782
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,80,2,0.009195087477564812,0.13251586258411407,0.19865859998390079
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,90,0,0.008097697980701923,0.11034659296274185,0.21510859997943044
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,90,1,0.008866997435688972,0.12162937968969345,0.2217337000183761
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,90,2,0.008886681869626045,0.1280924379825592,0.20772079983726144
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,100,0,0.011031363159418106,0.12869173288345337,0.2104589999653399
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,100,1,0.008558392524719238,0.11407667398452759,0.23241019994020462
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,100,2,0.0077218953520059586,0.11677331477403641,0.22962410002946854
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,200,0,0.009230421856045723,0.1109870970249176,0.2540706000290811
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,200,1,0.007629673928022385,0.10277514904737473,0.2960646999999881
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,200,2,0.008288422599434853,0.10898865014314651,0.357146899914369
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,300,0,0.008360779844224453,0.10804381966590881,0.4030542999971658
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,300,1,0.007115143351256847,0.09701472520828247,0.41339199990034103
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,300,2,0.007737221661955118,0.09882823377847672,0.4034589999355376
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,400,0,0.008199343457818031,0.10261426120996475,0.4302079000044614
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,400,1,0.00831834226846695,0.10348005592823029,0.4290205000434071
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,400,2,0.010112528689205647,0.11197010427713394,0.43021299992688
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,500,0,0.010193870402872562,0.11252710223197937,0.6718446998856962
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,500,1,0.0070949154905974865,0.09566472470760345,0.47617590008303523
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,500,2,0.009092025458812714,0.10412853211164474,0.4780014001298696
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,0.0037448115181177855,0.43290719389915466,0.22126600006595254
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,0.0034557636827230453,0.4723292887210846,0.18445629999041557
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,0.005021200515329838,0.5851112008094788,0.18278719997033477
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,0.005483659915626049,0.1883687674999237,0.19045749981887639
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,0.0066374302841722965,0.199070006608963,0.18997639999724925
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,0.005493490491062403,0.2054850310087204,0.17813010001555085
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,30,0,0.007338969502598047,0.18567359447479248,0.184726299950853
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,30,1,0.0065633575432002544,0.16112270951271057,0.19089740002527833
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,30,2,0.009070209227502346,0.2038613259792328,0.18998069991357625
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,40,0,0.006791907362639904,0.14278732240200043,0.19383600004948676
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,40,1,0.005403684452176094,0.1277448982000351,0.18969710008241236
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,40,2,0.005222017876803875,0.1500551849603653,0.20347149996086955
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,0,0.007440655026584864,0.12938779592514038,0.2037959999870509
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,1,0.007808675989508629,0.14136260747909546,0.19955270015634596
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,2,0.012381697073578835,0.17124514281749725,0.1897303001023829
boussinesq_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,60,0,0.008184625767171383,0.12963636219501495,0.21372819994576275
