problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,0.002638555597513914,0.15352188050746918,0.20965309999883175
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,0.0016136188060045242,0.16799646615982056,0.19286489998921752
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,0.0026976321823894978,0.17851722240447998,0.19166510016657412
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,0.0028022066690027714,0.12088777869939804,0.19665540009737015
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,0.0025371608790010214,0.11907593160867691,0.19150790013372898
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,0.003959751687943935,0.10703373700380325,0.19599259993992746
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,0.0033336845226585865,0.10628009587526321,0.17710640002042055
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,1,0.0037114026490598917,0.0987364798784256,0.16378160007297993
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,0.005004473961889744,0.10250559449195862,0.19668900012038648
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,0,0.0036704912781715393,0.09493611007928848,0.1990897001232952
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,1,0.00346755376085639,0.09773682057857513,0.21040969993919134
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,2,0.004345980938524008,0.09585423767566681,0.1954269001726061
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,0,0.003705904120579362,0.0929170623421669,0.1963353999890387
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,1,0.0037884977646172047,0.09327849745750427,0.20698389993049204
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,2,0.00483712088316679,0.09480633586645126,0.21541769988834858
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,0,0.0033884779550135136,0.08452105522155762,0.1932663000188768
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,1,0.00445809168741107,0.10092862695455551,0.20739969983696938
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,2,0.004705724772065878,0.08066236972808838,0.20883070002309978
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,0,0.004784444347023964,0.09248068928718567,0.19895190000534058
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,1,0.004637585021555424,0.08697204291820526,0.2030495998915285
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,2,0.004533072467893362,0.08303102105855942,0.19872440001927316
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,80,0,0.003926057834178209,0.08663855493068695,0.1928097999189049
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,80,1,0.0045094056986272335,0.086075559258461,0.18607409996911883
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,80,2,0.00425306661054492,0.0900314599275589,0.20632799994200468
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,90,0,0.004676513373851776,0.09067072719335556,0.20992380008101463
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,90,1,0.004899084568023682,0.08454645425081253,0.21081280009821057
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,90,2,0.005205120425671339,0.0919925719499588,0.22204909985885024
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,100,0,0.004083982203155756,0.0815664678812027,0.21602779999375343
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,100,1,0.005045196507126093,0.08734650909900665,0.2030412000603974
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,100,2,0.004196560475975275,0.08308502286672592,0.19667920004576445
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,200,0,0.004596675746142864,0.08247216045856476,0.22208569990471005
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,200,1,0.004865182563662529,0.08277459442615509,0.22454770002514124
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,200,2,0.003923516254872084,0.0735478326678276,0.2261616000905633
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,300,0,0.003971393685787916,0.07385896146297455,0.23222860018722713
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,300,1,0.004865460563451052,0.08352916687726974,0.2280449999962002
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,300,2,0.005216060671955347,0.08103231340646744,0.23749330011196434
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,400,0,0.004661275073885918,0.07801973074674606,0.2399538999889046
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,400,1,0.0049298591911792755,0.08270812034606934,0.25662449980154634
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,400,2,0.005204909015446901,0.07905419915914536,0.2597305001690984
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,500,0,0.003933562897145748,0.06982971727848053,0.2540740000549704
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,500,1,0.005062196869403124,0.0852772444486618,0.2608759000431746
boussinesq_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,500,2,0.003890025895088911,0.06831232458353043,0.25254890020005405
