problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,0,143.58737182617188,0.3791326582431793,0.20363350003026426
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,1,256.1799621582031,0.4269481599330902,0.19443470006808639
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,2,137.73171997070312,0.5292998552322388,0.18458270002156496
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,0,340.40728759765625,0.12139998376369476,0.18821090017445385
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,1,171.6681671142578,0.22077706456184387,0.1921377000398934
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,2,482.71075439453125,0.37912318110466003,0.181055799825117
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,0,486.50604248046875,0.14383889734745026,0.1823144000954926
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,1,397.8959655761719,0.1278630495071411,0.18304729997180402
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,2,628.591796875,0.2136038839817047,0.19213109998963773
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,0,427.2010803222656,0.1100643128156662,0.1847427999600768
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,1,488.2149353027344,0.1348593384027481,0.18492050003260374
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,2,624.3524780273438,0.11288180202245712,0.19603580003604293
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,50,0,648.3778076171875,0.1250888705253601,0.19769720011390746
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,50,1,597.007568359375,0.13192561268806458,0.1904050000011921
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,50,2,555.3936157226562,0.11473448574542999,0.1967947999946773
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,60,0,388.7539978027344,0.1004159152507782,0.2042729000095278
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,60,1,499.6541748046875,0.09722785651683807,0.1896087999921292
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,60,2,878.2014770507812,0.1443547159433365,0.2062095000874251
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,70,0,734.6038208007812,0.1092584952712059,0.20274079986847937
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,70,1,692.6466674804688,0.1226026639342308,0.21969950012862682
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,70,2,584.4678344726562,0.11555562168359756,0.21867370000109076
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,80,0,734.7523803710938,0.11864104121923447,0.21596910012885928
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,80,1,752.7911987304688,0.1339438110589981,0.216656600125134
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,80,2,626.7529907226562,0.10406797379255295,0.21604590001516044
boussinesq_affine_d8,p,pytorch,mlp_4x40_elu,elu,4,40,90,0,605.2229614257812,0.09239023923873901,0.22203409997746348
