problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,10,0,0.17241570353507996,0.332297682762146,0.4292454000096768
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,10,1,0.20888563990592957,0.2934824824333191,0.4311142999213189
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,10,2,0.29891547560691833,0.4406377077102661,0.41754999989643693
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,20,0,0.41829848289489746,0.18833939731121063,0.44314590003341436
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,20,1,0.33198466897010803,0.21365369856357574,0.4175378999207169
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,20,2,0.22438140213489532,0.2966948449611664,0.431546299951151
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,30,0,0.39851388335227966,0.16705423593521118,0.48181929998099804
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,30,1,0.42294639348983765,0.14344951510429382,0.46735900011844933
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,30,2,0.31979629397392273,0.20443743467330933,0.43606250011362135
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,40,0,0.27009689807891846,0.13110539317131042,0.48791859997436404
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,40,1,0.4033886790275574,0.11934631317853928,0.47905849991366267
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,40,2,0.3636758625507355,0.15868854522705078,0.47886959998868406
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,50,0,0.4235873818397522,0.13870055973529816,0.49915769998915493
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,50,1,0.3043910264968872,0.09017208218574524,0.4872606999706477
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,50,2,0.34631621837615967,0.13137014210224152,0.4919139000121504
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,60,0,0.3817813992500305,0.12873907387256622,0.4946223997976631
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,60,1,0.47675126791000366,0.10105306655168533,0.493998299818486
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,60,2,0.2833784818649292,0.12621386349201202,0.6338160000741482
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,70,0,0.44365838170051575,0.08023480325937271,0.5160205999854952
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,70,1,0.3711232542991638,0.1196843758225441,0.5149391000159085
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,70,2,0.38711148500442505,0.10149633884429932,0.502157700015232
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,80,0,0.4212254583835602,0.07337991893291473,0.5233648999128491
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,80,1,0.41429510712623596,0.0951722040772438,0.5367738001514226
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,80,2,0.3557097613811493,0.07193995267152786,0.5367140998132527
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,90,0,0.43143796920776367,0.076973557472229,0.531218099873513
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,90,1,0.345835417509079,0.07952659577131271,0.5560284000821412
boussinesq_affine_d8,phi,pytorch,mlp_10x100_elu,elu,10,100,90,2,0.4716881513595581,0.10621964186429977,0.5455494998022914
