problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,0,0.0013524229871109128,0.2785528004169464,0.4421954001300037
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,1,0.0011976035311818123,0.25343507528305054,0.42733719991520047
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,2,0.001327235484495759,0.28455790877342224,0.46850150008685887
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,0,0.00150914560072124,0.2322918325662613,0.42238360014744103
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,1,0.001410035532899201,0.2294963300228119,0.446211300091818
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,2,0.002017437480390072,0.2645525634288788,0.4487594999372959
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,0,0.0015644284430891275,0.2343037724494934,0.42631369992159307
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,1,0.0010286308825016022,0.2118588387966156,0.42426789994351566
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,30,2,0.0016927573597058654,0.23139190673828125,0.4629893999081105
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,0,0.0017433343455195427,0.24719709157943726,0.42035589995794
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,1,0.0020353219006210566,0.260240763425827,0.45691070007160306
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,40,2,0.0009966949000954628,0.22732914984226227,0.44340229989029467
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,50,0,0.0018733605975285172,0.22914065420627594,0.43977559986524284
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,50,1,0.001071128062903881,0.21292050182819366,0.4505197999533266
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,50,2,0.0012718082871288061,0.23674312233924866,0.4570518999826163
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,60,0,0.0008438971126452088,0.22344589233398438,0.4551170999184251
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,60,1,0.001686250208877027,0.2132379412651062,0.455312900012359
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,60,2,0.0020769606344401836,0.22428438067436218,0.4423579000867903
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,70,0,0.0018964301561936736,0.23119930922985077,0.4438982999417931
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,70,1,0.0019209549063816667,0.21907539665699005,0.45966060017235577
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,70,2,0.0013997560599818826,0.20960590243339539,0.47410709992982447
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,80,0,0.0015304895350709558,0.251766562461853,0.46241039992310107
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,80,1,0.0020656627602875233,0.2156173288822174,0.45874159992672503
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,80,2,0.001986369490623474,0.21823161840438843,0.4454403000418097
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,90,0,0.0017569765914231539,0.24226151406764984,0.46574229979887605
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,90,1,0.0014495485229417682,0.20553117990493774,0.47411029995419085
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,90,2,0.002292744582518935,0.19273130595684052,0.4595314001198858
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,100,0,0.001826508087106049,0.22121207416057587,0.4636075000744313
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,100,1,0.0009111982653848827,0.1937493532896042,0.4902132998686284
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,100,2,0.0012661947403103113,0.22834208607673645,0.4590188998263329
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,200,0,0.00227041682228446,0.17708951234817505,0.5179741999600083
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,200,1,0.002168311271816492,0.1720159500837326,0.5205806999001652
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,200,2,0.0010105101391673088,0.15923236310482025,0.5226507000625134
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,300,0,0.002002060879021883,0.1468438059091568,0.5621588001959026
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,300,1,0.0010005742078647017,0.14809612929821014,0.5706713001709431
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,300,2,0.0026447256095707417,0.1520499587059021,0.5680000002030283
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,400,0,0.0019416207214817405,0.11581675708293915,0.598767900140956
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,400,1,0.0023370978888124228,0.13236398994922638,0.6006728000938892
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,400,2,0.0020917104557156563,0.12867982685565948,0.6093647999223322
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,500,0,0.002220114227384329,0.1296878606081009,0.6084286998957396
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,500,1,0.002302279695868492,0.13117969036102295,0.6267049999441952
boussinesq_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,500,2,0.0020462810061872005,0.11819154024124146,0.6230794000439346
