problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,10,0,0.4264225363731384,0.2950219511985779,0.4580459001008421
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,10,1,0.29185640811920166,0.24437671899795532,0.43804930010810494
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,10,2,0.17200183868408203,0.4172869920730591,0.43638169998303056
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,20,0,0.2795411944389343,0.17143569886684418,0.43970119999721646
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,20,1,0.2814694344997406,0.1647080034017563,0.4531405000016093
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,20,2,0.3589082360267639,0.2123439610004425,0.44481480005197227
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,30,0,0.32503482699394226,0.11978720128536224,0.4573663000483066
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,30,1,0.31310394406318665,0.14463873207569122,0.45943580009043217
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,30,2,0.469818651676178,0.1533392369747162,0.4678411998320371
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,40,0,0.38985076546669006,0.09572285413742065,0.5007289000786841
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,40,1,0.2990538775920868,0.08047135919332504,0.4513501999899745
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,40,2,0.42268139123916626,0.14728736877441406,0.4770097001455724
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,50,0,0.36240437626838684,0.04698285833001137,0.47317969985306263
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,50,1,0.2730402946472168,0.04130469262599945,0.5032954998314381
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,50,2,0.4817679524421692,0.08983796089887619,0.4734682999551296
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,60,0,0.5339202880859375,0.07497943192720413,0.4901403998956084
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,60,1,0.33696916699409485,0.047685131430625916,0.5003128999378532
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,60,2,0.5670106410980225,0.045010603964328766,0.515491999918595
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,70,0,0.4231683611869812,0.0487738773226738,0.5033627999946475
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,70,1,0.5078029036521912,0.0487150177359581,0.5388562998268753
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,70,2,0.5490931272506714,0.05541784688830376,0.5081968000158668
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,80,0,0.4067865312099457,0.04719819873571396,0.5451636000070721
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,80,1,0.3916738033294678,0.038795389235019684,0.545483099995181
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,80,2,0.38926249742507935,0.028617272153496742,0.5426260000094771
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,90,0,0.44522765278816223,0.025615578517317772,0.5685090001206845
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,90,1,0.7235430479049683,0.02965357154607773,0.5616429999936372
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,90,2,0.5449638962745667,0.037959326058626175,0.5635691001079977
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,100,0,0.37337005138397217,0.0238619614392519,0.5582620000932366
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,100,1,0.3460503816604614,0.02143825963139534,0.547329599969089
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,100,2,0.42432376742362976,0.038352347910404205,0.5460383000317961
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,200,0,0.48952510952949524,0.022001178935170174,0.8379393999930471
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,200,1,0.4520629644393921,0.02124597132205963,0.7307984000071883
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,200,2,0.5867030620574951,0.020896699279546738,0.7328777001239359
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,300,0,0.43069759011268616,0.019012488424777985,0.8682283000089228
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,300,1,0.44908997416496277,0.019670961424708366,0.8802808001637459
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,300,2,0.45786795020103455,0.01904890686273575,0.8263385000173002
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,400,0,0.493679016828537,0.018929393962025642,0.8060097000561655
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,400,1,0.3919466435909271,0.017588995397090912,0.8110646998975426
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,400,2,0.4904535710811615,0.019556546583771706,0.8175667999312282
boussinesq_log_d4,phi,pytorch,mlp_10x100_elu,elu,10,100,500,0,0.5417313575744629,0.01878173276782036,0.9050638000480831
