problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,10,0,540.7869262695312,0.9501195549964905,0.423790100030601
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,10,1,536.0744018554688,0.6940021514892578,0.4230678998865187
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,10,2,554.3192138671875,0.8974201083183289,0.3961356000509113
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,20,0,518.8863525390625,0.5805984735488892,0.444353099912405
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,20,1,530.6703491210938,0.5839455127716064,0.42850310006178916
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,20,2,532.6563720703125,0.5875904560089111,0.43853679997846484
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,30,0,527.7158813476562,0.5802266597747803,0.4426802000962198
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,30,1,530.1781005859375,0.5865020751953125,0.4275970000308007
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,30,2,540.4002075195312,0.5908399820327759,0.4499373999424279
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,40,0,538.4329223632812,0.5879386067390442,0.4401157998945564
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,40,1,537.3172607421875,0.5897833704948425,0.43887469987384975
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,40,2,533.3988037109375,0.5867656469345093,0.4518250001128763
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,50,0,535.9960327148438,0.5836460590362549,0.45229719998314977
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,50,1,538.6669311523438,0.5898897051811218,0.43765680002979934
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,50,2,531.0227661132812,0.5859536528587341,0.43725680001080036
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,60,0,538.9029541015625,0.5864912867546082,0.4535668999888003
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,60,1,532.08984375,0.5860823392868042,0.43272599996998906
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,60,2,535.8698120117188,0.5886849164962769,0.45363670005463064
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,70,0,540.5513305664062,0.5867825150489807,0.4468096001073718
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,70,1,533.016357421875,0.5876165628433228,0.47914019995369017
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,70,2,521.9314575195312,0.5816828608512878,0.46334150014445186
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,80,0,546.2100830078125,0.5898544192314148,0.4689686999190599
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,80,1,534.4647216796875,0.5878055095672607,0.46188770001754165
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,80,2,545.2409057617188,0.5928807854652405,0.46157040004618466
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,90,0,542.817138671875,0.5886109471321106,0.45414729998447
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,90,1,519.1327514648438,0.5793080925941467,0.46875270013697445
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,90,2,529.9100341796875,0.5850805640220642,0.47466840012930334
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,100,0,532.6392822265625,0.5838310718536377,0.6093935000244528
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,100,1,534.485107421875,0.5871580243110657,0.4724224000237882
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,100,2,543.0975341796875,0.5911339521408081,0.44345580018125474
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,200,0,543.2446899414062,0.5905500650405884,0.5122823000419885
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,200,1,537.2938232421875,0.5858248472213745,0.5060969998594373
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,200,2,551.5136108398438,0.5962730646133423,0.5097799999639392
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,300,0,536.0985107421875,0.5867961645126343,0.5682963998988271
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,300,1,544.6556396484375,0.5897513031959534,0.5512248000595719
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,300,2,531.4962768554688,0.5845484733581543,0.5397736001759768
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,400,0,543.1093139648438,0.5906922221183777,0.5990083999931812
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,400,1,542.338134765625,0.5888928771018982,0.5826026001013815
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,400,2,539.0264282226562,0.5885599255561829,0.5831991999875754
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,500,0,537.5194702148438,0.5882428288459778,0.5996968999970704
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,500,1,544.0436401367188,0.589941680431366,0.5833365998696536
boussinesq_log_d4,phi,pytorch,mlp_10x100_tanh,tanh,10,100,500,2,535.6598510742188,0.5865858793258667,0.6058934000320733
