problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,0,0.0011135396780446172,0.3041573762893677,0.47058569989167154
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,1,0.0012955132406204939,0.34173208475112915,0.4332828000187874
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,2,0.0010579966474324465,0.5951822400093079,0.41013960004784167
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,0,0.001064587035216391,0.2861945629119873,0.4517200000118464
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,1,0.0008476727525703609,0.23320990800857544,0.4385909999255091
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,2,0.0011442902032285929,0.29614773392677307,0.4515915000811219
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,0,0.0017982230056077242,0.2863590121269226,0.4268365001771599
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,1,0.0013177772052586079,0.2534036338329315,0.4332722001709044
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,2,0.0015158711466938257,0.270114004611969,0.4459184999577701
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,0,0.0014383818488568068,0.2379361093044281,0.5587899000383914
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,1,0.0010810175444930792,0.19381196796894073,0.45303749991580844
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,2,0.0019982485100626945,0.23950593173503876,0.4345412999391556
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,50,0,0.00185701425652951,0.22921866178512573,0.4670353999827057
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,50,1,0.001693960395641625,0.17971427738666534,0.462503100046888
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,50,2,0.0018465030007064342,0.19358661770820618,0.44703659997321665
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,60,0,0.00207031168974936,0.20096437633037567,0.4418947999365628
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,60,1,0.001380964065901935,0.18375439941883087,0.4480957998894155
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,60,2,0.001863381010480225,0.1952284574508667,0.43532619997859
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,70,0,0.0014834103640168905,0.18464988470077515,0.44768219999969006
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,70,1,0.0014855682384222746,0.15518172085285187,0.4499951000325382
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,70,2,0.001694418373517692,0.19239628314971924,0.5011279999744147
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,80,0,0.0017397599294781685,0.17779627442359924,0.49378050002269447
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,80,1,0.0013895242009311914,0.1615344136953354,0.5216687999200076
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,80,2,0.0017149250488728285,0.17208901047706604,0.4714458000380546
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,90,0,0.0016024073120206594,0.14505396783351898,0.4648532001301646
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,90,1,0.0019139650976285338,0.14357493817806244,0.47427410003729165
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,90,2,0.0016574314795434475,0.15826088190078735,0.4467545999214053
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,100,0,0.0015150357503443956,0.1292848289012909,0.4609354001004249
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,100,1,0.0017530129989609122,0.11905839294195175,0.48386340006254613
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,100,2,0.0016928442055359483,0.1534528136253357,0.4639926999807358
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,200,0,0.001739914994686842,0.08352795243263245,0.5297513001132756
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,200,1,0.001815460971556604,0.08337679505348206,0.5321051999926567
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,200,2,0.0019097517943009734,0.09870272874832153,0.5247494000941515
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,300,0,0.0019409521482884884,0.06971385329961777,0.5909500999841839
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,300,1,0.0013408201048150659,0.06876504421234131,0.5768180000595748
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,300,2,0.0018689616117626429,0.08349445462226868,0.5717299999669194
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,400,0,0.0016921070637181401,0.06152883917093277,0.6029372001066804
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,400,1,0.001711134216748178,0.06489439308643341,0.5934707000851631
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,400,2,0.0021377771627157927,0.06862876564264297,0.6111868999432772
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,500,0,0.0021201318595558405,0.06113594025373459,0.6074142998550087
boussinesq_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,500,1,0.0020109231118112803,0.06504540145397186,0.6414254000410438
