problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,89225.984375,0.9858349561691284,0.20652180002070963
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,87322.4609375,0.9862087965011597,0.1922286998014897
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,92001.5390625,0.9861883521080017,0.18013900006189942
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,88121.9140625,0.9681063294410706,0.1871028000023216
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,86947.234375,0.9673985838890076,0.190130400005728
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,90760.859375,0.9801707863807678,0.1894016999285668
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,88548.8515625,0.966853678226471,0.1718544999603182
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,1,88176.0234375,0.9668819904327393,0.1978875999338925
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,88398.1640625,0.9660511612892151,0.1593359000980854
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,0,90869.484375,0.9671035408973694,0.17772969999350607
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,1,87288.6640625,0.9667105078697205,0.19745939993299544
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,2,88447.40625,0.9671306610107422,0.1917478998657316
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,0,90056.40625,0.9666650891304016,0.20395909994840622
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,1,87668.71875,0.9671988487243652,0.18266179994679987
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,2,88457.8671875,0.9662850499153137,0.20916730002500117
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,0,89884.5,0.9668208360671997,0.24280839995481074
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,1,88185.2890625,0.9670258164405823,0.1953332000412047
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,2,87784.8515625,0.9657833576202393,0.19841889990493655
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,0,88938.5078125,0.9672941565513611,0.1971785998903215
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,1,88412.078125,0.9662394523620605,0.2007098998874426
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,2,87630.71875,0.9665513038635254,0.2044647999573499
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,0,88885.859375,0.9670038223266602,0.20917019993066788
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,1,88265.40625,0.9665677547454834,0.19320500013418496
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,2,88202.1953125,0.9666488170623779,0.21093229996040463
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,90,0,88914.8671875,0.9667204022407532,0.20107810012996197
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,90,1,89032.328125,0.9660273790359497,0.21344209997914732
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,90,2,87921.2578125,0.9663787484169006,0.20987840020097792
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,100,0,89005.0,0.966680109500885,0.20314539992250502
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,100,1,89479.6875,0.9658743739128113,0.19681750005111098
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,100,2,88394.8828125,0.96602863073349,0.21715729986317456
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,200,0,88405.0703125,0.9666749835014343,0.22316389996558428
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,200,1,89542.7890625,0.9665001034736633,0.2243105999659747
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,200,2,88966.96875,0.9673082232475281,0.2101656999439001
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,300,0,88087.640625,0.9672511219978333,0.234611899824813
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,300,1,89033.65625,0.9671534299850464,0.21282509993761778
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,300,2,89095.3828125,0.9663820266723633,0.22453269991092384
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,400,0,87856.0625,0.9669943451881409,0.22451089997775853
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,400,1,88872.8125,0.9669897556304932,0.22997680003754795
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,400,2,88903.171875,0.9666575193405151,0.226515700109303
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,500,0,88130.3984375,0.9673693776130676,0.24012590013444424
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,500,1,88964.2890625,0.9667032957077026,0.23181219981051981
boussinesq_log_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,500,2,88948.515625,0.9670373797416687,0.23942629992961884
