problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,0,0.0008092788048088551,1.0488828420639038,0.45231910003349185
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,1,0.0003801912534981966,1.0449045896530151,0.41942620021291077
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,2,0.00036663925857283175,1.1690486669540405,0.41582640004344285
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,0,0.0019369812216609716,0.8886744379997253,0.4473013000097126
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,1,0.0012093582190573215,0.8429761528968811,0.4356508001219481
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,2,0.0009376133675687015,0.9854974746704102,0.451993300113827
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,0,0.0019987248815596104,0.6909043192863464,0.4628357000183314
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,1,0.002367343520745635,0.8317543864250183,0.44154080003499985
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,2,0.001685566734522581,0.7635747194290161,0.46727300016209483
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,40,0,0.0030756909400224686,0.6744353771209717,0.4266999999526888
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,40,1,0.0028135650791227818,0.7355100512504578,0.44788059988059103
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,40,2,0.0024203299544751644,0.7401844263076782,0.4635742998216301
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,50,0,0.0029319138266146183,0.6386422514915466,0.44238269980996847
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,50,1,0.0034663230180740356,0.7718510627746582,0.4723014999181032
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,50,2,0.0028302508872002363,0.6257921457290649,0.4688300001434982
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,60,0,0.003097870387136936,0.521447479724884,0.4621543998364359
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,60,1,0.003424914088100195,0.6971874237060547,0.48146519996225834
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,60,2,0.002796224085614085,0.5775895714759827,0.4427620000205934
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,70,0,0.00334472069516778,0.4756450653076172,0.47274870006367564
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,70,1,0.003331031184643507,0.5573487281799316,0.45395039999857545
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,70,2,0.003467575181275606,0.6201314926147461,0.4676447999663651
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,80,0,0.0036171027459204197,0.4274457097053528,0.4523025001399219
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,80,1,0.003920221701264381,0.49124985933303833,0.4722237999085337
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,80,2,0.003956448286771774,0.4525623321533203,0.5301721999421716
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,90,0,0.00397277157753706,0.4349047839641571,0.5235127001069486
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,90,1,0.004213305190205574,0.4124913215637207,0.47086210013367236
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,90,2,0.003928477875888348,0.45346957445144653,0.4648245999123901
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,100,0,0.004220757633447647,0.3913609981536865,0.47087399987503886
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,100,1,0.004017924889922142,0.45348456501960754,0.4834322000388056
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,100,2,0.004392337519675493,0.41210588812828064,0.44283590000122786
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,200,0,0.005066630430519581,0.22890101373195648,0.5048825000412762
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,200,1,0.005421661771833897,0.21919073164463043,0.5160439000464976
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,200,2,0.005781967658549547,0.2187555730342865,0.5288808001205325
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,300,0,0.005671851336956024,0.15879365801811218,0.556117600062862
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,300,1,0.005117527209222317,0.18507732450962067,0.5790738000068814
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,300,2,0.007806441746652126,0.21395623683929443,0.5351867000572383
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,400,0,0.005612933076918125,0.13283036649227142,0.5864585998933762
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,400,1,0.0075440071523189545,0.19260600209236145,0.577594299800694
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,400,2,0.006469232961535454,0.13019953668117523,0.5929060999769717
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,500,0,0.00471839914098382,0.08201923966407776,0.6148564000613987
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,500,1,0.005556308664381504,0.13956297934055328,0.6007600999437273
boussinesq_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,500,2,0.005669062025845051,0.14217865467071533,0.580460799857974
