problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
boussinesq_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,0.008097169920802116,0.6654537916183472,0.20537630002945662
boussinesq_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,0.007368387188762426,0.754520833492279,0.17943980009295046
boussinesq_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,0.005975115578621626,0.8763744831085205,0.17199719999916852
boussinesq_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,0.01275423914194107,0.38166072964668274,0.19839149992913008
boussinesq_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,0.009029748849570751,0.39175668358802795,0.1875656999181956
boussinesq_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,0.01139808539301157,0.4628601670265198,0.18929520016536117
boussinesq_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,0,0.012875586748123169,0.28376317024230957,0.19424539990723133
boussinesq_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,1,0.014862922951579094,0.2945899963378906,0.20835600001737475
boussinesq_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,2,0.0151000265032053,0.3205678462982178,0.18844909989275038
boussinesq_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,0,0.013281402178108692,0.2474842369556427,0.20242859981954098
boussinesq_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,1,0.019673435017466545,0.28157415986061096,0.19143560016527772
boussinesq_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,2,0.015317639335989952,0.23663689196109772,0.1894815000705421
boussinesq_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,0,0.014690211042761803,0.22037330269813538,0.1870220999699086
boussinesq_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,1,0.017792977392673492,0.23082293570041656,0.1940611000172794
boussinesq_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,2,0.020814204588532448,0.26428666710853577,0.19839649996720254
