problem,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,10,0,5.8939051086781546e-05,1.229069709777832,2.8880948000005446
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,10,1,7.288480992428958e-05,0.9369744658470154,3.1749446999892825
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,10,2,8.17824766272679e-05,1.1381003856658936,2.799054300005082
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,20,0,0.00011912706395378336,0.45278042554855347,3.1655173000035575
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,20,1,0.0001665370218688622,0.42137637734413147,2.918629299994791
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,20,2,8.212558168452233e-05,0.38519930839538574,2.957718699995894
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,50,0,0.00022523030929733068,0.11926189064979553,3.46992859999591
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,50,1,0.00020665487681981176,0.1196041852235794,3.264342400012538
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,50,2,0.00022828034707345068,0.11432202160358429,3.412681000001612
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,100,0,0.0002953109797090292,0.07713087648153305,3.6963079999986803
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,100,1,0.00032942849793471396,0.09208416193723679,3.4796950000018114
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,100,2,0.00026517428341321647,0.07916679978370667,3.445917899996857
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,200,0,0.00032780543551780283,0.07346290349960327,4.021398900003987
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,200,1,0.000297114864224568,0.06900414824485779,3.9106572000018787
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,200,2,0.0002797147899400443,0.06403863430023193,3.9042632000055164
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,500,0,0.000293449847958982,0.058869149535894394,4.788010200005374
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,500,1,0.000318526552291587,0.06730764359235764,5.247201300007873
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,500,2,0.000387076404877007,0.06703832745552063,5.3036394999944605
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,10,0,9.299301018472761e-05,1.1286203861236572,2.050314799998887
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,10,1,7.773938705213368e-05,1.1730010509490967,2.9175173999974504
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,10,2,6.311975448625162e-05,1.3713765144348145,2.9570145000034245
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,20,0,0.0001576996291987598,0.3270077109336853,2.9641201000049477
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,20,1,0.00016906819655559957,0.4422413408756256,2.9158058000029996
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,20,2,9.800038242246956e-05,0.45654886960983276,3.167295000006561
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,50,0,0.00034343820880167186,0.1257564276456833,3.0862701000005472
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,50,1,0.00021160178584977984,0.11834833770990372,3.024366400000872
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,50,2,0.00024086474149953574,0.12318980693817139,3.087355800002115
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,100,0,0.00029623863520100713,0.07702422142028809,3.5378240999998525
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,100,1,0.00026162114227190614,0.08574293553829193,3.4627642999985255
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,100,2,0.0002231510734418407,0.06788016110658646,3.7536182000039844
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,200,0,0.00029997219098731875,0.06824440509080887,4.056916100002127
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,200,1,0.0003326265432406217,0.07269195467233658,3.8765176000015344
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,200,2,0.00033316024928353727,0.07199342548847198,4.076415999996243
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,500,0,0.00028356778784655035,0.057203490287065506,5.0016635000065435
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,500,1,0.00030773342587053776,0.06443064659833908,5.019039699996938
diffusion_affine_d4,pytorch,mlp_4x40_elu,elu,4,40,500,2,0.0003997604944743216,0.06948958337306976,5.9099306000134675
