problem,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,1.1458763765404001e-05,0.3248663544654846,1.9647824999992736
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,1.241442259924952e-05,0.28816425800323486,1.927966799994465
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,9.637708899390418e-06,0.3888527452945709,1.9098153999948408
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,2.309064075234346e-05,0.09249930828809738,2.1011777999956394
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,2.1487783669726923e-05,0.13217690587043762,2.109486899993499
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,2.854619742720388e-05,0.11095081269741058,2.083790400007274
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,50,0,4.2612246033968404e-05,0.043020524084568024,2.1829070999956457
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,50,1,3.311649925308302e-05,0.04484834894537926,2.2209104000066873
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,50,2,4.0262402762891725e-05,0.041686948388814926,2.208579700003611
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,100,0,3.9639478927711025e-05,0.027161763980984688,2.419451800000388
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,100,1,3.806502718362026e-05,0.027086248621344566,2.473884500010172
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,100,2,3.921336610801518e-05,0.02806181088089943,2.437233099990408
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,200,0,4.2446739826118574e-05,0.024783721193671227,2.625457500005723
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,200,1,4.5442171540344134e-05,0.026305338367819786,2.639602199997171
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,200,2,4.2050378397107124e-05,0.02496604435145855,2.776532000003499
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,500,0,4.383596751722507e-05,0.022233296185731888,3.039397000000463
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,500,1,4.072645242558792e-05,0.023872945457696915,3.053569499999867
diffusion_affine_d4,pytorch,mlp_4x40_tanh,tanh,4,40,500,2,4.069938950124197e-05,0.022294001653790474,3.019702399993548
