problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,0,4.999242833036988e-07,0.7598013877868652,11.013826599926688
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,2,4.989430522073235e-07,0.8340651392936707,10.342890199972317
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,1,4.989368562746677e-07,0.86404949426651,11.288801099988632
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,3,4.986453063793306e-07,0.7943195700645447,11.550456899916753
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,4,4.999881184630794e-07,0.9665663242340088,14.67728189995978
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,6,4.999416773898702e-07,0.8797243237495422,11.617176300031133
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,5,4.996916231903015e-07,0.7371585369110107,15.900008999975398
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,7,4.999985776521498e-07,0.9693287014961243,9.592132300022058
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,9,4.99662803576939e-07,0.6140225529670715,11.336659100023098
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,11,4.999948828299239e-07,0.8387618064880371,15.57785869995132
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,10,4.998319127480499e-07,1.0664567947387695,25.514745399937965
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,8,4.999872658117965e-07,0.7409839034080505,17.40098479995504
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,0,4.999899942959019e-07,0.43936389684677124,22.851001600036398
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,1,4.995878839508805e-07,0.5468835234642029,25.05924520001281
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,2,4.996169877813372e-07,0.49486780166625977,19.589683900005184
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,6,4.987444413018238e-07,0.7958364486694336,14.605887299985625
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,5,4.998804570277571e-07,0.7857614159584045,15.97514949995093
