problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,0.0017078170785680413,0.9660312533378601,0.17947789991740137
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,0.001545673469081521,1.0232552289962769,0.19919860002119094
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,0.0016058807959780097,0.9832881689071655,0.177092699916102
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,0.005520456004887819,0.5516362190246582,0.19001200003549457
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,0.0059108128771185875,0.6635783910751343,0.1879825999494642
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,0.003738023340702057,0.6023309230804443,0.18000769999343902
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,0,0.00760256964713335,0.4082966446876526,0.2080241999356076
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,1,0.006358023267239332,0.4147520065307617,0.2007174000609666
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,2,0.006157811731100082,0.39937224984169006,0.2115627999883145
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,100,0,0.005681623239070177,0.2930712401866913,0.22991770005319268
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,100,1,0.006274102721363306,0.31929853558540344,0.22993580007459968
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,100,2,0.005330973770469427,0.2996011972427368,0.2195740999886766
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,200,0,0.007622126489877701,0.31958839297294617,0.256052799988538
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,200,1,0.005748756695538759,0.27697327733039856,0.2540905000641942
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,200,2,0.006102108862251043,0.28526267409324646,0.25682080001570284
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,500,0,0.008308982476592064,0.3028642237186432,0.33958330005407333
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,500,1,0.005952114704996347,0.2751334309577942,0.3298232000088319
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,500,2,0.006326667964458466,0.2703343331813812,0.31168919999618083
