problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,0,0.00042142439633607864,1.8853222131729126,0.4491989000234753
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,1,0.00033522682497277856,1.7181812524795532,0.4539023998659104
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,2,0.0004506521800067276,1.8935967683792114,0.42929570004343987
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,0,0.0006397105753421783,1.0531346797943115,0.472065000096336
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,1,0.0007100587827153504,0.9276862144470215,0.45674709999002516
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,2,0.0007646333542652428,1.1097667217254639,0.4704593999776989
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,0,0.0009024825412780046,0.5351294875144958,0.4905718001537025
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,1,0.0008350320276804268,0.8156645894050598,0.4957045998889953
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,2,0.0008090462652035058,0.6922603249549866,0.47272640001028776
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,0,0.0009800035040825605,0.5894696116447449,0.5105353000108153
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,1,0.0007185928989201784,0.3614964783191681,0.4946725000627339
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,2,0.001066750381141901,0.6256210207939148,0.49389379983767867
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,0,0.0010535467881709337,0.29570943117141724,0.4835008999798447
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,1,0.0009274525800719857,0.2934090793132782,0.5070056000258774
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,2,0.0008901216206140816,0.36613336205482483,0.5173233000095934
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,60,0,0.0008651489042676985,0.2655855417251587,0.521944000152871
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,60,1,0.0008906490984372795,0.2214300036430359,0.5264298000838608
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,60,2,0.0010213052155449986,0.3883879780769348,0.5193085998762399
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,70,0,0.001064242678694427,0.23458921909332275,0.5366268001962453
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,70,1,0.0013852512929588556,0.3137058913707733,0.533640299923718
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,70,2,0.0009122078190557659,0.3369627892971039,0.54222820000723
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,80,0,0.000913940544705838,0.20249028503894806,0.568565099965781
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,80,1,0.0011512248311191797,0.22678238153457642,0.5382358999922872
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,80,2,0.0011643122415989637,0.20888344943523407,0.5624247000087053
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,90,0,0.001081908238120377,0.19955575466156006,0.5482932000886649
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,90,1,0.0011463587870821357,0.20843258500099182,0.5678590000607073
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,90,2,0.0011022122344002128,0.19298046827316284,0.5565184000879526
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,100,0,0.001256916206330061,0.1930028796195984,0.5947498998139054
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,100,1,0.001028324943035841,0.18612900376319885,0.5981640999671072
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,100,2,0.001089679542928934,0.16800633072853088,0.6606033002026379
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,200,0,0.0011662259930744767,0.14810000360012054,0.7368568999227136
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,200,1,0.0009839694248512387,0.1317530870437622,0.7450977000407875
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,200,2,0.0013080325443297625,0.15483658015727997,0.7196070000063628
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,300,0,0.0011095827212557197,0.1276072859764099,0.9036214000079781
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,300,1,0.001109464792534709,0.1345706731081009,0.8650737998541445
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,300,2,0.0010783319594338536,0.12645503878593445,0.8937391999643296
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,400,0,0.0013647846644744277,0.13935598731040955,0.8491568001918495
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,400,1,0.0010158356744796038,0.12116747349500656,0.8454791000112891
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,400,2,0.0014376167673617601,0.1397286206483841,0.8330759999807924
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,500,0,0.0014391361037269235,0.1312376707792282,0.919283599825576
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,500,1,0.0011991399805992842,0.12748287618160248,0.9623898998834193
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,500,2,0.0010821424657478929,0.11434990912675858,0.9766500000841916
