problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,2,4.999125735594134e-07,0.9539830684661865,12.73867769993376
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,0,4.983432972949231e-07,0.5386865735054016,14.470639899955131
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,6,4.995354743186908e-07,0.7850757241249084,14.434428600012325
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,3,4.995799827156588e-07,0.8493085503578186,14.608749400009401
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,11,4.99897623740253e-07,0.8501682877540588,14.816531100077555
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,4,4.976095056008489e-07,0.8847430348396301,15.01485039992258
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,10,4.995090421289206e-07,0.8350462317466736,16.43036680005025
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,5,4.993873972125584e-07,0.6804432272911072,16.933662499999627
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,8,4.999400289307232e-07,0.8687157034873962,17.063238499918953
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,1,4.999506586500502e-07,0.6360565423965454,17.325805599917658
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,9,4.998605049877369e-07,1.0442863702774048,21.337134199915454
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,7,4.999815814699105e-07,0.9041085839271545,21.76963709993288
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,3,4.99995223890437e-07,0.49365898966789246,22.425738999969326
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,2,4.997200448997319e-07,0.5753227472305298,25.235813400009647
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,1,4.999747034162283e-07,0.4787067770957947,27.460556200006977
