problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,1,4.919087359667174e-07,1.1839666510775337,28.425717300036922
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,0,4.947527827425802e-07,1.0035400301138049,72.66284349997295
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,2,4.786932095157681e-07,1.031339862507072,34.824987400032114
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,5,4.925740313410643e-07,1.0051748368532356,44.42587189999176
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,4,4.921388949696848e-07,0.7402242927093143,81.44252460001735
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,6,4.871465080213966e-07,0.9416209050910634,59.205041000037454
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,7,4.934427124680951e-07,1.2227465546950913,66.73773390002316
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,8,4.993450488655071e-07,0.946448925469752,51.135548300051596
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,3,4.964958861819468e-07,0.7554341710118619,203.311770899978
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,10,4.891911657978198e-07,1.4778921535249776,48.67603319999762
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,0,4.959513830726792e-07,0.7379852666696546,44.81184849998681
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,2,4.968582061337656e-07,1.1790963130481629,42.96928899997147
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,3,4.6454709945464856e-07,0.5412291133550007,42.42489960003877
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,6,4.6783065954514313e-07,0.6355044032657674,37.964730000006966
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,7,4.9068660246121e-07,1.1872372717086406,36.04853869997896
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,8,4.384710621252452e-07,0.7821657191550047,46.3063167000073
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,9,4.947213483319501e-07,0.21302677546301593,130.96717260003788
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,11,4.818411980522797e-07,0.7170000362844638,131.8281977000297
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,9,4.6394993091780634e-07,1.2228084389258722,39.67848489998141
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,10,4.873688226325612e-07,1.207679299999781,32.10763619997306
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,11,4.909677500108955e-07,0.5787631549704148,28.83816460001981
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,1,4.963195578966406e-07,1.1997187500119886,139.28639570000814
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,2,4.811240614799317e-07,0.6874299493754394,40.94327059999341
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,3,4.945439968651044e-07,1.167188204825415,46.088220999983605
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,5,4.85036252939608e-07,1.4372838892559323,134.7077847000328
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,4,4.839164944314689e-07,0.7189909885887019,147.7572991999914
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,4,4.837255005440966e-07,0.9441441259726698,41.38047559995903
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,6,4.867407596975681e-07,0.41051264077565836,36.78033400001004
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,7,4.929885903948161e-07,0.9355025701376374,40.43608700000914
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,10,4.871707801612501e-07,0.7669446019526229,34.32552999997279
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,11,4.998416329726751e-07,0.5757136548413588,42.79998939996585
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,1,4.947316938341828e-07,1.1166478539687263,127.36481900000945
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,1,4.909782091999659e-07,1.1252561640842553,38.40517169999657
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,0,4.97663791065861e-07,0.49176561259144574,43.2911930999835
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,2,4.6878835746611003e-07,0.5128006386276825,41.07764869998209
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,0,4.986405315321463e-07,0.14560188409446748,176.1155101999757
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,5,4.940886242366105e-07,0.7221366194602203,137.5900460999692
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,4,4.912891995445534e-07,0.27617721265136524,38.81048909999663
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,5,4.967687914358976e-07,0.9079055839066977,46.43941829999676
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,9,4.906295316686737e-07,0.5644679503865505,138.670775400009
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,6,4.82878363072814e-07,0.23520232212818315,35.11932479997631
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,8,4.961471518072358e-07,0.8630035329730047,154.23998309997842
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,10,4.969559199707874e-07,0.14405172243750644,37.617037200019695
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,9,4.918605895909423e-07,0.5312467252135729,50.2916631999542
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,11,4.989782951270172e-07,0.527631018906061,41.80485940002836
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,3,4.944246825289156e-07,1.0912655854364866,109.19511839997722
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,1,4.974149874215072e-07,0.8143872562534503,55.56097079999745
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,5,4.901203283225186e-07,0.8061720873883534,49.744332700036466
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,7,4.92034246235562e-07,0.9244081156252629,106.87234859995078
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,4,4.6655409846607654e-07,0.46172353239587804,58.141457799996715
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,8,4.811709573004919e-07,0.5511404727167761,109.04228819999844
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,6,4.881326276517939e-07,0.7642259649679453,49.668306099949405
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,8,4.836371658711869e-07,0.7752819453644721,47.231006799964234
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,2,4.92355241021869e-07,1.028849406386902,107.46958069998072
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,0,4.877409764958429e-07,0.6035591881345473,115.96675800002413
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,9,4.92353592562722e-07,0.4306048836997826,47.93012560001807
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,11,4.991684932065255e-07,0.5664352325723644,43.5949148000218
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,3,4.996124403078284e-07,0.6301920898348478,133.99794249999104
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,1,4.771409294335172e-07,0.1926211035171324,56.736974700004794
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,7,4.931264356855536e-07,0.32356792317152216,119.90974700002698
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,2,4.904723027721047e-07,1.6243134557239218,67.27115220000269
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,6,4.996820734959329e-07,1.1844435773552195,53.37019359995611
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,5,4.80762935239909e-07,0.7699929452896208,56.763936100003775
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,10,4.948249738845334e-07,1.009317028501427,109.8258432999719
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,0,4.899397367807978e-07,0.9617722531204848,106.9214467999991
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,9,4.932554702463676e-07,0.5853106004909998,56.36741800000891
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,11,4.96692678098043e-07,0.4065368943899676,58.06951940001454
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,4,4.995599738322198e-07,0.6063210176252253,117.1027810999658
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,3,4.842783027925179e-07,0.5396278361132547,119.23091240000213
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,70,0,4.959413217875408e-07,1.0192926453089892,59.3480357999797
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,70,1,4.990313868802332e-07,0.18187792551169507,62.546350299962796
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,7,4.958923227604828e-07,0.3984692359619869,108.48614599998109
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,8,4.913399038741773e-07,0.43918079842342694,106.64980320003815
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,70,4,4.943261160406109e-07,0.9050859420258698,58.91514769999776
