problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,0,4.994740834263212e-07,1.6567058563232422,17.29476069996599
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,1,4.984764245818951e-07,1.5522938966751099,22.759865899919532
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,2,4.999459406462847e-07,1.8828892707824707,33.83879920002073
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,3,4.999708380637458e-07,1.7133300304412842,35.84298979991581
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,4,4.99746931836853e-07,2.1325390338897705,31.265071399975568
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,5,4.996633720111276e-07,1.7149205207824707,20.366232899948955
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,6,4.993170819034276e-07,2.1888089179992676,19.87947200005874
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,7,4.999206453248917e-07,1.721653938293457,21.75176959997043
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,8,4.998818212698097e-07,1.7257462739944458,20.90389679989312
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,9,4.99972770739987e-07,1.8861597776412964,24.724739200086333
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,10,4.999524207960349e-07,1.846298336982727,26.009586400003172
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,11,4.999906195735093e-07,1.9315080642700195,29.68932250002399
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,0,4.998098006581131e-07,0.7776379585266113,36.104857800062746
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,1,4.998593112759409e-07,0.8685129880905151,39.536806100048125
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,2,4.998431109015655e-07,1.0026416778564453,31.387819799943827
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,4,4.998423150937015e-07,1.0489153861999512,33.65627399994992
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,5,4.988920068171865e-07,0.8573235273361206,31.40671700006351
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,3,6.20707055531966e-07,0.6729162931442261,75.74262000003364
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,9,4.99909901918727e-07,0.8151640295982361,24.65254289994482
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,7,4.99956854582706e-07,0.8141752481460571,38.55530860007275
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,10,4.975914293936512e-07,0.8678573369979858,25.67811320000328
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,8,4.999977818442858e-07,1.0151517391204834,48.18843779992312
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,6,5.851280207025411e-07,0.9119561314582825,76.56498650007416
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,30,0,4.997276050744404e-07,0.3906062841415405,27.30256580002606
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,30,1,4.998639155928686e-07,0.39310234785079956,33.35912019992247
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,30,2,4.99986242630257e-07,0.5227091312408447,35.731643899925984
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,11,4.997293103770062e-07,0.7271389365196228,47.31895390001591
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,30,4,4.999794214199937e-07,0.5850747227668762,32.88205790007487
