problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,0,0.00010142901737708598,2.120823383331299,0.47539319982752204
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,1,0.0001252277725143358,1.7532204389572144,0.44891220005229115
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,2,0.00010532746091485023,1.8584762811660767,0.4627318000420928
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,0,0.00018726984853856266,1.461524248123169,0.5117304001469165
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,1,0.00023001249064691365,1.6163042783737183,0.6110527999699116
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,2,0.00019649935711640865,1.628352403640747,0.4769013999029994
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,0,0.000255527877015993,1.2431610822677612,0.6393959000706673
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,1,0.0002080235572066158,1.1138522624969482,0.4945963001810014
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,2,0.0002703501668293029,1.546987533569336,0.6013884001877159
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,40,0,0.00029496452771127224,1.0883594751358032,0.48367180000059307
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,40,1,0.00028205756098032,1.1661714315414429,0.5550924001727253
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,40,2,0.0004026218375656754,1.043959140777588,0.5488477000035346
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,50,0,0.00030684834928251803,0.8810145854949951,0.7059766000602394
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,50,1,0.0003346961457282305,0.9643418788909912,0.83538160007447
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,50,2,0.00046417678822763264,1.1339569091796875,0.8082884999457747
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,60,0,0.0004484225937630981,0.9865893721580505,0.7137351001147181
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,60,1,0.0004042061045765877,0.9395636320114136,0.7580434000119567
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,60,2,0.0003962517948821187,0.8167239427566528,0.7727032999973744
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,70,0,0.00033156981226056814,0.7781093120574951,1.061823499854654
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,70,1,0.00044544850243255496,0.93905109167099,0.8717275001108646
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,70,2,0.0003742475819308311,0.7977218627929688,0.8450751001946628
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,80,0,0.0003062032046727836,0.5873158574104309,0.9362913998775184
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,80,1,0.00020112525089643896,0.6211580634117126,0.8381152001675218
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,80,2,0.00042380852391943336,0.7947981953620911,0.9197886998299509
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,90,0,0.0013560325605794787,0.7591935992240906,0.7949643000029027
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,90,1,0.0003589607367757708,0.5709612965583801,0.7733197000343353
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,90,2,0.0003569774271454662,0.6390008330345154,0.9485321999527514
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,100,0,0.0003716033243108541,0.5795359015464783,0.763897200115025
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,100,1,0.00038187034078873694,0.5966641306877136,0.8051486001349986
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,100,2,0.00026312313275411725,0.5020493865013123,0.8927919999696314
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,200,0,0.00028033580747433007,0.3326597809791565,0.9332800998818129
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,200,1,0.00019553929450921714,0.2940603196620941,0.9241837000008672
