problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,4.931467856295058e-07,1.2414825263710325,21.1201952000265
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,4.990290563000599e-07,1.5201201664545443,27.449083500017878
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,4.997855853616784e-07,1.3272283314641669,30.438243599957787
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,5,4.999224643142952e-07,1.4311894320116223,32.896409500041045
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,4,4.996609845875355e-07,1.4509717592323519,36.39661289996002
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,6,4.995787321604439e-07,1.647690358894331,24.94505370000843
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,3,4.999924385629129e-07,1.4205037495667963,53.09445560001768
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,8,4.996474558538466e-07,1.4537086138445137,27.323913800006267
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,7,4.999905058866716e-07,1.6796023732886396,36.5143618999864
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,10,4.996945790480822e-07,1.3366867493460515,23.851227500010282
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,9,4.983353960597015e-07,1.4314570256198487,28.392183599993587
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,11,4.994076334696729e-07,1.6097545076853992,27.07927769998787
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,4.999666316507501e-07,0.6778231509815377,35.14813749998575
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,4.99972372836055e-07,0.738013204915694,26.535643199982587
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,4,4.994901132704399e-07,0.6537109922516283,30.233847399998922
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,4.999657789994671e-07,0.4120923282247749,44.058746900002006
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,9,4.993942752662406e-07,0.8727266055466689,25.918454899976496
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,3,4.999847647013667e-07,0.6752748059291249,54.21286080003483
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,7,4.999849920750421e-07,0.6141994612501165,41.76338550000219
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,10,4.999652105652785e-07,0.6526942090559084,23.670991800026968
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,5,4.999947122996673e-07,0.7531962396204264,52.41180539998459
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,8,4.998773306397197e-07,0.7658448261384226,40.26997059996938
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,11,4.997786504645774e-07,0.6527656999776341,32.95917139999801
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,0,4.999569114261249e-07,0.31754214502186767,30.45705500000622
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,6,5.006740479984728e-07,0.8296614279104266,64.05859550001333
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,2,4.998181566406856e-07,0.337326409329561,34.446542599995155
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,10,4.999292286811396e-07,0.31313354848321223,27.996118500013836
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,9,4.995749804947991e-07,0.39271021219223434,29.110112399968784
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,3,4.999945986128296e-07,0.4441949494722456,46.91223730001366
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,0,4.997668270334543e-07,0.17681662367540898,31.01363579998724
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,1,5.072471935818612e-07,0.19977816237706747,66.83468259999063
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,4,5.686119948222768e-07,0.32775343515118655,65.61737980000908
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,5,5.450918934002402e-07,0.39355891584878183,63.83542610000586
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,7,6.196340223141306e-07,0.2574599789510043,63.15165980003076
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,6,7.823576311238867e-07,0.2420216549188158,64.49058300000615
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,3,4.999839120500837e-07,0.20454378407526688,47.110785000026226
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,8,5.245759666649974e-07,0.3121602958554188,63.698810899979435
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,11,4.99994030178641e-07,0.27120002222627404,57.2386387999868
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,9,4.999988618692441e-07,0.19990495638717048,41.74694189999718
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,10,4.999787392989674e-07,0.16541135888370745,40.60899320000317
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,1,5.914400844631018e-07,0.12233578909619548,66.24873350001872
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,2,5.610557991531095e-07,0.1731880744600282,67.83330459997524
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,5,6.075838427932467e-07,0.21490914578279477,63.17854900000384
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,4,5.080418645775353e-07,0.14966023528434522,65.17836760001956
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,6,9.153694122687739e-07,0.1459690567576491,65.52434429997811
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,8,8.338420229847543e-07,0.1385172926174627,65.34565669996664
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,7,8.140435170389537e-07,0.12293466271105005,68.56071400002111
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,0,4.999953375772748e-07,0.11020718442422218,43.847023500013165
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,11,6.291492127274978e-07,0.16074422662572344,65.43924320000224
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,0,4.999808993488841e-07,0.05650562348696959,38.084951299999375
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,1,6.149124942567141e-07,0.06497065290786874,66.36060389998602
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,2,7.308065619326953e-07,0.09376342671484929,69.8009470999823
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,3,6.268016932153841e-07,0.0906169626695843,69.8070616000332
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,4,6.743536005160422e-07,0.0978748874741414,68.61574399995152
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,5,5.78991716793098e-07,0.13290393154082616,67.29410589998588
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,6,7.708947578066727e-07,0.09308751890937729,68.5123365999898
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,8,1.2070698858224205e-06,0.08324672852010301,67.19224559998838
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,7,1.116889620789152e-06,0.062251423361684904,71.30867609998677
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,9,6.828443588347e-07,0.10880123060052099,70.79505650000647
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,10,5.159554348210804e-07,0.0836545237121259,69.21638709999388
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,11,6.507499961116991e-07,0.08079051386152923,69.6780689000152
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,1,6.211759568941488e-07,0.046103266583979834,71.20267520000925
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,2,7.298229434127279e-07,0.058773171913841245,73.29519219999202
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,3,6.353898811539693e-07,0.06390989177458048,72.87569150002673
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,4,4.999985776521498e-07,0.05762529188061945,67.96140279999236
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,5,6.313313747341454e-07,0.07162733481420942,70.05212849995587
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,9,4.999959628548822e-07,0.07353215204698595,50.634223900036886
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,6,1.190297439279675e-06,0.05492096184225585,72.92195760004688
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,7,1.2441097396731493e-06,0.03482210268420802,74.20951240003342
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,8,1.1721207329173922e-06,0.046826119537373034,71.54409199999645
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,0,4.99989539548551e-07,0.038675195921368755,56.43344649998471
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,10,4.999996008336893e-07,0.052623958385746586,64.68305390002206
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,11,6.747168868059816e-07,0.057975774165877354,70.91895790002309
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,1,6.514708275062731e-07,0.03174578181607017,74.64771709998604
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,3,8.348975484295806e-07,0.04497933572934572,75.5312015999807
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,2,7.044498602226668e-07,0.04305504545604666,77.51022759999614
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,5,7.137609827623237e-07,0.04141854627496066,72.76393790001748
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,4,7.192957127699628e-07,0.030639729671663864,75.71837409998989
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,6,1.1333150951031712e-06,0.04565564226215993,77.27432850003242
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,0,4.999815246264916e-07,0.02380042739006783,56.79802009998821
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,7,1.0759390534076374e-06,0.02326710319940177,78.45010690001072
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,9,4.999994303034327e-07,0.035876495752864446,69.1365819000057
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,8,1.1280141052338877e-06,0.033366787978246014,76.05707079998683
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,10,6.421913099075027e-07,0.03555202865466586,77.67450310004642
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,11,7.89039006576786e-07,0.04100256700615841,76.8526625999948
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,1,6.161615146993427e-07,0.025809735822832053,76.34286659996724
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,2,6.613703931179771e-07,0.02971320726719116,79.13981379999314
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,3,5.560050340136513e-07,0.026304150653411906,78.32865550002316
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,5,4.999950533601805e-07,0.02035959826590886,73.08328770002117
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,4,6.291710406003403e-07,0.015343460384461709,79.25647349999053
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,6,1.0049043339677155e-06,0.036384650099850646,78.18804840004304
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,7,9.401347824677941e-07,0.01933782127002657,80.48719289997825
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,8,9.422474249731749e-07,0.023999231122425232,78.84069320000708
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,0,4.999941438654787e-07,0.01717039251779914,72.16092419996858
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,9,5.497177539837139e-07,0.02329543964003682,78.60163889999967
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,10,5.717850513065059e-07,0.024200909582651177,78.36097020003945
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,11,6.453344099099922e-07,0.029823604180713826,79.97795139998198
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,1,6.523374622702249e-07,0.016173737990229097,81.73911480000243
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,2,6.508465730803437e-07,0.02116624456023898,81.45549169997685
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,3,7.580362080261693e-07,0.020183411657449545,79.96046570001636
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,4,6.426574827855802e-07,0.0120816476475817,83.25115969998296
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,5,7.649285294064612e-07,0.01746764765818533,82.82964609999908
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,6,1.0764532589746523e-06,0.02060587710868051,85.4487255999702
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,0,4.999934049010335e-07,0.012552950025786146,59.98860209999839
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,8,7.032904818515817e-07,0.01852803197883599,84.18667339999229
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,7,1.0638856338118785e-06,0.013974000922876819,85.36187909997534
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,9,5.812091217194393e-07,0.0156510577812393,82.71694480004953
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,10,5.762085493188351e-07,0.017138699557763506,83.77248619997408
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,11,7.508168664571713e-07,0.020434990043649966,82.82745280000381
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,1,6.783364483453624e-07,0.013230185177784957,85.13690689997748
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,2,6.58546468912391e-07,0.013663423456473405,84.78996620001271
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,3,6.047042688805959e-07,0.012959289077327242,85.69083320000209
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,4,6.240695142878394e-07,0.008910622701093633,84.80496649997076
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,5,7.590141422042507e-07,0.0142613965350921,82.84743560000788
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,6,7.929341450108041e-07,0.01672267557065018,87.97301939997124
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,8,7.491012752325332e-07,0.012646119452059198,88.47482020000461
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,7,1.1037286640203092e-06,0.010795906541106348,90.91730599995935
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,9,5.44465137863881e-07,0.008835568154625172,86.89401079999516
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,0,4.999982934350555e-07,0.0027512912865833715,77.32019920001039
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,10,6.348186047944182e-07,0.011595481208118137,87.09747410001
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,11,7.696905299781065e-07,0.012583975055011664,89.72345009999117
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,1,6.470410767178691e-07,0.0036041882598104526,109.93130980001297
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,2,6.665053433607682e-07,0.0031256952714900925,114.53376980003668
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,3,6.267032404139172e-07,0.003786197726067077,112.5183626000071
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,5,6.751182013431389e-07,0.0028846692465482405,115.60402879997855
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,4,6.830356937825854e-07,0.0029248443836365186,116.5644547000411
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,6,6.34675757282821e-07,0.0038587119475035274,117.16771710000467
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,8,7.188364179455675e-07,0.003269869332637246,117.8483185999794
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,7,8.442257808383147e-07,0.003154879436807576,120.58993439999176
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,9,8.205635140257073e-07,0.003474349126718379,115.92568430001847
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,10,7.14804684776027e-07,0.0027593565398989924,120.11810720001813
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,11,6.951233899599174e-07,0.0033320217572000493,118.33262050000485
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,0,4.999965881324897e-07,0.0022244982951294466,115.48394710000139
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,1,6.381275738931436e-07,0.0028881011837060123,139.95255819999147
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,2,6.679978810097964e-07,0.002609692315604484,147.28495659999317
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,3,5.480182494466135e-07,0.0023303007514107986,144.9962270000251
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,5,5.942013103776844e-07,0.0023459683067564617,144.72857829998247
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,4,7.170134495027014e-07,0.0026205036554522386,152.51567239995347
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,6,6.768374305465841e-07,0.002685753627514119,150.06694989994867
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,7,7.948723919071199e-07,0.002727562446559606,152.72326780000003
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,8,8.165043823282758e-07,0.0028162142931100814,151.670837499958
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,400,0,4.999560019314231e-07,0.0022067629016968653,114.01943980000215
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,9,6.943527637304214e-07,0.0028002824792512856,153.1814377999981
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,10,6.14193368164706e-07,0.002404208604404894,148.75751249998575
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,11,9.163116487798106e-07,0.002841487505584513,158.4849833000335
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,400,2,6.4495878859816e-07,0.0024100111181237192,183.55077370000072
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,400,1,6.738454771948454e-07,0.0024954567359042005,191.78395219997037
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,400,3,5.542928533941449e-07,0.002117461946429557,184.92121709999628
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,400,5,7.675002962059807e-07,0.002470138408017293,182.95630379999056
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,400,4,6.523081310660928e-07,0.002406128677865244,187.06051260000095
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,400,6,7.08237507751619e-07,0.0024987245486778925,187.74143970001023
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,400,7,7.669045203329006e-07,0.0026113455425099187,191.85160559997894
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,400,8,7.983781529219414e-07,0.0027144839788638695,189.30015889997594
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,500,0,4.999922111892374e-07,0.002121023570375073,159.18097920005675
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,400,9,6.838996569058509e-07,0.0027107441489998916,186.55844829999842
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,400,10,6.000725534249796e-07,0.0023339680459984143,186.5170014000032
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,400,11,8.585699902141641e-07,0.0026838739883452293,186.1823105000076
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,500,2,6.450697469517763e-07,0.0023344653822218917,210.5635123999673
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,500,1,7.146333018681617e-07,0.0026202701621670147,215.65122429997427
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,500,3,5.337889206202817e-07,0.0020671325171399877,213.02835169999162
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,500,4,7.116732945178228e-07,0.0024465276012665318,211.17700820002938
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,500,5,7.921476026240271e-07,0.002447870227248423,211.65431249997346
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,500,6,7.049225700939132e-07,0.002464257104034895,206.82972759997938
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,500,7,7.749449082439241e-07,0.002597792785497323,204.91940140002407
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,500,8,7.664013992325636e-07,0.0026097759394334208,204.54376299999421
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,500,9,6.616655809921212e-07,0.00247738801697548,192.4476624999661
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,500,10,5.801066436106339e-07,0.0022583391859212574,193.10776990000159
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,500,11,8.54502957281511e-07,0.0026534704844829097,192.59002060000785
