problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,0,0.0011567533947527409,0.8357776999473572,0.21190669992938638
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,1,0.0007979272049851716,0.8978497385978699,0.18832829990424216
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,2,0.0011190404184162617,0.7744733095169067,0.19823589990846813
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,0,0.0012085090856999159,0.5777557492256165,0.2116068999748677
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,1,0.0007043997757136822,0.6626993417739868,0.19337539980188012
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,2,0.0004365641507320106,0.6339564323425293,0.19925060006789863
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,0,0.0005745986709371209,0.46327367424964905,0.2042109000030905
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,1,0.0005157010164111853,0.5192766189575195,0.20360549981705844
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,2,0.0010288965422660112,0.49270203709602356,0.1835304000414908
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,0,0.0007283756858669221,0.46308109164237976,0.1937681999988854
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,1,0.0006703572580590844,0.35749632120132446,0.20136509998701513
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,2,0.0013553963508456945,0.4286462962627411,0.20409610006026924
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,50,0,0.0007752123638056219,0.35365045070648193,0.2108092000707984
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,50,1,0.0005447945441119373,0.38353827595710754,0.208602299913764
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,50,2,0.001076571992598474,0.37096473574638367,0.21232090005651116
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,60,0,0.0006572238053195179,0.3313271105289459,0.20890660001896322
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,60,1,0.0009683026582933962,0.36290162801742554,0.19845900009386241
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,60,2,0.0004288109776098281,0.3811016380786896,0.20455979998223484
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,70,0,0.0015287933638319373,0.35414719581604004,0.21562160016037524
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,70,1,0.0009272143361158669,0.32559219002723694,0.21051720017567277
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,70,2,0.000966785300988704,0.30851903557777405,0.20866500004194677
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,80,0,0.0015061718877404928,0.2832505404949188,0.2148377001285553
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,80,1,0.0008537128451280296,0.26096048951148987,0.1980404001660645
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,80,2,0.0007339364965446293,0.2714023292064667,0.2127561999950558
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,90,0,0.0007218357641249895,0.26626572012901306,0.21853479999117553
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,90,1,0.0007947644335217774,0.22273185849189758,0.21914059994742274
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,90,2,0.0006506011704914272,0.2358860969543457,0.22619699989445508
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,100,0,0.0009008862543851137,0.22798267006874084,0.2114152000285685
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,100,1,0.0007254353258758783,0.23569875955581665,0.2289704999420792
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,100,2,0.001070985454134643,0.25982633233070374,0.21637949999421835
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,200,0,0.0010895387968048453,0.18601563572883606,0.22163089993409812
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,200,1,0.000865524634718895,0.17030003666877747,0.22983409999869764
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,200,2,0.0012872290099039674,0.18334825336933136,0.2244271000381559
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,300,0,0.002085059881210327,0.19805553555488586,0.24394880002364516
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,300,1,0.0009288443252444267,0.1639520227909088,0.22990589984692633
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,300,2,0.0007667217869311571,0.13728497922420502,0.24242220004089177
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,400,0,0.0012455988908186555,0.15297375619411469,0.2505886999424547
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,400,1,0.0011768618132919073,0.1431972235441208,0.24923519999720156
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,400,2,0.0011474840575829148,0.14172673225402832,0.24572380003519356
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,500,0,0.0015220134519040585,0.1441815346479416,0.31476849992759526
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,500,1,0.0009114978602156043,0.11666984111070633,0.31002299999818206
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,500,2,0.0015798131935298443,0.14930778741836548,0.2636703001335263
