problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,4.949708909407491e-07,0.9271083456523765,18.938397100020666
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,4.998001941203256e-07,1.190125829308117,21.32410379999783
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,4.995353606318531e-07,1.1485302226249678,22.09961649996694
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,3,4.997168048248568e-07,1.1443343227221976,26.38947770005325
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,4,4.999272960048984e-07,1.0812810279485894,25.41117380000651
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,6,4.995990252609772e-07,1.2287953535696032,21.01249180000741
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,5,4.989852868675371e-07,1.1120893518975858,25.63844790001167
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,7,4.993420361643075e-07,1.2271211365751375,24.691564099979587
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,8,4.994666937818693e-07,1.2644613474894968,21.817972299992107
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,9,4.968354687662213e-07,1.1821188532672793,21.48777989996597
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,10,4.998003646505822e-07,0.9802338552359554,21.154754399962258
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,11,4.988881983081228e-07,1.1807340949986342,21.51275789999636
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,4.998851181881037e-07,0.6416120605609551,23.570774200023152
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,4.982363748240459e-07,0.5662084931665213,25.807890099997167
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,4.992695039618411e-07,0.5924955768470913,23.065180999983568
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,5,4.992226649846998e-07,0.7697579813223203,22.370656899991445
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,4,4.989743160876969e-07,0.5955230192762906,22.875215100008063
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,7,4.997752967028646e-07,0.7270409575755126,24.77985880000051
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,3,4.995358722226229e-07,0.628245633896109,28.842248999979347
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,6,4.987746820006578e-07,0.7826845817642616,26.287467200018
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,9,4.989270792066236e-07,0.7087106762037267,20.723819999955595
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,10,4.975897240910854e-07,0.6328950151706331,18.77720999997109
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,8,4.999163252250582e-07,0.7125871599538672,30.5691498000524
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,4.998930762667442e-07,0.4332765350213701,20.591987499967217
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,1,4.993936499886331e-07,0.4164776580840684,21.509958500042558
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,11,4.994370783606428e-07,0.7037418489777333,24.080533999949694
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,4.996747975383187e-07,0.4269900906629505,21.299725599994417
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,4,4.999332645638788e-07,0.4368382716168298,23.910018900001887
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,5,4.992287472305179e-07,0.513764153082226,23.816293699957896
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,3,4.996520601707743e-07,0.4466735282110351,26.86248859995976
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,7,4.998328790861706e-07,0.47786457341467886,24.942278800008353
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,6,4.999960196983011e-07,0.46723673044818015,29.07992510002805
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,10,4.996160782866355e-07,0.4611102577239548,17.921617199957836
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,9,4.997891096536478e-07,0.42403626796422894,20.70824419998098
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,8,4.98199199228111e-07,0.4266120718151867,23.498870999959763
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,0,4.989057629245508e-07,0.28811015051726796,23.056256799958646
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,1,4.988648925063899e-07,0.32406345141566173,23.279840099974535
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,2,4.978477932127134e-07,0.29818500644574325,22.039076299988665
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,11,4.998716462978336e-07,0.4263051371794355,26.279465400031768
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,3,4.999105840397533e-07,0.35391124855585326,23.79582359996857
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,5,4.992979256712715e-07,0.378633912501568,25.401275100011844
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,10,4.985995474271476e-07,0.31722288342488697,19.55015550000826
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,4,4.988191335542069e-07,0.2792315318609933,28.44076219998533
