problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,0,4.992354547539435e-07,0.40050357912210205,13.228673900011927
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,1,4.996038569515804e-07,0.44439487005469114,11.451080200029537
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,2,4.978398351340729e-07,0.6931108836412719,14.379196199995931
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,3,4.999236011826724e-07,0.5654977526573052,13.209703199972864
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,4,4.997312998966663e-07,0.6054249615162021,17.30484290001914
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,5,4.990001798432786e-07,0.47561033812943215,15.784199899993837
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,6,4.998234430786397e-07,0.6123895694859574,15.464380200020969
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,7,4.93584082050802e-07,0.6253967970196855,15.218387299973983
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,8,4.991079549654387e-07,0.7343498022989008,18.848634499998298
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,9,4.999814109396539e-07,0.6043992172782042,14.897820700018201
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,11,4.995375775251887e-07,0.6034306743525959,12.348946299985982
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,10,4.993766538063937e-07,0.5956389273106034,13.479739300033543
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,1,4.997778546567133e-07,0.29729182966133133,18.64683059998788
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,0,4.999992029297573e-07,0.33639161718430877,21.145990199991502
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,2,4.999683937967347e-07,0.3542116281406098,17.910122199973557
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,5,4.997466476197587e-07,0.3718643936731471,19.15661420003744
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,7,4.998303211323218e-07,0.4060435929344225,21.67875229998026
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,3,4.999892553314567e-07,0.4140786650191298,32.14027169998735
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,4,4.998329359295894e-07,0.458350296242367,30.029890300007537
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,6,4.999978386877046e-07,0.3798972512427952,33.43436820001807
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,10,4.999922111892374e-07,0.329039833537034,22.757766700000502
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,9,4.998794906896364e-07,0.41806694977726516,29.423697700025514
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,8,4.999891984880378e-07,0.5067785962523931,31.90427759999875
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,11,4.989556146028917e-07,0.5021342443805278,21.590438699990045
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,1,4.965343123330968e-07,0.23665561265775634,17.81045410002116
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,2,4.999949396733427e-07,0.44343926774265974,25.439704000018537
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,0,4.999981797482178e-07,0.24011222745101893,34.18911499995738
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,8,4.994370215172239e-07,0.3550626542625746,27.136779399996158
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,3,4.999805014449521e-07,0.33179945672704864,44.65085510001518
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,0,4.9978001470663e-07,0.23558177578640227,24.386868299974594
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,1,4.996672373636102e-07,0.21397997441914934,23.327069799997844
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,2,4.998009330847708e-07,0.3449033032396053,31.322483099997044
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,3,4.999598104404868e-07,0.25451973686046087,31.80605110002216
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,5,4.99798829878273e-07,0.2639448038207256,31.043862199992873
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,4,5.011112307329313e-07,0.34428912976718545,66.48452509997878
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,11,4.999975544706103e-07,0.310861064291689,52.681064300006256
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,6,5.836201353304205e-07,0.2772361272011917,69.98171870002989
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,5,5.046176170253602e-07,0.2674636180037101,72.48716469999636
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,7,6.494778403975943e-07,0.2951125012009525,69.64782539999578
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,9,1.4542737289957586e-06,0.3313286831778437,70.32957169995643
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,10,6.389348072843859e-07,0.2697988588594459,68.8845073999837
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,4,8.498250281263608e-07,0.24496815010076603,69.44020339997951
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,0,4.999938028049655e-07,0.20285467070610483,45.95985730004031
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,7,7.749746941954072e-07,0.22104188061902943,69.79642359999707
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,6,5.585484927905782e-07,0.1687785191355283,71.76928369997768
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,8,5.093821187074354e-07,0.27216664432028104,69.27631059999112
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,5,4.999999418942025e-07,0.16687497238543694,42.12202680000337
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,9,3.921048119082116e-06,0.28456082623805046,71.1041645000223
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,10,5.755175038757443e-07,0.23951287138264515,70.27882140001748
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,11,6.483813876911881e-07,0.22763736316485125,68.82943029998569
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,1,5.243799705567653e-07,0.17434673125623665,69.2778625000501
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,2,5.290750095809926e-07,0.2274758423082121,65.62637370004086
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,4,5.874258590665704e-07,0.2417693027126108,67.64636700000847
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,3,5.171812631488137e-07,0.1648193045945721,69.11920489999466
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,6,1.4895682625137852e-06,0.15209827316543006,74.42413090000628
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,8,7.822038696758682e-07,0.20381488762262148,71.8301163999713
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,7,6.405869044101564e-07,0.17714165014850244,72.3378151000361
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,1,4.999806719752087e-07,0.13099355787638073,48.90552739996929
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,9,6.874739483464509e-06,0.2034109575127233,74.38286930002505
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,11,8.640128612569242e-07,0.14082793718629855,67.3698503000196
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,10,5.199735824135132e-07,0.20340718914618786,72.90183270000853
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,0,8.750639040044916e-07,0.1627130039952241,69.30655730003491
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,4,5.995117930979177e-07,0.1743146504645155,68.62932549999095
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,2,5.962620548416453e-07,0.24917185769121672,71.17327929998282
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,3,6.873326583445305e-07,0.1410793421841418,74.12832640000852
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,0,4.99971974932123e-07,0.14374808643583317,50.92441409995081
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,5,6.598494906029373e-07,0.14780690014090153,73.49373629997717
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,6,2.5688177629490383e-06,0.1248461287978979,75.38997399999062
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,7,6.006989679008257e-07,0.1528708696975999,74.7402992999996
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,8,1.1897666354343528e-06,0.17224864463999884,75.64622289995896
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,9,8.983699444797821e-06,0.17124161852814954,77.7455217000097
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,10,5.340016855370777e-07,0.15823808838279724,73.54306599998381
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,11,6.861213250886067e-07,0.14174182567496513,72.37282350001624
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,1,8.201314471989463e-07,0.13252858055839922,74.72495369997341
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,4,9.272995384890237e-07,0.17209603792043204,68.87989959999686
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,2,5.498081918631215e-07,0.21196343162419726,70.938766199979
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,3,6.812321657889697e-07,0.11622272038758943,75.86492459999863
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,5,5.936404363637848e-07,0.13601737745612116,75.83997659996385
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,6,4.669744612328941e-06,0.11793964120220803,78.47107509995112
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,1,4.999890279577812e-07,0.12682864668219904,51.89643849997083
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,7,6.617642611672636e-07,0.10889016208025311,76.97590409999248
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,8,1.5236347508107428e-06,0.16547835129544727,77.73391429998446
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,10,5.969995982013643e-07,0.130723842125666,72.61348960001487
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,11,5.722201876778854e-07,0.12102458306801636,72.65677540004253
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,9,6.533487521664938e-06,0.13023901619319078,82.19904219999444
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,0,6.413924324988329e-07,0.13794214218820813,76.66361400001915
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,2,1.9669300854729954e-06,0.22077239667340223,75.55689390003681
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,4,6.690095801786811e-07,0.14542969067160777,73.65039500000421
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,3,1.1182798971276497e-06,0.12106745379445583,77.7991773999529
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,7,7.4454874265939e-07,0.11584009320743632,76.38290210004197
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,5,9.138262271335407e-07,0.13853521576939096,79.47199319995707
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,6,2.583675268397201e-06,0.08907829655229806,81.46709509997163
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,8,1.0250106470266473e-06,0.1427815898639625,80.37233350001043
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,9,3.0812268505542306e-06,0.11269726240268765,79.0525974999764
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,11,6.166599746393331e-07,0.10218391785842096,75.51324509998085
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,10,7.907249823801976e-07,0.132370459666683,77.97730209998554
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,90,0,6.321097316686064e-07,0.09771161406261049,77.6568205000367
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,90,1,5.895063850402948e-07,0.1082389049168084,77.86531419999665
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,90,2,3.0568403417419177e-06,0.2044427645912511,79.14341279998189
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,90,4,8.443209367214877e-07,0.15801476914494608,78.27329159999499
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,90,3,8.875429671206803e-07,0.12057194498153996,83.03081539995037
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,90,5,8.649287792650284e-07,0.12077347894646208,80.89944619999733
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,90,6,1.7014032209772267e-06,0.08894647467539343,77.9588739000028
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,90,7,8.963798450167815e-07,0.07021756555105338,81.74528669996653
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,90,8,1.726829736981017e-06,0.11352816681493091,84.05218860000605
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,90,10,7.288685992534738e-07,0.09582188935984688,80.33328729995992
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,90,9,2.452684384479653e-05,0.13041786184770632,86.31316040002275
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,100,0,6.193985768732091e-07,0.09222638727449273,77.96794830000727
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,90,11,6.996259003244631e-07,0.09682650528464971,81.1584964999929
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,100,2,5.998464075673837e-06,0.20025889742068467,78.15005160000874
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,100,1,5.673330747413274e-07,0.10342379467144229,83.72024210001109
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,100,4,7.877233088038338e-07,0.12009962090649039,80.07901529996889
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,100,3,8.740661883166467e-07,0.11467659005443973,81.13994750002166
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,100,7,1.0308107221135288e-06,0.11465922599296698,80.37595100002363
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,100,6,2.2377644199877977e-06,0.08010708814884375,82.2137350999983
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,100,5,1.1496679235278862e-06,0.12720664535017784,88.98680979997152
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,100,8,1.4933693819330074e-06,0.12573415543335614,88.64846599998418
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,100,10,5.967425522612757e-07,0.10621898749144268,83.99100839998573
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,100,11,5.438627113107941e-07,0.07997832527194788,80.61741110001458
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,100,9,2.493921601853799e-05,0.10876645565609172,91.3818797999993
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,200,0,8.00907002940221e-07,0.050447767840642435,106.4049710999825
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,200,2,3.962095888709882e-06,0.08823461589250947,109.74889360001544
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,200,1,8.960342938735266e-07,0.05275520655979795,111.62506240000948
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,200,3,8.309287977681379e-07,0.043500534656709215,108.69712050003
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,200,4,8.428474984611967e-07,0.06331397396479567,108.40971999999601
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,200,7,1.3209208873377065e-06,0.08343385224519229,109.8781923999777
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,200,5,9.453359552935581e-07,0.06782905976489056,113.78253650001716
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,200,6,2.2503634227177827e-06,0.039434312684848975,114.80365930002881
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,200,8,1.0345397640776355e-06,0.07648791614622151,115.02285909996135
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,200,9,6.759005827916553e-06,0.055443797178309495,111.63770399999339
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,200,10,1.0313527809557854e-06,0.06788063673637257,110.76759549998678
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,200,11,8.756380225349858e-07,0.06895136936431602,109.20673570001964
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,300,0,8.381265388379688e-07,0.020731853621967382,136.02780099998927
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,300,2,7.385541721305344e-06,0.0558035786390077,136.05010940000648
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,300,1,9.010099688566697e-07,0.042611327200450765,141.47308839997277
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,300,3,9.263611673304695e-07,0.03457915956210675,139.30488599999808
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,300,4,1.031796045936062e-06,0.04235652672323942,138.46817110001575
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,300,6,3.1221761673805304e-06,0.0493316190045695,138.17220939998515
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,300,7,1.645410748096765e-06,0.05175700778463823,144.80714069999522
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,300,5,1.0381326092101517e-06,0.04721130991070832,147.45662369998172
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,300,8,8.873797696651309e-07,0.048392869659903526,143.29221679997863
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,300,9,2.9440809612424346e-06,0.0488605988408239,142.03421000001254
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,300,10,1.8598102542455308e-06,0.04715166345040567,147.43154259998119
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,300,11,9.224373798133456e-07,0.04159952777455494,144.89704259997234
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,400,0,1.2179818895674543e-06,0.02696350734866464,175.72828749998007
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,400,1,1.094600634132803e-06,0.023813341578613718,174.54243879998103
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,400,2,2.8333495265542297e-06,0.05700412892425576,175.52356850000797
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,400,4,1.3489867569660419e-06,0.026813669037756567,171.0640306000132
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,400,3,1.086755219148472e-06,0.02472046383795712,176.3366653000121
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,400,7,1.7960240938919014e-06,0.035176095412063894,176.34608279995155
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,400,6,3.1187221338768722e-06,0.03468408888309024,176.89595199999167
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,400,5,1.3535217249227571e-06,0.038486640917323005,182.2317850999534
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,400,8,1.293312038797012e-06,0.046510067775893726,179.05071879999014
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,400,9,3.3316855478915386e-06,0.038656480500234625,176.39379320002627
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,400,11,1.131721660385665e-06,0.036890094194589586,175.39576939999824
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,400,10,1.4298821042757481e-06,0.02544503025211957,183.6255096999812
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,500,0,1.275465365324635e-06,0.01312103270657076,203.15190019999864
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,500,1,1.2276691450097132e-06,0.03213009744987598,200.96169029996963
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,500,3,1.2100081221433356e-06,0.020254793557444355,198.08111099997768
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,500,2,2.9543807613663375e-06,0.056654489981021745,201.45108099997742
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,500,4,1.7513858665552107e-06,0.02533414636655655,195.56018460000632
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,500,5,1.278392232961778e-06,0.02337190595124637,193.59971169999335
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,500,6,1.9329800124978647e-06,0.03545594301661757,195.0186202999903
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,500,7,1.272627514481428e-06,0.031757902934704124,199.45792829996208
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,500,8,1.1657740515147452e-06,0.0326143223805337,184.135501199984
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,500,11,1.1367380921001313e-06,0.029259420247956743,181.12766609998653
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,500,10,1.9539038476068527e-06,0.03283435607966572,182.82672539999476
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,4,40,500,9,1.9669839730340755e-06,0.027423591430523708,185.69724579999456
