problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,4.984736960977898e-07,0.5535080448776972,21.56647459999658
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,4.98540998705721e-07,0.6174080325003669,17.894876800011843
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,4.992550088900316e-07,0.5762434321139825,26.036434999958146
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,3,4.999652674086974e-07,0.6255648909262169,24.554567499959376
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,4,4.998291274205258e-07,0.5563676703141297,24.464337999990676
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,6,4.965140760759823e-07,0.6953109526354676,20.68330999999307
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,5,4.99816792398633e-07,0.7545195543488376,28.442112399963662
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,7,4.991205742044258e-07,0.7162567432910375,18.60364829999162
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,8,4.947881393491116e-07,0.6020377618850944,18.65002280002227
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,9,4.98193458042806e-07,0.5829982952942552,21.193880799983162
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,11,4.992691060579091e-07,0.5660984736471225,21.74107390001882
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,10,4.996667826162593e-07,0.5935569810019993,27.585661299992353
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,4.99637508255546e-07,0.3202677873484314,22.630884499987587
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,4.993911488782032e-07,0.33987066992529386,26.0458762999624
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,3,4.996234110876685e-07,0.3082545933345514,25.98017809999874
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,4.997977498533146e-07,0.31320017209277506,29.530394400004297
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,4,4.998279337087297e-07,0.2798076392484374,26.785288400016725
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,5,4.98121607961366e-07,0.34920686162160675,24.606809399963822
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,7,4.994719802198233e-07,0.37048780326709124,27.662071399972774
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,8,4.989606168237515e-07,0.3141997910811719,27.286845900001936
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,10,4.99405132359243e-07,0.3138011852482587,25.854071800014935
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,11,4.993070206182892e-07,0.32166643074070594,25.848045599996112
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,6,4.998485678697762e-07,0.2951867503529323,35.70358430000488
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,9,4.998914278075972e-07,0.3437872362473301,37.893479399965145
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,1,4.998338454242912e-07,0.17271219315403102,28.661308599985205
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,4.999297402719094e-07,0.2059529819440215,28.626506300002802
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,4,4.999246243642119e-07,0.17563516644456334,26.13642809999874
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,4.993235052097589e-07,0.19847049290708782,35.09134919999633
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,5,4.986391672900936e-07,0.21777085262454982,24.89688960002968
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,3,4.998268536837713e-07,0.1893379055147562,30.81511429999955
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,7,4.98611257171433e-07,0.20984495570114345,23.88253830000758
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,6,4.999571387998003e-07,0.20047207159407276,29.23877870000433
