problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,10,0,4.999751013201603e-07,0.3670719563961029,30.69268269999884
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,10,1,4.993383413420815e-07,0.3507521450519562,29.79231049993541
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,10,2,4.994046207684733e-07,0.3330720067024231,21.009045099955983
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,10,3,4.989528292753675e-07,0.31274160742759705,21.58364560001064
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,10,4,4.976494665243081e-07,0.3799295127391815,23.92519330000505
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,10,5,4.999268412575475e-07,0.3174932301044464,32.06694699998479
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,10,6,4.996737175133603e-07,0.35626670718193054,21.702190699987113
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,10,8,4.999423026674776e-07,0.39201098680496216,29.12505599996075
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,10,7,4.996984444005648e-07,0.3461151123046875,35.68744969996624
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,10,10,4.994010964765039e-07,0.348186194896698,16.741343199973926
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,10,9,4.991571813661722e-07,0.384263277053833,25.11717929993756
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,10,11,4.994474807062943e-07,0.3586481511592865,41.77187389996834
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,20,1,4.999269549443852e-07,0.30827200412750244,51.98300979996566
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,20,2,4.999533871341555e-07,0.3011671006679535,58.31628249993082
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,20,0,4.99974817103066e-07,0.2852504551410675,76.76633699995
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,20,3,4.999618568035658e-07,0.2731904685497284,57.04251000005752
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,20,4,4.997988867216918e-07,0.3160867691040039,67.32580180000514
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,20,6,4.999367320124293e-07,0.3116037845611572,78.5238321000943
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,20,8,4.999872089683777e-07,0.27857252955436707,64.91385449992958
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,20,7,4.999982934350555e-07,0.30274564027786255,90.91855219996069
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,20,5,4.999985776521498e-07,0.29911139607429504,122.03531559999101
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,20,9,4.997987161914352e-07,0.2899051606655121,68.57560300000478
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,20,10,4.999363341084972e-07,0.2973824441432953,45.61120220005978
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,20,11,4.999986913389876e-07,0.31914782524108887,111.91393949999474
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,30,3,4.998134386369202e-07,0.2511625289916992,80.31064979999792
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,30,2,4.99995223890437e-07,0.2868000268936157,127.86214119999204
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,30,4,4.99954410315695e-07,0.31195271015167236,123.43763749999925
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,30,0,5.148461923454306e-07,0.2752169668674469,195.8989449000219
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,30,1,4.999991460863384e-07,0.2853751480579376,181.00931019999553
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,30,6,4.999964176022331e-07,0.28455543518066406,107.86187309992965
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,30,7,4.999296265850717e-07,0.28504595160484314,103.53786200005561
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,30,9,4.999798193239258e-07,0.2698739171028137,101.26629349996801
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,30,8,4.999982934350555e-07,0.28032249212265015,143.88144090003334
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,30,5,5.550931518882862e-07,0.26991555094718933,199.63260230002925
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,30,10,4.99995223890437e-07,0.2713433504104614,174.77200529992115
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,30,11,6.212288212736894e-07,0.2882067859172821,185.06698390003294
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,40,1,5.603108661489387e-07,0.2791799008846283,217.42236099997535
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,40,0,6.240288712433539e-07,0.27185335755348206,253.55396039993502
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,40,4,4.998291274205258e-07,0.2838733494281769,168.31036900007166
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,40,2,6.151902880446869e-07,0.25819867849349976,215.64541009999812
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,40,3,4.999965312890708e-07,0.23871056735515594,222.98010299995076
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,40,5,8.2671630252662e-07,0.2547115087509155,254.99237959994934
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,40,7,4.999978386877046e-07,0.2640683650970459,223.3520435000537
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,40,6,5.038567110204895e-07,0.2715233564376831,246.73910510004498
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,40,8,5.387542501011922e-07,0.2529294490814209,209.45566950005013
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,40,11,7.039468528091675e-07,0.27339446544647217,212.21645419998094
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,40,9,5.754058634011017e-07,0.26342859864234924,246.57883549993858
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,40,10,5.655107884194877e-07,0.27113351225852966,248.5623762999894
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,50,0,7.739445777588116e-07,0.25775840878486633,268.23300030000973
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,50,2,6.877188525322708e-07,0.2398396134376526,268.3003696000669
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,50,4,5.860226224285725e-07,0.26107630133628845,230.55120909994002
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,50,3,5.312301141202624e-07,0.215933158993721,272.6281805000035
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,50,1,5.913789209444076e-07,0.25796976685523987,306.37094950000755
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,50,5,8.094665417957003e-07,0.24036578834056854,236.28384719998576
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,50,6,5.652518098031578e-07,0.249671071767807,291.919208599953
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,50,7,5.674327212545904e-07,0.25884681940078735,292.0479337000288
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,50,8,5.512731036105833e-07,0.24039427936077118,277.07847439998295
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,50,9,5.580519086834101e-07,0.24023757874965668,271.5262779999757
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,50,10,5.305045647219231e-07,0.26443445682525635,249.9001842000289
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,60,1,6.281691753429186e-07,0.24822305142879486,256.2466004000744
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,50,11,8.053608553382219e-07,0.2501680254936218,265.70432039990555
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,60,0,8.85416227447422e-07,0.241447314620018,298.8629164999584
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,10,100,60,2,6.938666956557427e-07,0.23673337697982788,294.8301991999615
